x,observed_y,predicted_y,residual
20.0,8.0,11.098743,-3.098743
30.0,21.0,-416.796268,437.796268
1.0,2.0,836.046107,-834.046107
1.0,2011.0,836.046107,1174.953893
2.0,2009.0,792.237547,1216.762453
2000.0,30.0,-138.881718,168.881718
2011.0,1.0,335.144912,-334.144912
1.0,2011.0,836.046107,1174.953893
1.1,1.0,831.663299,-830.663299
8.0,8.0,530.296834,-522.296834
6.0,6.0,617.436948,-611.436948
2.0,2009.0,792.237547,1216.762453
2.1,2.0,787.859076,-785.859076
2.2,2000.0,783.481038,1216.518962
6.0,6.0,617.436948,-611.436948
3.0,3.0,748.472351,-745.472351
2000.0,30.0,-138.881718,168.881718
6.0,6.0,617.436948,-611.436948
3.0,3.0,748.472351,-745.472351
6.0,6.0,617.436948,-611.436948
3.0,3.0,748.472351,-745.472351
2.0,2009.0,792.237547,1216.762453
