t,observed,fitted,type
1,2015.0,123.613539,history
2,0.6125,120.707047,history
3,0.614583,117.800555,history
4,0.616667,114.894064,history
5,0.61875,111.987572,history
6,0.620833,109.08108,history
7,0.622917,106.174588,history
8,0.625,103.268097,history
9,0.627083,100.361605,history
10,0.629167,97.455113,history
11,0.63125,94.548621,history
12,0.633333,91.64213,history
13,0.635417,88.735638,history
14,0.6375,85.829146,history
15,0.639583,82.922655,history
16,0.641667,80.016163,history
17,0.64375,77.109671,history
18,0.645833,74.203179,history
19,0.647917,71.296688,history
20,0.65,68.390196,history
21,0.652083,65.483704,history
22,0.654167,62.577213,history
23,0.528472,59.670721,history
24,0.530556,56.764229,history
25,0.532639,53.857737,history
26,0.534722,50.951246,history
27,0.536806,48.044754,history
28,0.538889,45.138262,history
29,0.540972,42.23177,history
30,0.543056,39.325279,history
31,0.545139,36.418787,history
32,0.547222,33.512295,history
33,0.549306,30.605804,history
34,0.551389,27.699312,history
35,0.553472,24.79282,history
36,0.555556,21.886328,history
37,0.557639,18.979837,history
38,0.559722,16.073345,history
39,0.561806,13.166853,history
40,0.563889,10.260362,history
41,0.565972,7.35387,history
42,0.568056,4.447378,history
43,0.570139,1.540886,history
44,0.547917,-1.365605,history
45,0.55,-4.272097,history
46,0.552083,-7.178589,history
47,0.554167,-10.08508,history
48,0.55625,-12.991572,history
49,0.558333,-15.898064,history
50,0.560417,-18.804556,history
51,0.5625,-21.711047,history
52,0.564583,-24.617539,history
53,0.566667,-27.524031,history
54,0.56875,-30.430523,history
55,0.570833,-33.337014,history
56,0.572917,-36.243506,history
57,0.575,-39.149998,history
58,0.577083,-42.056489,history
59,0.579167,-44.962981,history
60,0.58125,-47.869473,history
61,0.583333,-50.775965,history
62,0.585417,-53.682456,history
63,0.5875,-56.588948,history
64,0.589583,-59.49544,history
49,,-15.898064,forecast
50,,-18.804556,forecast
51,,-21.711047,forecast
52,,-24.617539,forecast
53,,-27.524031,forecast
54,,-30.430523,forecast
55,,-33.337014,forecast
56,,-36.243506,forecast
57,,-39.149998,forecast
58,,-42.056489,forecast
59,,-44.962981,forecast
60,,-47.869473,forecast
