time,state
0.0,15.0
2.0,16.79103
4.0,18.564239
6.0,20.319804
8.0,22.057901
10.0,23.778704
12.0,25.482384
14.0,27.169113
16.0,28.839058
18.0,30.492387
20.0,32.129265
22.0,33.749862
24.0,35.354341
26.0,36.94286
28.0,38.515576
30.0,40.072644
32.0,41.614219
34.0,43.140454
36.0,44.651501
38.0,46.14751
40.0,47.62863
42.0,49.095009
44.0,50.546794
46.0,51.984129
48.0,53.407159
50.0,54.816026
52.0,56.210871
54.0,57.591835
56.0,58.959055
58.0,60.312668
60.0,61.652812
62.0,62.97962
64.0,64.293226
66.0,65.593762
68.0,66.881357
70.0,68.156143
72.0,69.418246
74.0,70.667794
76.0,71.904911
78.0,73.129722
80.0,74.34235
