x,observed_y,predicted_y,residual
42005.0,44.944444,33.818318,11.126126
0.010417,34.0,46.277247,-12.277247
0.020833,24.0,46.161352,-22.161352
0.03125,36.0,46.045457,-10.045457
0.041667,29.0,45.929562,-16.929562
0.052083,21.0,45.813667,-24.813667
0.0625,19.0,45.697772,-26.697772
0.072917,25.0,45.581878,-20.581878
0.083333,24.0,45.465983,-21.465983
0.09375,36.0,45.350088,-9.350088
0.104167,30.0,45.234194,-15.234194
0.114583,25.0,45.118299,-20.118299
0.125,24.0,45.002405,-21.002405
0.135417,24.0,44.88651,-20.88651
0.145833,25.0,44.770616,-19.770616
0.15625,25.0,44.654722,-19.654722
0.166667,21.0,44.538828,-23.538828
0.177083,19.0,44.422933,-25.422933
0.1875,25.0,44.307039,-19.307039
0.197917,25.0,44.191145,-19.191145
0.208333,25.0,44.075251,-19.075251
0.21875,29.0,43.959357,-14.959357
0.229167,36.0,43.843464,-7.843464
0.239583,30.0,43.72757,-13.72757
0.25,31.0,43.611676,-12.611676
42006.0,44.944444,44.943914,0.00053
0.010417,36.0,46.277247,-10.277247
0.020833,37.0,46.161352,-9.161352
0.03125,47.0,46.045457,0.954543
0.041667,50.0,45.929562,4.070438
0.052083,56.0,45.813667,10.186333
0.0625,47.0,45.697772,1.302228
0.072917,36.0,45.581878,-9.581878
0.083333,47.0,45.465983,1.534017
0.09375,37.0,45.350088,-8.350088
0.104167,17.0,45.234194,-28.234194
0.114583,16.0,45.118299,-29.118299
0.125,17.0,45.002405,-28.002405
0.135417,6.0,44.88651,-38.88651
0.145833,4.0,44.770616,-40.770616
0.15625,4.0,44.654722,-40.654722
0.166667,3.0,44.538828,-41.538828
0.177083,2.0,44.422933,-42.422933
0.1875,2.0,44.307039,-42.307039
0.197917,2.0,44.191145,-42.191145
0.208333,1.0,44.075251,-43.075251
0.21875,1.0,43.959357,-42.959357
0.229167,1.0,43.843464,-42.843464
0.239583,2.0,43.72757,-41.72757
0.25,3.0,43.611676,-40.611676
42007.0,44.944444,56.070039,-11.125595
0.010417,80.0,46.277247,33.722753
0.020833,87.0,46.161352,40.838648
0.03125,95.0,46.045457,48.954543
0.041667,92.0,45.929562,46.070438
0.052083,79.0,45.813667,33.186333
0.0625,72.0,45.697772,26.302228
0.072917,84.0,45.581878,38.418122
0.083333,88.0,45.465983,42.534017
0.09375,88.0,45.350088,42.649912
0.104167,88.0,45.234194,42.765806
0.114583,91.0,45.118299,45.881701
0.125,84.0,45.002405,38.997595
0.135417,85.0,44.88651,40.11349
0.145833,87.0,44.770616,42.229384
0.15625,95.0,44.654722,50.345278
0.166667,99.0,44.538828,54.461172
0.177083,96.0,44.422933,51.577067
0.1875,94.0,44.307039,49.692961
0.197917,91.0,44.191145,46.808855
0.208333,86.0,44.075251,41.924749
0.21875,106.0,43.959357,62.040643
0.229167,102.0,43.843464,58.156536
0.239583,82.0,43.72757,38.27243
0.25,69.0,43.611676,25.388324
