x,observed_y,predicted_y,residual
1.0,180.0,32.228758,147.771242
1.0,2.0,32.228758,-30.228758
2.0,3.0,24.198154,-21.198154
3.0,5.0,16.175506,-11.175506
4.0,1.0,8.160814,-7.160814
1.0,4.0,32.228758,-28.228758
1.0,2.0,32.228758,-30.228758
2017.0,2.0,2.000207,-0.000207
2.0,1.0,24.198154,-23.198154
1.1,180.0,31.425339,148.574661
1.0,1.0,32.228758,-31.228758
2.0,2.0,24.198154,-22.198154
6.0,6.0,-7.844702,13.844702
3.0,1.0,16.175506,-15.175506
2.1,1.0,23.395531,-22.395531
1.0,1.0,32.228758,-31.228758
2.0,2.0,24.198154,-22.198154
6.0,6.0,-7.844702,13.844702
5.0,1.0,0.154078,0.845922
3.1,1.0,15.373679,-14.373679
2.0,2.0,24.198154,-22.198154
4.2,1.0,6.55883,-5.55883
3.0,3.0,16.175506,-13.175506
4.0,4.0,8.160814,-4.160814
5.2,4.0,-1.446315,5.446315
5.3,2.0,-2.246392,4.246392
5.4,3.0,-3.046389,6.046389
6.0,6.0,-7.844702,13.844702
5.0,1.0,0.154078,0.845922
