x,observed_y,predicted_y,residual
3757.0,3758.0,3764.300122,-6.300122
1880.0,1304.0,348.719253,955.280747
1881.0,3.0,349.320054,-346.320054
1882.0,4.0,349.922154,-345.922154
1883.0,1305.0,350.525554,954.474446
1884.0,1306.0,351.130253,954.869747
1885.0,5.0,351.736251,-346.736251
1886.0,1307.0,352.34355,954.65645
1887.0,6.0,352.952147,-346.952147
1888.0,7.0,353.562044,-346.562044
1889.0,8.0,354.173241,-346.173241
1890.0,9.0,354.785737,-345.785737
1891.0,10.0,355.399532,-345.399532
1892.0,11.0,356.014627,-345.014627
1893.0,1308.0,356.631021,951.368979
1894.0,1309.0,357.248715,951.751285
1895.0,1310.0,357.867708,952.132292
1896.0,1311.0,358.488001,952.511999
1897.0,12.0,359.109593,-347.109593
1898.0,13.0,359.732485,-346.732485
1899.0,1312.0,360.356676,951.643324
1900.0,14.0,360.982167,-346.982167
1901.0,1313.0,361.608957,951.391043
1902.0,15.0,362.237047,-347.237047
1903.0,16.0,362.866436,-346.866436
1904.0,17.0,363.497124,-346.497124
1905.0,18.0,364.129112,-346.129112
1906.0,19.0,364.7624,-345.7624
1907.0,20.0,365.396987,-345.396987
1908.0,21.0,366.032873,-345.032873
1909.0,22.0,366.670059,-344.670059
1910.0,23.0,367.308544,-344.308544
1911.0,24.0,367.948329,-343.948329
1912.0,25.0,368.589413,-343.589413
1913.0,1314.0,369.231797,944.768203
1914.0,26.0,369.87548,-343.87548
1915.0,1315.0,370.520463,944.479537
1916.0,27.0,371.166745,-344.166745
1917.0,1316.0,371.814327,944.185673
1918.0,1317.0,372.463208,944.536792
1919.0,28.0,373.113388,-345.113388
1920.0,1318.0,373.764868,944.235132
1921.0,29.0,374.417648,-345.417648
1922.0,30.0,375.071727,-345.071727
1923.0,31.0,375.727105,-344.727105
1924.0,32.0,376.383783,-344.383783
1925.0,33.0,377.04176,-344.04176
1926.0,34.0,377.701037,-343.701037
1927.0,35.0,378.361614,-343.361614
1928.0,36.0,379.023489,-343.023489
1929.0,37.0,379.686665,-342.686665
1930.0,38.0,380.351139,-342.351139
1931.0,39.0,381.016913,-342.016913
1932.0,40.0,381.683987,-341.683987
1933.0,41.0,382.35236,-341.35236
1934.0,42.0,383.022033,-341.022033
1935.0,43.0,383.693005,-340.693005
1936.0,1319.0,384.365276,934.634724
1937.0,44.0,385.038847,-341.038847
1938.0,45.0,385.713718,-340.713718
1939.0,46.0,386.389888,-340.389888
1940.0,1320.0,387.067357,932.932643
1941.0,47.0,387.746126,-340.746126
1942.0,48.0,388.426194,-340.426194
1943.0,49.0,389.107562,-340.107562
1944.0,50.0,389.790229,-339.790229
1945.0,51.0,390.474196,-339.474196
1946.0,52.0,391.159462,-339.159462
1947.0,53.0,391.846028,-338.846028
1948.0,54.0,392.533893,-338.533893
1949.0,55.0,393.223058,-338.223058
1950.0,1321.0,393.913522,927.086478
1951.0,56.0,394.605285,-338.605285
1952.0,57.0,395.298348,-338.298348
1953.0,1322.0,395.992711,926.007289
1954.0,58.0,396.688373,-338.688373
1955.0,59.0,397.385334,-338.385334
1956.0,1323.0,398.083595,924.916405
1957.0,1324.0,398.783155,925.216845
1958.0,60.0,399.484015,-339.484015
1959.0,61.0,400.186174,-339.186174
1960.0,1325.0,400.889633,924.110367
1961.0,62.0,401.594391,-339.594391
1962.0,63.0,402.300449,-339.300449
1963.0,64.0,403.007806,-339.007806
1964.0,65.0,403.716463,-338.716463
1965.0,66.0,404.426419,-338.426419
1966.0,67.0,405.137674,-338.137674
1967.0,1326.0,405.850229,920.149771
1968.0,68.0,406.564084,-338.564084
1969.0,69.0,407.279238,-338.279238
1970.0,70.0,407.995691,-337.995691
1971.0,71.0,408.713444,-337.713444
1972.0,72.0,409.432497,-337.432497
1973.0,73.0,410.152848,-337.152848
1974.0,1327.0,410.8745,916.1255
1975.0,1328.0,411.597451,916.402549
1976.0,74.0,412.321701,-338.321701
1977.0,75.0,413.047251,-338.047251
1978.0,1329.0,413.7741,915.2259
1979.0,76.0,414.502248,-338.502248
1980.0,77.0,415.231696,-338.231696
1981.0,78.0,415.962444,-337.962444
1982.0,79.0,416.694491,-337.694491
1983.0,80.0,417.427838,-337.427838
1984.0,81.0,418.162484,-337.162484
1985.0,82.0,418.898429,-336.898429
1986.0,83.0,419.635674,-336.635674
1987.0,84.0,420.374218,-336.374218
1988.0,85.0,421.114062,-336.114062
1989.0,86.0,421.855206,-335.855206
1990.0,1330.0,422.597648,907.402352
1991.0,87.0,423.341391,-336.341391
1992.0,88.0,424.086432,-336.086432
1993.0,89.0,424.832774,-335.832774
1994.0,1868.0,425.580414,1442.419586
1995.0,90.0,426.329354,-336.329354
1996.0,91.0,427.079594,-336.079594
1997.0,92.0,427.831133,-335.831133
1998.0,1331.0,428.583972,902.416028
1999.0,93.0,429.33811,-336.33811
2000.0,94.0,430.093547,-336.093547
2001.0,1332.0,430.850284,901.149716
2002.0,1333.0,431.608321,901.391679
2003.0,95.0,432.367657,-337.367657
2004.0,96.0,433.128292,-337.128292
2005.0,97.0,433.890227,-336.890227
2006.0,98.0,434.653461,-336.653461
2007.0,99.0,435.417995,-336.417995
2008.0,100.0,436.183828,-336.183828
2009.0,101.0,436.950961,-335.950961
2010.0,102.0,437.719393,-335.719393
2011.0,103.0,438.489125,-335.489125
2012.0,1334.0,439.260156,894.739844
