option,score,rank
1,1.0,1
2,0.344337,15
3,4.8e-05,40
4,0.000282,39
5,0.344608,14
6,0.344874,13
7,0.000582,38
8,0.345142,12
9,0.000863,37
10,0.001128,36
11,0.001394,35
12,0.001662,34
13,0.00193,33
14,0.002198,32
15,0.345422,11
16,0.345688,10
17,0.345955,9
18,0.346221,8
19,0.002522,31
20,0.002789,30
21,0.346492,7
22,0.00307,29
23,0.34676,6
24,0.003352,28
25,0.003619,27
26,0.003887,26
27,0.004154,25
28,0.004422,24
29,0.00469,23
30,0.004958,22
31,0.005227,21
32,0.005495,20
33,0.005764,19
34,0.006032,18
35,0.347052,5
36,0.006313,17
37,0.347321,4
38,0.006594,16
39,0.34759,3
40,0.347856,2
