time,state
0.0,0.0
2.0,0.009801
4.0,0.019504
6.0,0.029111
8.0,0.038622
10.0,0.048039
12.0,0.057362
14.0,0.066592
16.0,0.075731
18.0,0.084778
20.0,0.093736
22.0,0.102604
24.0,0.111384
26.0,0.120077
28.0,0.128684
30.0,0.137204
32.0,0.14564
34.0,0.153992
36.0,0.162261
38.0,0.170447
40.0,0.178552
42.0,0.186577
44.0,0.194521
46.0,0.202386
48.0,0.210173
50.0,0.217883
52.0,0.225516
54.0,0.233073
56.0,0.240554
58.0,0.247961
60.0,0.255295
62.0,0.262555
64.0,0.269744
66.0,0.27686
68.0,0.283906
70.0,0.290882
72.0,0.297789
74.0,0.304626
76.0,0.311396
78.0,0.318098
80.0,0.324734
