option,score,rank
1,1e-06,40
2,0.999337,39
3,0.999337,38
4,0.999337,37
5,0.999393,36
6,0.999701,29
7,0.999701,30
8,0.999701,31
9,0.999701,32
10,0.999701,35
11,0.999701,33
12,0.999701,34
13,0.999707,27
14,0.999707,26
15,0.999707,25
16,0.999707,24
17,0.999707,23
18,0.999707,22
19,0.999707,28
20,0.999707,21
21,0.999707,15
22,0.999707,20
23,0.999707,19
24,0.999707,18
25,0.999707,17
26,0.999707,16
27,0.999819,14
28,0.999819,13
29,0.999845,9
30,0.999845,12
31,0.999845,11
32,0.999845,10
33,0.99987,8
34,0.99987,7
35,0.99987,6
36,0.99987,5
37,0.999872,4
38,0.999989,3
39,0.999989,2
40,0.999999,1
