t,observed,fitted,type
1,5.0,-1.078431,history
2,0.0,-0.120878,history
3,0.0,0.836676,history
4,1.0,1.794229,history
5,2.0,2.751783,history
6,3.0,3.709336,history
7,4.0,4.666889,history
8,5.0,5.624443,history
9,6.0,6.581996,history
10,7.0,7.53955,history
11,8.0,8.497103,history
12,9.0,9.454657,history
13,10.0,10.41221,history
14,11.0,11.369764,history
15,12.0,12.327317,history
16,13.0,13.284871,history
17,14.0,14.242424,history
18,15.0,15.199978,history
19,16.0,16.157531,history
20,17.0,17.115085,history
21,18.0,18.072638,history
22,19.0,19.030192,history
23,20.0,19.987745,history
24,21.0,20.945299,history
25,22.0,21.902852,history
26,23.0,22.860406,history
27,24.0,23.817959,history
28,25.0,24.775512,history
29,26.0,25.733066,history
30,27.0,26.690619,history
31,28.0,27.648173,history
32,29.0,28.605726,history
33,30.0,29.56328,history
49,,44.884135,forecast
50,,45.841689,forecast
51,,46.799242,forecast
52,,47.756796,forecast
53,,48.714349,forecast
54,,49.671903,forecast
55,,50.629456,forecast
56,,51.58701,forecast
57,,52.544563,forecast
58,,53.502117,forecast
59,,54.45967,forecast
60,,55.417224,forecast
