sample,true_label,cluster,pc1,pc2,pred_prob_1
1,0,1,0.911128,-1.076418,0.00795
2,0,1,0.974132,-0.984919,0.010165
3,0,1,0.995097,-0.954424,0.011031
4,0,1,1.01819,-0.92718,0.011986
5,0,1,1.026629,-0.908685,0.01247
6,0,1,1.037153,-0.89344,0.012989
7,0,1,1.049543,-0.881415,0.013546
8,0,1,1.057992,-0.862934,0.014092
9,0,1,1.070425,-0.850787,0.014696
10,0,1,1.080755,-0.835295,0.015305
11,0,1,1.089567,-0.817202,0.015923
12,0,1,1.100009,-0.801952,0.016584
13,0,1,1.112318,-0.789543,0.01729
14,0,1,1.122676,-0.774289,0.018007
15,0,1,2.798231,1.668152,0.931689
16,0,1,1.141857,-0.740958,0.019507
17,0,1,1.15234,-0.725711,0.020313
18,0,1,1.163857,-0.712107,0.021166
19,0,1,1.174331,-0.696845,0.022039
20,0,1,1.183789,-0.679968,0.022933
21,0,1,1.194396,-0.664726,0.023878
22,0,1,1.205882,-0.651073,0.024876
23,0,1,1.215237,-0.634225,0.025882
24,0,1,1.225844,-0.618984,0.026945
25,0,1,1.237178,-0.605279,0.028067
26,0,1,1.246768,-0.588486,0.029199
27,0,1,1.258131,-0.574764,0.030411
28,0,1,1.267651,-0.557987,0.031636
29,0,1,1.278258,-0.542746,0.032927
30,1,1,1.290534,-0.530327,0.034307
31,0,1,1.300199,-0.5138,0.035684
32,0,1,1.309583,-0.496997,0.037112
33,0,1,1.321975,-0.484592,0.038659
34,0,1,1.331618,-0.468009,0.040204
35,0,1,1.342159,-0.452855,0.041831
36,0,1,1.351638,-0.436013,0.043494
37,1,1,1.365349,-0.422006,0.045367
38,0,1,1.373528,-0.406985,0.047091
39,0,1,1.384091,-0.391865,0.048983
40,0,1,1.395314,-0.377857,0.050968
41,0,1,1.404924,-0.361224,0.052978
42,0,1,1.415372,-0.34592,0.055089
43,0,1,1.424894,-0.329274,0.05725
44,0,1,1.436505,-0.315627,0.059558
45,0,1,1.445943,-0.298783,0.061879
46,1,1,2.787838,1.652908,0.929015
47,0,1,1.467741,-0.269612,0.066887
48,0,1,1.477391,-0.25304,0.06948
49,0,1,1.487791,-0.237789,0.0722
50,0,1,1.499148,-0.223802,0.075052
51,0,1,1.508841,-0.207299,0.077937
52,0,1,1.519365,-0.192053,0.080959
53,1,1,1.532139,-0.176558,0.084259
54,0,1,1.541054,-0.162771,0.087364
55,0,1,1.551452,-0.147517,0.090716
56,0,1,1.561968,-0.132195,0.094181
57,0,1,1.571747,-0.115828,0.097728
58,0,1,1.582261,-0.100567,0.101433
59,0,1,1.593455,-0.086449,0.105304
60,0,1,1.603103,-0.070066,0.109219
61,0,1,1.61371,-0.054824,0.113306
62,0,1,1.624193,-0.039576,0.117525
63,0,1,1.635377,-0.025443,0.121926
64,0,1,1.645159,-0.009083,0.126373
65,0,1,1.656214,0.005064,0.131055
66,0,1,1.666124,0.021413,0.135784
67,0,1,1.676607,0.036661,0.140707
68,0,1,1.68777,0.050828,0.145832
69,0,1,1.697531,0.067158,0.151001
70,0,1,1.708014,0.082406,0.156377
71,0,1,1.718539,0.09765,0.161907
72,0,1,1.729697,0.111825,0.167653
73,0,1,1.739462,0.128149,0.173439
74,0,1,1.749945,0.143396,0.179444
75,0,1,1.76047,0.158642,0.185611
76,0,1,1.771564,0.172855,0.192003
77,0,1,1.781558,0.188942,0.198444
78,0,1,1.791997,0.204195,0.2051
79,0,1,2.777265,1.637657,0.926237
80,0,1,1.812884,0.23488,0.218892
81,0,1,1.823444,0.249941,0.226054
82,0,1,1.833726,0.26538,0.233353
83,1,1,1.846625,0.280868,0.241235
84,0,1,1.854814,0.295873,0.248466
85,0,1,1.865174,0.311123,0.256263
86,0,1,1.875884,0.326202,0.264232
87,0,1,1.886324,0.341453,0.272345
88,1,1,1.896754,0.356868,0.280609
89,0,1,1.907107,0.372111,0.289017
90,0,1,1.917588,0.387361,0.297583
91,0,1,1.928252,0.402449,0.306308
92,0,1,1.938649,0.417705,0.315158
93,0,1,1.949211,0.432955,0.324146
94,0,1,1.959734,0.448201,0.333266
95,0,1,1.970175,0.463453,0.342512
96,0,1,1.980609,0.478841,0.351867
97,0,1,1.991051,0.49409,0.361349
98,0,1,2.001575,0.509336,0.370941
99,0,1,2.012117,0.52449,0.380644
100,1,1,2.02489,0.539986,0.390962
101,1,1,2.033155,0.55508,0.400318
102,1,1,2.043638,0.570328,0.41028
103,1,1,2.054178,0.585484,0.420324
104,1,1,2.066766,0.601065,0.430949
105,0,1,2.074964,0.615991,0.440572
106,0,1,2.085396,0.631318,0.450775
107,0,1,2.095964,0.646495,0.461034
108,1,1,2.106537,0.66181,0.471325
109,1,1,2.11918,0.677303,0.482175
110,1,1,2.129661,0.692553,0.4925
111,0,1,2.137811,0.707556,0.502278
112,1,1,2.150629,0.723045,0.513162
113,1,1,2.161111,0.738294,0.523481
114,1,1,2.171628,0.753487,0.533784
115,1,1,2.182075,0.768791,0.544049
116,1,1,2.192593,0.783984,0.554286
117,1,1,2.203041,0.799286,0.564467
118,1,1,2.213557,0.814481,0.574605
119,1,1,2.224006,0.829782,0.58467
120,1,1,2.234489,0.845029,0.59467
121,1,1,2.244998,0.860236,0.604596
122,1,1,2.255455,0.875524,0.614428
123,1,1,2.265939,0.89077,0.624172
124,1,1,2.276433,0.906,0.633819
125,1,0,-0.026899,1.734211,0.911906
126,0,0,-1.358808,-0.723575,0.002749
127,0,0,-1.358808,-0.723575,0.002749
128,0,0,-1.358808,-0.723575,0.002749
129,0,0,-1.358808,-0.723575,0.002749
130,0,0,-1.789871,-0.033518,0.002105
131,0,0,-3.85118,3.242497,0.000586
132,0,0,-1.424966,-0.614367,0.002639
133,0,0,-1.424966,-0.614367,0.002639
134,0,0,-2.133014,0.510675,0.001701
135,0,0,-3.851146,3.242825,0.000586
136,0,0,-1.266992,-0.867559,0.002908
137,0,0,-2.108183,0.472328,0.001727
138,0,0,-1.141649,-1.065004,0.003143
139,0,0,-1.141649,-1.065004,0.003143
140,0,0,-1.141649,-1.065004,0.003143
141,0,0,-1.141649,-1.065004,0.003143
142,0,0,-2.020039,0.340501,0.001828
143,0,0,-1.141607,-1.065006,0.003143
144,0,0,-2.040262,0.367832,0.001803
145,0,0,-2.040262,0.367832,0.001803
146,0,0,-1.848303,0.058072,0.002028
147,0,0,-2.159985,0.555464,0.001673
148,0,0,-2.347176,0.857214,0.001491
149,0,0,-1.748928,-0.099777,0.002157
150,0,0,-2.158456,0.555283,0.001675
151,0,0,-2.158456,0.555283,0.001675
152,0,0,-2.01666,0.33064,0.001829
153,0,0,-1.839843,0.044829,0.002039
154,0,0,-1.467676,-0.544976,0.002569
155,0,0,-1.467676,-0.544976,0.002569
156,0,0,-1.467677,-0.544976,0.002569
157,0,0,-1.467677,-0.544976,0.002569
158,0,0,-1.467677,-0.544976,0.002569
159,0,0,-1.467677,-0.544976,0.002569
160,0,0,-1.467677,-0.544975,0.002569
161,0,0,-1.467677,-0.544975,0.002569
162,0,0,-1.467677,-0.544975,0.002569
163,0,0,-1.467677,-0.544975,0.002569
164,0,0,-1.467677,-0.544975,0.002569
165,0,0,-1.467677,-0.544975,0.002569
166,0,0,-1.673982,-0.217167,0.00226
167,0,0,-1.673982,-0.217167,0.00226
168,0,0,-1.673982,-0.217166,0.00226
169,0,0,-1.673941,-0.217168,0.00226
170,0,0,-1.673941,-0.217168,0.00226
171,0,0,-1.673941,-0.217168,0.00226
172,0,0,-1.673941,-0.217168,0.00226
173,0,0,-1.673941,-0.217168,0.00226
174,0,0,-1.673941,-0.217168,0.00226
175,0,0,-1.673941,-0.217168,0.00226
176,0,0,-1.673941,-0.217168,0.00226
177,0,0,-1.673942,-0.217167,0.00226
178,0,0,-1.673942,-0.217167,0.00226
179,0,0,-1.673942,-0.217167,0.00226
180,0,0,-1.673942,-0.217167,0.00226
181,0,0,-1.673942,-0.217167,0.00226
182,0,0,-1.673942,-0.217167,0.00226
183,0,0,-1.673942,-0.217167,0.00226
184,0,0,-1.673942,-0.217167,0.00226
185,0,0,-1.673942,-0.217167,0.00226
186,0,0,-1.673942,-0.217167,0.00226
187,0,0,-1.673942,-0.217166,0.00226
188,0,0,-1.673942,-0.217166,0.00226
189,0,0,-1.673942,-0.217166,0.00226
190,0,0,-2.089254,0.450789,0.00175
191,0,0,-1.199125,-0.970779,0.003034
192,0,0,-1.489027,-0.506954,0.002537
193,0,0,-2.088968,0.450781,0.00175
194,0,0,-1.451006,-0.566549,0.002597
195,0,0,-1.451006,-0.566549,0.002597
196,0,0,-2.088927,0.450781,0.00175
197,0,0,-2.131858,0.510627,0.001701
198,0,0,-1.35988,-0.70893,0.00275
199,0,0,-2.081969,0.439732,0.001758
200,0,0,-2.088846,0.45078,0.00175
201,0,0,-1.908912,0.154927,0.001953
202,0,0,-1.90314,0.145785,0.00196
203,0,0,-1.906936,0.152895,0.001955
204,0,0,-1.906936,0.152895,0.001955
205,0,0,-2.119967,0.492394,0.001714
206,0,0,-1.4899,-0.503276,0.002536
207,0,0,-1.513126,-0.46874,0.002498
208,0,0,-2.051159,0.387494,0.00179
209,0,0,-2.149391,0.543689,0.001684
210,0,0,-2.369297,0.896316,0.001471
211,0,0,-2.088508,0.450323,0.001751
