point_id,x,y,distance_to_fit_center
1,-22.324928,22.33533,15.842797
2,-0.018116,-0.032135,15.79146
3,-0.017877,-0.03129,15.79099
4,-0.017398,-0.030374,15.790627
5,-0.01716,-0.029481,15.790122
6,-0.016681,-0.028565,15.789759
7,-0.016442,-0.027672,15.789254
8,-0.016203,-0.026756,15.788731
9,-0.015725,-0.025768,15.788315
10,-0.015485,-0.024708,15.787686
11,-0.015007,-0.023573,15.787161
12,-0.014768,-0.022365,15.786421
13,-0.014289,-0.021328,15.785969
14,-0.013811,-0.02034,15.785553
15,-0.013332,-0.01928,15.785084
16,-0.012854,-0.018146,15.78456
17,-0.012615,-0.016937,15.78382
18,-0.012136,-0.015901,15.783369
19,-0.011658,-0.015008,15.783024
20,-0.011179,-0.014092,15.782662
21,-0.01094,-0.015319,15.783735
22,-0.010701,-0.017128,15.785241
23,-0.010221,-0.018937,15.786908
24,-0.009982,-0.020747,15.788414
25,-0.009743,-0.022517,15.789891
26,-0.009503,-0.024202,15.791305
27,-0.009024,-0.025804,15.792817
28,-0.008784,-0.027324,15.794108
29,-0.008545,-0.028764,15.79534
30,-0.008306,-0.030126,15.796513
31,-0.008066,-0.031411,15.79763
32,-0.007587,-0.032619,15.798849
33,-0.007348,-0.033753,15.799853
34,-0.007108,-0.034814,15.800803
35,-0.006868,-0.035802,15.801699
36,-0.006628,-0.036718,15.802541
37,-0.006388,-0.037563,15.80333
38,-0.006148,-0.038338,15.804067
39,-0.005908,-0.039043,15.804752
40,-0.005668,-0.039679,15.805386
41,-0.005428,-0.040247,15.805969
42,-0.005188,-0.040747,15.806502
43,-0.004948,-0.04118,15.806984
44,-0.004708,-0.041545,15.807416
45,-0.004468,-0.041844,15.807799
46,-0.004228,-0.042076,15.808132
47,-0.003988,-0.043038,15.809009
48,-0.003748,-0.043954,15.809851
49,-0.003508,-0.044799,15.81064
50,-0.003268,-0.045574,15.811377
51,-0.003029,-0.04628,15.812062
52,-0.00279,-0.046916,15.812695
53,-0.002553,-0.047484,15.813277
54,-0.002316,-0.047984,15.813807
55,-0.00208,-0.048417,15.814287
56,-0.001843,-0.048782,15.814717
57,-0.001606,-0.049081,15.815098
58,-0.001366,-0.049312,15.815431
59,-0.001123,-0.049478,15.815716
60,-0.000877,-0.049793,15.816115
61,-0.000633,-0.050226,15.8166
62,-0.000395,-0.050591,15.817031
63,-0.000163,-0.05089,15.817408
64,6.9e-05,-0.051122,15.817735
65,0.000311,-0.051287,15.81802
66,0.000559,-0.051387,15.81826
67,0.000804,-0.05142,15.818448
68,0.001038,-0.051387,15.81858
69,0.001268,-0.051287,15.818659
70,0.001504,-0.051122,15.818693
71,0.001748,-0.05089,15.818684
72,0.001996,-0.050591,15.818627
73,0.002239,-0.050226,15.818517
74,0.002474,-0.049793,15.818351
75,0.002705,-0.049293,15.818134
76,0.002941,-0.048725,15.817868
77,0.003182,-0.048089,15.817556
78,0.003426,-0.047383,15.817194
79,0.00367,-0.046609,15.81678
80,0.003912,-0.046175,15.816618
81,0.004151,-0.045675,15.816405
82,0.004387,-0.045107,15.81614
83,0.004622,-0.04447,15.815824
84,0.004858,-0.043765,15.815456
85,0.005095,-0.04299,15.815038
86,0.005335,-0.042145,15.81457
87,0.005576,-0.041229,15.814049
88,0.005818,-0.040241,15.813475
89,0.00606,-0.039181,15.812848
90,0.006301,-0.038047,15.812165
91,0.006543,-0.036838,15.811427
92,0.006782,-0.035753,15.81078
93,0.007021,-0.035104,15.810456
94,0.007259,-0.035005,15.810542
95,0.007495,-0.034839,15.810576
96,0.007732,-0.034607,15.810562
97,0.00797,-0.034309,15.810499
98,0.008208,-0.033943,15.810386
99,0.008447,-0.033943,15.810546
100,0.008687,-0.034309,15.810978
101,0.008928,-0.034607,15.811362
102,0.00917,-0.034839,15.811695
103,0.009411,-0.035005,15.81198
104,0.009653,-0.035104,15.812216
105,0.009894,-0.035137,15.812401
106,0.010133,-0.035137,15.812561
107,0.010372,-0.035104,15.812696
