sample,true_label,cluster,pc1,pc2,pred_prob_1
1,0,1,-21.867283,-1.347992,2.8e-05
2,0,0,-0.180871,1.077825,5.5e-05
3,0,0,-0.178583,1.068406,5.9e-05
4,0,0,-0.176295,1.058986,6.3e-05
5,0,0,-0.174008,1.049566,6.7e-05
6,0,0,-0.17172,1.040147,7.2e-05
7,0,0,-0.321094,12.659924,7.5e-05
8,0,0,-0.167144,1.021308,8.3e-05
9,0,0,-0.164856,1.011888,8.9e-05
10,0,0,-0.162568,1.002469,9.6e-05
11,0,0,-0.16028,0.993049,0.000102
12,0,0,-0.157992,0.98363,0.00011
13,0,0,-0.155704,0.97421,0.000118
14,0,0,-0.153416,0.964791,0.000126
15,0,0,-0.151128,0.955371,0.000135
16,0,0,-0.14884,0.945951,0.000145
17,0,0,-0.146552,0.936532,0.000156
18,0,0,-0.144264,0.927112,0.000167
19,0,0,-0.141976,0.917693,0.000179
20,0,0,-0.139689,0.908273,0.000192
21,0,0,-0.137401,0.898854,0.000206
22,0,0,-0.135113,0.889434,0.000221
23,0,0,-0.132825,0.880015,0.000237
24,0,0,-0.130537,0.870595,0.000254
25,0,0,-0.128249,0.861176,0.000272
26,0,0,-0.125961,0.851756,0.000292
27,0,0,-0.123673,0.842336,0.000313
28,0,0,-0.121385,0.832917,0.000336
29,0,0,-0.119097,0.823497,0.00036
30,0,0,-0.116809,0.814078,0.000386
31,0,0,-0.114521,0.804658,0.000414
32,0,0,-0.112233,0.795239,0.000444
33,0,0,-0.109945,0.785819,0.000476
34,0,0,-0.107657,0.7764,0.000511
35,0,0,-0.10537,0.76698,0.000547
36,0,0,-0.103082,0.75756,0.000587
37,0,0,-0.100794,0.748141,0.00063
38,0,0,-0.098506,0.738721,0.000675
39,0,0,-0.096218,0.729302,0.000724
40,0,0,-0.09393,0.719882,0.000776
41,0,0,-0.091642,0.710463,0.000832
42,0,0,-0.089354,0.701043,0.000892
43,0,0,-0.087066,0.691624,0.000957
44,0,0,-0.084778,0.682204,0.001026
45,0,0,-0.08249,0.672785,0.0011
46,0,0,-0.080202,0.663365,0.00118
47,0,0,-0.077914,0.653945,0.001265
48,0,0,-0.075626,0.644526,0.001356
49,0,0,-0.073338,0.635106,0.001454
50,0,0,-0.071051,0.625687,0.001559
51,0,0,-0.068763,0.616267,0.001672
52,0,0,-0.066475,0.606848,0.001793
53,0,0,-0.064187,0.597428,0.001922
54,0,0,-0.061899,0.588009,0.002061
55,0,0,-0.059611,0.578589,0.002209
56,0,0,-0.057323,0.56917,0.002369
57,0,0,-0.055035,0.55975,0.00254
58,0,0,-0.052747,0.55033,0.002723
59,0,0,-0.050459,0.540911,0.002919
60,0,0,-0.048171,0.531491,0.00313
61,0,0,-0.045883,0.522072,0.003356
62,0,0,-0.043595,0.512652,0.003598
63,0,0,-0.041307,0.503233,0.003857
64,0,0,-0.039019,0.493813,0.004135
65,0,0,-0.036732,0.484394,0.004432
66,0,0,-0.034444,0.474974,0.004751
67,0,0,-0.032156,0.465555,0.005093
68,0,0,-0.029868,0.456135,0.00546
69,0,0,-0.02758,0.446715,0.005853
70,0,0,-0.025292,0.437296,0.006273
71,0,0,-0.023004,0.427876,0.006724
72,0,0,-0.020716,0.418457,0.007207
73,0,0,-0.018428,0.409037,0.007724
74,0,0,-0.01614,0.399618,0.008278
75,0,0,-0.013852,0.390198,0.008872
76,0,0,-0.011564,0.380779,0.009507
77,0,0,-0.009276,0.371359,0.010188
78,0,0,-0.006988,0.36194,0.010917
79,0,0,-0.0047,0.35252,0.011698
80,0,0,-0.002413,0.3431,0.012533
81,0,0,-0.000125,0.333681,0.013428
82,0,0,0.002163,0.324261,0.014385
83,0,0,0.004451,0.314842,0.01541
84,0,0,0.006739,0.305422,0.016506
85,0,0,0.009027,0.296003,0.017679
86,0,0,0.011315,0.286583,0.018934
87,0,0,0.013603,0.277164,0.020275
88,0,0,0.015891,0.267744,0.02171
89,0,0,0.018179,0.258325,0.023244
90,0,0,0.020467,0.248905,0.024884
91,0,0,0.022755,0.239485,0.026636
92,0,0,0.025043,0.230066,0.028508
93,0,0,0.027331,0.220646,0.030507
94,0,0,0.029618,0.211227,0.032642
95,0,0,0.031906,0.201807,0.034921
96,0,0,0.034194,0.192388,0.037352
97,0,0,0.036482,0.182968,0.039946
98,0,0,0.03877,0.173549,0.042713
99,0,0,0.041058,0.164129,0.045661
100,0,0,0.043346,0.154709,0.048803
101,0,0,0.045634,0.14529,0.05215
102,0,0,0.047922,0.13587,0.055712
103,0,0,0.05021,0.126451,0.059502
104,0,0,0.052498,0.117031,0.063533
105,0,0,0.054786,0.107612,0.067817
106,0,0,0.057074,0.098192,0.072368
107,0,0,0.059362,0.088773,0.077199
108,0,0,0.06165,0.079353,0.082323
109,0,0,0.063937,0.069934,0.087756
110,0,0,0.066225,0.060514,0.09351
111,0,0,0.068513,0.051094,0.099601
112,0,0,0.070801,0.041675,0.106042
113,0,0,0.073089,0.032255,0.112847
114,0,0,0.075377,0.022836,0.120031
115,0,0,0.077665,0.013416,0.127606
116,0,0,0.079953,0.003997,0.135585
117,0,0,0.082241,-0.005423,0.143981
118,0,0,0.084529,-0.014842,0.152804
119,0,0,0.086817,-0.024262,0.162067
120,0,0,0.089105,-0.033681,0.171776
121,0,0,0.091393,-0.043101,0.181942
122,0,0,0.093681,-0.052521,0.192569
