t,observed,fitted,type
1,3.0,55.923123,history
2,7.0,56.598786,history
3,2.0,57.274449,history
4,1.0,57.950112,history
5,4.0,58.625774,history
6,8.0,59.301437,history
7,1.0,59.9771,history
8,149.0,60.652763,history
9,2.0,61.328426,history
10,3.0,62.004088,history
11,42.0,62.679751,history
12,84.0,63.355414,history
13,1.0,64.031077,history
14,2.0,64.70674,history
15,3.0,65.382402,history
16,2.2,66.058065,history
17,35.0,66.733728,history
18,1.0,67.409391,history
19,7.0,68.085054,history
20,1.0,68.760716,history
21,2023.0,69.436379,history
22,20.0,70.112042,history
23,1.1,70.787705,history
24,1.2,71.463368,history
25,6.0,72.13903,history
26,3.0,72.814693,history
27,1.0,73.490356,history
28,2.1,74.166019,history
29,3.0,74.841682,history
30,1.0,75.517344,history
31,3.1,76.193007,history
32,3.2,76.86867,history
33,8.0,77.544333,history
34,1.0,78.219996,history
35,3.0,78.895659,history
36,1.0,79.571321,history
49,,88.354938,forecast
50,,89.030601,forecast
51,,89.706263,forecast
52,,90.381926,forecast
53,,91.057589,forecast
54,,91.733252,forecast
55,,92.408915,forecast
56,,93.084577,forecast
57,,93.76024,forecast
58,,94.435903,forecast
59,,95.111566,forecast
60,,95.787229,forecast
