time,state
0.0,0.0
2.0,0.149252
4.0,0.29702
6.0,0.443317
8.0,0.588158
10.0,0.731559
12.0,0.873532
14.0,1.014094
16.0,1.153258
18.0,1.291038
20.0,1.427447
22.0,1.5625
24.0,1.696209
26.0,1.828587
28.0,1.959648
30.0,2.089404
32.0,2.217869
34.0,2.345056
36.0,2.470976
38.0,2.595643
40.0,2.71907
42.0,2.841267
44.0,2.962248
46.0,3.082025
48.0,3.200609
50.0,3.318014
52.0,3.434249
54.0,3.549328
56.0,3.663262
58.0,3.776061
60.0,3.887738
62.0,3.998304
64.0,4.10777
66.0,4.216147
68.0,4.323445
70.0,4.429676
72.0,4.534851
74.0,4.638979
76.0,4.742072
78.0,4.844139
80.0,4.945191
