x,observed_y,predicted_y,residual
0.0,1.0,27.871143,-26.871143
2016.0,1.0,0.97784,0.02216
13.0,42.8,36.347748,6.452252
14.0,42.8,36.995144,5.804856
15.0,42.81,37.641875,5.168125
16.0,42.84,38.287942,4.552058
17.0,42.8,38.933345,3.866655
18.0,42.77,39.578083,3.191917
2.0,12.0,29.182544,-17.182544
13.0,42.77,36.347748,6.422252
14.0,42.78,36.995144,5.784856
19.0,42.81,40.222157,2.587843
15.0,42.79,37.641875,5.148125
17.0,42.79,38.933345,3.856655
18.0,42.71,39.578083,3.131917
3.0,12.0,29.837249,-17.837249
13.0,42.72,36.347748,6.372252
14.0,42.76,36.995144,5.764856
15.0,42.79,37.641875,5.148125
17.0,42.78,38.933345,3.846655
18.0,42.73,39.578083,3.151917
4.0,12.0,30.491288,-18.491288
13.0,42.72,36.347748,6.372252
14.0,42.7,36.995144,5.704856
15.0,42.74,37.641875,5.098125
17.0,42.72,38.933345,3.786655
18.0,42.72,39.578083,3.141917
20.0,42.68,40.865566,1.814434
5.0,12.0,31.144664,-19.144664
13.0,42.74,36.347748,6.392252
14.0,42.73,36.995144,5.734856
15.0,42.75,37.641875,5.108125
17.0,42.73,38.933345,3.796655
21.0,42.76,41.508311,1.251689
18.0,42.76,39.578083,3.181917
6.0,12.0,31.797374,-19.797374
13.0,42.75,36.347748,6.402252
14.0,42.77,36.995144,5.774856
15.0,42.77,37.641875,5.128125
22.0,42.79,42.150392,0.639608
17.0,42.77,38.933345,3.836655
18.0,42.78,39.578083,3.201917
7.0,12.0,32.449421,-20.449421
13.0,42.78,36.347748,6.432252
14.0,42.78,36.995144,5.784856
15.0,42.79,37.641875,5.148125
17.0,42.79,38.933345,3.856655
21.0,42.81,41.508311,1.301689
18.0,42.77,39.578083,3.191917
8.0,12.0,33.100803,-21.100803
13.0,42.78,36.347748,6.432252
23.0,42.77,42.791808,-0.021808
14.0,42.79,36.995144,5.794856
19.0,42.84,40.222157,2.617843
15.0,42.81,37.641875,5.168125
17.0,42.84,38.933345,3.906655
18.0,42.82,39.578083,3.241917
9.0,12.0,33.751521,-21.751521
13.0,42.81,36.347748,6.462252
14.0,42.81,36.995144,5.814856
15.0,42.81,37.641875,5.168125
17.0,42.82,38.933345,3.886655
18.0,42.8,39.578083,3.221917
20.0,42.79,40.865566,1.924434
10.0,12.0,34.401574,-22.401574
24.0,42.8,43.43256,-0.63256
13.0,42.8,36.347748,6.452252
14.0,42.78,36.995144,5.784856
15.0,42.77,37.641875,5.128125
17.0,42.75,38.933345,3.816655
18.0,42.74,39.578083,3.161917
20.0,42.73,40.865566,1.864434
