n,acceptance_number,reject_good_probability,accept_bad_probability
20,0,0.18209306240276923,0.3981689883260304
30,0,0.2602996266117198,0.2512471519885116
40,0,0.3310282414303197,0.15853854326457453
50,0,0.39499393286246365,0.10003882432706206
60,0,0.4528433576092388,0.06312513138233825
70,0,0.505161340399793,0.03983235747563178
80,0,0.5524767862361895,0.025134469700453372
90,0,0.5952680273216762,0.0158600094787131
100,1,0.2642380210770443,0.057164780694556
110,1,0.3011523691000819,0.039046975916889576
120,1,0.3377342858848429,0.026516535034029412
130,1,0.3737098441591249,0.017916908006946303
140,1,0.40886054071365496,0.012053302799468686
150,1,0.443015201793168,0.008077463589362129
160,1,0.47604292973646734,0.005394609926584436
170,1,0.5078469657486263,0.0035918705160066706
180,1,0.53835935809539,0.0023850196864087883
190,1,0.5675363378055508,0.0015797535883828324
200,2,0.32332130546434423,0.00546935831160709
210,2,0.3505025062612088,0.003767938053379782
220,2,0.3775543377597025,0.0025863110769509946
230,2,0.4043599364396663,0.0017692684322734183
240,2,0.4308157477143775,0.0012065758497319904
250,2,0.45683102668427533,0.0008204708228926746
260,2,0.4823272192228807,0.0005564272465699717
270,2,0.5072372597807173,0.00037641797747684056
280,2,0.5315048155743807,0.0002540511153953633
290,2,0.5550835011431128,0.0001710904509194613
300,3,0.3527662253574617,0.0005821786242616228
310,3,0.3752709131289479,0.00040251184080265383
320,3,0.3977028002573012,0.0002775484009826564
330,3,0.4199939382450749,0.00019089826509746292
340,3,0.44208176752737915,0.0001309871219232026
350,3,0.46390915718367154,8.96755379893644e-05
360,3,0.4854243775333785,6.126173202485014e-05
370,3,0.5065810159424471,4.176588577229692e-05
380,3,0.5273378453105484,2.841940859319422e-05
390,3,0.5476586538440591,1.9302337575202085e-05
400,4,0.3711614203293945,6.50484694652292e-05
410,4,0.3907884056692996,4.506341840589642e-05
420,4,0.41036730202943494,3.1152603376119965e-05
430,4,0.4298524662288399,2.1492546607477986e-05
440,4,0.449201032416223,1.4799339340255814e-05
450,4,0.4683730007169249,1.0171686234287454e-05
460,4,0.48733129181779733,6.978673113830436e-06
470,4,0.506041770851172,4.779837640571383e-06
480,4,0.5244732438754258,3.268459464498941e-06
490,4,0.5425974301476525,2.2314662407547268e-06
500,5,0.3840378681785499,7.473527396480813e-06
510,5,0.4016671544301278,5.184002863697443e-06
520,5,0.419261678913901,3.589611751572227e-06
530,5,0.43678810923872224,2.4814156883933094e-06
540,5,0.4542147583784233,1.7125651588938401e-06
550,5,0.47151166266679034,1.180088644609864e-06
560,5,0.4886506410873459,8.119425103315814e-07
570,5,0.5056053371127971,5.578289775404739e-07
580,5,0.5223512443926895,3.8270394945268134e-07
590,5,0.538865717610142,2.6219887823655694e-07
600,6,0.3936958655494953,8.743642237974328e-07
610,6,0.40983463004314546,6.070384724617133e-07
620,6,0.42594676952435073,4.20818415588526e-07
630,6,0.44200657781392605,2.913047323978226e-07
640,6,0.45798941617908795,2.0136934327936632e-07
650,6,0.47387177531159985,1.3901129367473237e-07
660,6,0.4896313262067006,9.583736553416792e-08
670,6,0.5052469604555184,6.598786875281148e-08
680,6,0.5206988205099848,4.537885176390356e-08
690,6,0.5359683205147026,3.116865983859253e-08
