point_id,x,y,distance_to_fit_center
1,6.181843,-1.767904,6.180564
2,6.026273,-0.968134,6.071322
3,5.843901,-0.089706,6.065171
4,5.548665,0.675315,6.041589
5,5.338369,1.206765,6.085931
6,4.888355,2.023644,6.154989
7,4.2825,2.576917,6.064342
8,3.831721,3.074198,6.135066
9,3.080222,3.761736,6.285676
10,2.378933,3.872393,6.075229
11,1.565151,4.218032,6.138842
12,0.8395,4.328783,6.104898
13,-0.040716,4.426513,6.144981
14,-0.681981,4.371139,6.127697
15,-1.606804,4.206585,6.139308
16,-2.351493,3.883031,6.075495
17,-3.13229,3.67243,6.235441
18,-3.586762,3.134799,6.035582
19,-4.317495,2.608456,6.113472
20,-4.869045,1.910118,6.073514
21,-5.186709,1.31308,6.008883
22,-5.580333,0.725232,6.093239
23,-5.909249,-0.162545,6.112048
24,-5.97597,-0.848159,6.040452
25,-6.13929,-1.78792,6.141162
26,-6.041106,-2.439295,6.085442
27,-5.84168,-3.349425,6.066546
28,-5.750428,-4.089057,6.221318
29,-5.289184,-4.824568,6.135133
30,-4.831787,-5.434674,6.09686
31,-4.361179,-6.124495,6.200573
32,-3.753573,-6.680951,6.223189
33,-3.005934,-7.014792,6.090739
34,-2.354506,-7.419749,6.169029
35,-1.472082,-7.675027,6.136261
36,-0.724005,-7.757026,6.082125
37,0.076593,-7.668556,5.950706
38,0.686574,-7.723619,6.044248
39,1.544075,-7.723522,6.200163
40,2.346979,-7.491052,6.231033
41,2.99793,-7.110551,6.168861
42,3.661319,-6.442441,5.975929
43,4.204045,-6.034497,6.024195
44,4.870623,-5.36105,6.080956
45,5.32056,-4.753075,6.123917
46,5.724926,-4.042945,6.177518
47,5.985834,-3.321762,6.195445
48,6.033922,-2.425576,6.073763
