option,score,rank
1,0.998597,1
2,0.000156,40
3,0.001649,39
4,0.003288,38
5,0.004929,37
6,0.006576,36
7,0.008216,35
8,0.009857,34
9,0.011498,33
10,0.01314,32
11,0.014786,31
12,0.016427,30
13,0.018068,29
14,0.01971,28
15,0.021351,27
16,0.022993,26
17,0.024638,25
18,0.02628,24
19,0.027921,23
20,0.029563,22
21,0.031208,21
22,0.03285,20
23,0.034491,19
24,0.036133,18
25,0.037778,17
26,0.03942,16
27,0.041061,15
28,0.042703,14
29,0.044348,13
30,0.045989,12
31,0.047631,11
32,0.049273,10
33,0.050914,9
34,0.052559,8
35,0.054201,7
36,0.055842,6
37,0.057484,5
38,0.059129,4
39,0.060771,3
40,0.062412,2
