point_id,x,y,distance_to_fit_center
1,-1.715004,-2.407686,2.946889
2,-1.715004,-0.983781,2.076723
3,-1.703533,-0.992756,2.069787
4,-1.692062,-0.997012,2.061011
5,-1.68059,-0.99914,2.051401
6,-1.669119,-1.000805,2.041621
7,-1.657648,-1.00136,2.031401
8,-1.646176,-1.003858,2.022004
9,-1.634705,-1.005616,2.012321
10,-1.623234,-1.006032,2.002091
11,-1.611762,-1.006125,1.991737
12,-1.600291,-1.005893,1.981258
13,-1.58882,-1.006495,1.971147
14,-1.577348,-1.007281,1.96113
15,-1.565877,-1.007281,1.950789
16,-1.554406,-1.006541,1.940138
17,-1.542934,-1.006495,1.9298
18,-1.531463,-1.006263,1.919394
19,-1.519992,-0.999787,1.906243
20,-1.50852,-0.997243,1.894824
21,-1.497049,-0.988916,1.880857
22,-1.485578,-0.981515,1.867299
23,-1.474106,-0.974853,1.854068
24,-1.462635,-0.96315,1.838631
25,-1.451163,-0.94992,1.822549
26,-1.439692,-0.943027,1.809224
27,-1.428221,-0.931185,1.793769
28,-1.416749,-0.917261,1.777446
29,-1.405278,-0.903938,1.76141
30,-1.393807,-0.893252,1.746507
31,-1.382335,-0.879652,1.730406
32,-1.370864,-0.87077,1.716285
33,-1.359393,-0.869012,1.705117
34,-1.347921,-0.864387,1.69276
35,-1.33645,-0.856106,1.678887
36,-1.324979,-0.85222,1.666837
37,-1.313507,-0.853701,1.657025
38,-1.302036,-0.848797,1.644554
39,-1.290565,-0.846577,1.633209
40,-1.279093,-0.845281,1.622258
41,-1.267622,-0.836909,1.608327
42,-1.256151,-0.835706,1.597417
43,-1.244679,-0.838019,1.588013
44,-1.233208,-0.839592,1.578321
45,-1.221737,-0.84394,1.56986
46,-1.210265,-0.851619,1.562919
47,-1.198794,-0.858234,1.555593
48,-1.187322,-0.861657,1.546896
49,-1.175851,-0.86781,1.539494
50,-1.16438,-0.86892,1.529827
51,-1.152908,-0.870169,1.520251
52,-1.141437,-0.870261,1.510158
53,-1.129966,-0.873129,1.5014
54,-1.118494,-0.872204,1.49087
55,-1.107023,-0.872389,1.480888
56,-1.095552,-0.867162,1.468317
57,-1.08408,-0.861889,1.455723
58,-1.072609,-0.859668,1.444605
59,-1.061138,-0.855458,1.432531
60,-1.049666,-0.842645,1.416295
61,-1.038195,-0.821319,1.396036
62,-1.026724,-0.805406,1.378427
63,-1.015252,-0.796524,1.364136
64,-1.003781,-0.788799,1.350387
65,-0.99231,-0.787828,1.339787
66,-0.980838,-0.768861,1.320822
67,-0.969367,-0.762524,1.307721
68,-0.957896,-0.748461,1.291085
69,-0.946424,-0.74328,1.278513
70,-0.934953,-0.746241,1.269675
71,-0.923481,-0.747582,1.260131
72,-0.91201,-0.744483,1.248539
73,-0.900539,-0.743835,1.238105
74,-0.889067,-0.746426,1.22923
75,-0.877596,-0.74786,1.219846
76,-0.866125,-0.749664,1.21068
77,-0.854653,-0.766132,1.208833
78,-0.843182,-0.783387,1.207723
79,-0.831711,-0.798143,1.205644
80,-0.820239,-0.812021,1.203376
81,-0.808768,-0.830802,1.204096
82,-0.797297,-0.833485,1.196089
83,-0.785825,-0.846669,1.194146
84,-0.774354,-0.85606,1.190235
85,-0.762883,-0.866098,1.186882
86,-0.751411,-0.87572,1.183464
87,-0.73994,-0.892327,1.184528
88,-0.728469,-0.905881,1.18401
89,-0.716997,-0.908148,1.176556
90,-0.705526,-0.911617,1.169943
91,-0.694055,-0.905835,1.157439
92,-0.682583,-0.902412,1.146466
93,-0.671112,-0.901116,1.136899
94,-0.65964,-0.898896,1.126763
95,-0.648169,-0.894085,1.114951
96,-0.636698,-0.888025,1.102328
97,-0.625226,-0.874656,1.08489
98,-0.613755,-0.838528,1.052662
99,-0.602284,-0.806794,1.023591
100,-0.590812,-0.783896,1.000296
101,-0.579341,-0.747767,0.969046
102,-0.56787,-0.690406,0.925979
103,-0.556398,-0.652011,0.894954
104,-0.544927,-0.619768,0.867912
105,-0.533456,-0.581512,0.838359
106,-0.521984,-0.558151,0.81684
107,-0.510513,-0.532523,0.794527
108,-0.499042,-0.511984,0.774884
109,-0.48757,-0.517072,0.767027
110,-0.476099,-0.510319,0.753732
111,-0.464628,-0.491861,0.735091
112,-0.453156,-0.480111,0.719576
113,-0.441685,-0.459017,0.70007
114,-0.430214,-0.439912,0.681665
115,-0.418742,-0.413591,0.660702
116,-0.407271,-0.352297,0.62882
117,-0.395799,-0.334117,0.612512
118,-0.384328,-0.308906,0.594742
119,-0.372857,-0.294519,0.580154
120,-0.361385,-0.274397,0.564605
121,-0.349914,-0.239795,0.547315
122,-0.338443,-0.245253,0.536799
123,-0.326971,-0.207413,0.520729
124,-0.3155,-0.184052,0.507697
125,-0.304029,-0.127477,0.496804
126,-0.292557,-2.412312,2.303055
127,-0.281086,0.024669,0.507804
128,-0.269615,0.101089,0.530403
129,-0.258143,0.162244,0.553751
130,-0.246672,0.292649,0.630629
131,-0.235201,0.398582,0.703596
132,-0.223729,0.476483,0.760655
133,-0.212258,0.58769,0.850466
134,-0.200787,0.775595,1.015249
135,-0.189315,0.717678,0.957473
136,-0.177844,0.780406,1.011079
137,-0.166373,0.904889,1.124164
138,-0.154901,1.071746,1.28028
139,-0.14343,1.181935,1.383854
140,-0.131958,1.229629,1.427531
141,-0.120487,1.248179,1.443079
142,-0.109016,1.277831,1.469653
143,-0.097544,1.288239,1.477555
144,-0.086073,1.339864,1.526086
145,-0.074602,1.366047,1.549827
146,-0.06313,1.387696,1.569255
147,-0.051659,1.398243,1.577853
148,-0.040188,1.420725,1.598366
149,-0.028716,1.453153,1.628866
150,-0.017245,1.477069,1.651075
151,-0.005774,1.517037,1.68935
152,0.005698,1.52009,1.691082
153,0.017169,1.53605,1.705734
154,0.02864,1.545856,1.714361
155,0.040112,1.553813,1.721234
156,0.051583,1.566025,1.732434
157,0.063054,1.570698,1.736203
158,0.074526,1.580366,1.745038
159,0.085997,1.585177,1.749107
160,0.097468,1.585131,1.748406
161,0.10894,1.577637,1.74034
162,0.120411,1.572317,1.734517
163,0.131883,1.569032,1.730801
164,0.143354,1.565979,1.727391
165,0.154825,1.557375,1.718506
166,0.166297,1.531932,1.692859
167,0.177768,1.496359,1.657153
168,0.189239,1.471472,1.63221
169,0.200711,1.443716,1.604478
170,0.212182,1.431689,1.592557
171,0.223653,1.431874,1.592931
172,0.235125,1.418921,1.580255
173,0.246596,1.425398,1.587085
174,0.258067,1.413833,1.575969
175,0.269539,1.421188,1.58384
176,0.28101,1.413278,1.576548
177,0.292481,1.405599,1.569576
178,0.303953,1.405506,1.570262
179,0.315424,1.390749,1.556414
180,0.326895,1.385152,1.551792
181,0.338367,1.380341,1.548044
182,0.349838,1.380942,1.549772
183,0.361309,1.377149,1.547214
184,0.372781,1.379138,1.550489
185,0.384252,1.381683,1.554396
186,0.395724,1.383348,1.55751
187,0.407195,1.389778,1.565423
188,0.418666,1.387743,1.56503
189,0.430138,1.343195,1.522721
190,0.441609,1.325061,1.506674
191,0.45308,1.333203,1.516639
192,0.464552,1.340743,1.526076
193,0.476023,1.344629,1.531987
194,0.487494,1.352771,1.542148
195,0.498966,1.354436,1.546021
196,0.510437,1.353742,1.547663
197,0.521908,1.366972,1.562996
198,0.53338,1.37058,1.568981
199,0.544851,1.373772,1.57463
200,0.556322,1.372755,1.576252
201,0.567794,1.371321,1.577553
202,0.579265,1.294438,1.505911
203,0.590736,1.170371,1.389642
204,0.602208,1.190216,1.411956
205,0.613679,1.23481,1.45796
206,0.62515,1.243691,1.469806
207,0.636622,1.209691,1.440854
208,0.648093,1.213299,1.447862
209,0.659565,1.203816,1.442545
210,0.671036,1.196553,1.439456
211,0.682507,1.177957,1.425843
212,0.693979,1.158806,1.411918
213,0.70545,1.146223,1.404323
214,0.716921,1.121382,1.385542
215,0.728393,1.099918,1.370157
216,0.739864,1.087798,1.363585
217,0.751335,1.088214,1.368617
218,0.762807,1.073458,1.359942
219,0.774278,1.068739,1.360534
220,0.785749,1.063836,1.361072
221,0.797221,1.058285,1.361144
222,0.808692,1.043297,1.352931
223,0.820163,1.039226,1.354594
224,0.831635,1.025024,1.34744
225,0.843106,0.99935,1.330482
226,0.854577,1.000738,1.337341
227,0.866049,1.002265,1.344384
228,0.87752,0.991347,1.340783
229,0.888991,0.983622,1.340084
230,0.900463,0.947309,1.315357
231,0.911934,0.893648,1.276918
232,0.923406,0.832355,1.233564
233,0.934877,0.820327,1.230794
234,0.946348,0.809734,1.229376
235,0.95782,0.7613,1.198812
236,0.969291,0.698295,1.158725
237,0.980762,0.623309,1.112388
238,0.992234,0.554614,1.073612
239,1.003705,0.521909,1.060858
240,1.015176,0.477917,1.042139
241,1.026648,0.458858,1.039759
242,1.038119,0.420324,1.026704
243,1.04959,0.390302,1.01965
244,1.061062,0.354266,1.010487
245,1.072533,0.31934,1.003199
246,1.084004,0.274746,0.992936
247,1.095476,0.248193,0.99202
248,1.106947,0.23043,0.995369
249,1.118418,0.200038,0.994503
250,1.12989,0.166962,0.993811
251,1.141361,0.154102,1.000527
252,1.152832,0.115152,0.999982
253,1.164304,0.113996,1.010699
254,1.175775,0.066441,1.009995
255,1.187247,0.021847,1.012189
256,1.198718,-0.055591,1.012531
257,1.210189,-0.11323,1.019635
258,1.221661,-0.139505,1.030218
259,1.233132,-0.186736,1.041795
260,1.244603,-0.239425,1.055878
261,1.256075,-0.279161,1.070981
262,1.267546,-0.32283,1.088027
263,1.279017,-0.354194,1.104432
264,1.290489,-0.342583,1.113773
265,1.30196,-0.364695,1.128877
266,1.313431,-0.387223,1.144406
267,1.324903,-0.429272,1.164624
268,1.336374,-0.481037,1.18868
269,1.347845,-0.501807,1.205442
270,1.359317,-0.5359,1.226445
271,1.370788,-0.571751,1.248709
272,1.382259,-0.600663,1.269275
273,1.393731,-0.633229,1.291597
274,1.405202,-0.672272,1.316948
275,1.416673,-0.712379,1.34349
276,1.428145,-0.760118,1.3741
277,1.439616,-0.799254,1.401819
278,1.451088,-0.829415,1.425933
279,1.462559,-0.871742,1.456266
280,1.47403,-0.894918,1.477665
281,1.485502,-0.92383,1.50211
282,1.496973,-0.951724,1.52627
283,1.508444,-0.975085,1.548251
284,1.519916,-0.997012,1.569591
285,1.531387,-1.020002,1.591604
286,1.542858,-1.04674,1.615778
287,1.55433,-1.058028,1.631563
288,1.565801,-1.088605,1.658072
289,1.577272,-1.098412,1.673067
290,1.588744,-1.112891,1.690692
291,1.600215,-1.123577,1.706191
292,1.611686,-1.121958,1.714765
293,1.623158,-1.137084,1.732755
294,1.634629,-1.134124,1.740586
295,1.6461,-1.133708,1.749876
296,1.657572,-1.130608,1.757711
297,1.669043,-1.136344,1.770443
298,1.680514,-1.135835,1.779748
299,1.691986,-1.133939,1.788323
300,1.703457,-1.135327,1.798709
301,1.714929,-1.132042,1.806593
302,1.7264,-1.126445,1.813289
