point_id,x,y,distance_to_fit_center
1,5.10948,1.40295,6.414779
2,4.950282,2.309318,6.308751
3,4.838253,3.065131,6.34229
4,4.514794,3.846234,6.279304
5,4.165154,4.71588,6.351447
6,3.614919,5.282748,6.213327
7,3.121218,5.882371,6.237166
8,2.461139,6.52563,6.28988
9,1.758151,7.064138,6.36223
10,1.099475,7.262408,6.255198
11,0.326539,7.600121,6.326355
12,-0.444542,7.667478,6.23936
13,-1.31955,7.792693,6.305012
14,-1.966712,7.695756,6.243251
15,-2.92258,7.543205,6.2679
16,-3.797467,7.263461,6.290717
17,-4.349107,6.959468,6.261664
18,-5.192912,6.468171,6.318464
19,-5.778851,5.948141,6.317691
20,-6.278089,5.357081,6.301296
21,-6.76235,4.721543,6.343757
22,-7.081122,3.912046,6.264508
23,-7.404133,3.185114,6.331179
24,-7.612732,2.316173,6.362165
25,-7.506403,1.43058,6.201927
26,-7.471014,0.646623,6.223371
27,-7.483245,-0.203844,6.405877
28,-7.16261,-0.966043,6.351024
29,-6.694626,-1.71712,6.270705
30,-6.298197,-2.289143,6.260923
31,-5.723156,-2.952572,6.264057
32,-5.108722,-3.615062,6.364625
33,-4.41685,-3.883684,6.207817
34,-3.798055,-4.318496,6.318902
35,-2.967768,-4.50508,6.219249
36,-2.101886,-4.848039,6.385688
37,-1.330526,-4.859373,6.347124
38,-0.569175,-4.807114,6.337643
39,0.208837,-4.591169,6.264466
40,1.172305,-4.203866,6.207226
41,1.958851,-3.887708,6.288563
42,2.444156,-3.475966,6.220305
43,3.142423,-3.000619,6.318405
44,3.731829,-2.263024,6.279724
45,4.084097,-1.707219,6.264747
46,4.395499,-0.952232,6.200482
47,4.918951,-0.046408,6.409977
48,4.923284,0.540622,6.299621
