x,observed_y,predicted_y,residual
1.0,0.0,2.095607,-2.095607
399.6747,0.0,21.583001,-21.583001
400.1569,31.293229,21.621593,9.671637
400.639,30.60428,21.660212,8.944068
401.1211,29.997402,21.698868,8.298534
401.6032,29.414797,21.737561,7.677237
402.0853,28.947392,21.776289,7.171103
402.5674,28.564531,21.815054,6.749477
403.0496,28.25732,21.853863,6.403457
403.5317,28.050938,21.892701,6.158238
404.0138,27.909662,21.931574,5.978087
404.4959,27.824803,21.970484,5.854319
404.978,27.788696,22.00943,5.779266
405.4601,27.742844,22.048413,5.694431
405.9423,27.689469,22.08744,5.602029
406.4244,27.648803,22.126495,5.522308
406.9065,27.573501,22.165586,5.407915
407.3886,27.462819,22.204714,5.258106
407.8707,27.323503,22.243878,5.079625
408.3528,27.16559,22.283078,4.882512
408.835,26.962034,22.322323,4.639711
409.3171,26.757465,22.361595,4.39587
409.7992,26.556591,22.400904,4.155687
410.2813,26.348682,22.44025,3.908432
410.7634,26.159341,22.479631,3.67971
411.2455,25.989177,22.519049,3.470128
411.7277,25.872905,22.558512,3.314394
412.2098,25.759385,22.598002,3.161383
412.6919,25.663195,22.637529,3.025666
413.174,25.581497,22.677092,2.904406
413.6561,25.503359,22.716691,2.786668
414.1382,25.441079,22.756326,2.684752
414.6204,25.361198,22.796006,2.565191
415.1025,25.294483,22.835715,2.458768
415.5846,25.210752,22.875459,2.335293
416.0667,25.11149,22.91524,2.19625
416.5488,25.031731,22.955057,2.076675
417.0309,24.941401,22.99491,1.946491
417.5131,24.848701,23.034808,1.813894
417.9952,24.692773,23.074733,1.61804
418.4773,24.545795,23.114695,1.4311
418.9594,24.38143,23.154694,1.226736
419.4415,24.211975,23.194728,1.017247
419.9236,24.009418,23.234799,0.774619
420.4058,23.80009,23.274915,0.525176
420.8879,23.618951,23.315058,0.303893
421.37,23.492887,23.355238,0.137649
421.8521,23.346572,23.395454,-0.048882
422.3342,23.224673,23.435706,-0.211033
422.8163,23.097344,23.475995,-0.378651
423.2985,23.018843,23.516328,-0.497485
423.7806,22.942317,23.556689,-0.614372
424.2627,22.849531,23.597086,-0.747555
424.7448,22.78374,23.63752,-0.85378
425.2269,22.671895,23.67799,-1.006095
425.709,22.545786,23.718496,-1.17271
426.1912,22.424408,23.759047,-1.334639
426.6733,22.262515,23.799626,-1.537111
427.1554,22.092671,23.840241,-1.747571
427.6375,21.939176,23.880892,-1.941717
428.1196,21.757711,23.92158,-2.163869
428.6017,21.609102,23.962304,-2.353202
429.0839,21.502697,24.003073,-2.500376
429.566,21.406766,24.043869,-2.637104
430.0481,21.354225,24.084702,-2.730477
430.5302,21.31739,24.125571,-2.80818
431.0123,21.34406,24.166476,-2.822416
431.4944,21.381743,24.207418,-2.825675
431.9766,21.407865,24.248404,-2.84054
432.4587,21.44584,24.289418,-2.843578
432.9408,21.481729,24.330469,-2.848739
433.4229,21.530468,24.371555,-2.841087
433.905,21.52678,24.412678,-2.885899
434.3871,21.557088,24.453838,-2.896749
434.8693,21.53983,24.495042,-2.955212
435.3514,21.556798,24.536274,-2.979475
435.8335,21.569057,24.577542,-3.008484
436.3156,21.61416,24.618846,-3.004686
436.7977,21.658921,24.660187,-3.001265
437.2798,21.686167,24.701564,-3.015397
437.762,21.768397,24.742985,-2.974588
438.2441,21.830566,24.784435,-2.953869
438.7262,21.891139,24.825921,-2.934782
439.2083,21.914406,24.867443,-2.953037
439.6904,21.96244,24.909001,-2.946561
440.1725,22.004059,24.950596,-2.946537
440.6547,22.028304,24.992235,-2.963931
441.1368,22.039802,25.033902,-2.9941
441.6189,22.060572,25.075606,-3.015034
442.101,22.065782,25.117346,-3.051563
442.5831,22.061169,25.159122,-3.097953
443.0652,22.058971,25.200934,-3.141963
443.5474,22.048741,25.242791,-3.19405
444.0295,22.021209,25.284676,-3.263467
444.5116,22.005609,25.326597,-3.320988
444.9937,21.981298,25.368554,-3.387257
445.4758,21.946346,25.410548,-3.464202
445.9579,21.914312,25.452578,-3.538266
446.4401,21.887925,25.494653,-3.606728
446.9222,21.924154,25.536756,-3.612601
447.4043,21.924513,25.578894,-3.654381
447.8864,21.982051,25.621069,-3.639019
448.3685,22.033941,25.663281,-3.629339
448.8506,22.123387,25.705528,-3.582142
449.3328,22.187734,25.747821,-3.560087
449.8149,22.259417,25.790141,-3.530724
450.297,22.318548,25.832498,-3.51395
450.7791,22.372324,25.87489,-3.502567
451.2612,22.410349,25.917319,-3.506971
451.7433,22.449925,25.959785,-3.50986
452.2255,22.491406,26.002295,-3.510889
452.7076,22.527035,26.044833,-3.517798
453.1897,22.563065,26.087407,-3.524342
453.6718,22.638232,26.130018,-3.491785
454.1539,22.70977,26.172664,-3.462895
454.636,22.787162,26.215347,-3.428185
455.1182,22.880302,26.258075,-3.377774
455.6003,22.962975,26.300831,-3.337856
456.0824,23.074434,26.343623,-3.269189
456.5645,23.178021,26.386451,-3.20843
457.0466,23.301421,26.429315,-3.127894
457.5287,23.44166,26.472216,-3.030555
458.0109,23.524613,26.515162,-2.990549
458.493,23.664635,26.558135,-2.8935
458.9751,23.748967,26.601144,-2.852178
459.4572,23.848465,26.64419,-2.795725
459.9393,23.921536,26.687272,-2.765737
460.4214,24.002269,26.730391,-2.728122
460.9036,24.091852,26.773554,-2.681702
461.3857,24.160493,26.816745,-2.656253
461.8678,24.250723,26.859972,-2.609249
462.3499,24.346053,26.903236,-2.557183
462.832,24.433258,26.946535,-2.513278
463.3141,24.552021,26.989871,-2.43785
463.7963,24.672682,27.033253,-2.36057
464.2784,24.82054,27.076661,-2.256121
464.7605,24.930501,27.120106,-2.189606
465.2426,25.067774,27.163587,-2.095813
465.7247,25.193963,27.207105,-2.013142
466.2068,25.314049,27.250658,-1.93661
466.689,25.435433,27.294257,-1.858824
