height_mm,tilted_capacity_liter
0,0.0
10,3.197409
20,7.87416
30,13.994071
40,21.52096
50,30.418644
60,40.650942
70,52.181671
80,64.974649
90,78.993693
100,94.202622
110,110.565253
120,128.045403
130,146.606892
140,166.213535
150,186.829152
160,208.417559
170,230.942575
180,254.368018
190,278.657704
200,303.775453
210,329.685081
220,356.350406
230,383.735246
240,411.80342
250,440.518743
260,469.845035
270,499.746114
280,530.185796
290,561.127899
300,592.536242
310,624.374642
320,656.606917
330,689.196885
340,722.108362
350,755.305168
360,788.75112
370,822.410035
380,856.245732
390,890.222027
400,924.30274
410,958.451687
420,1003.865824
430,1027.992969
440,1064.846741
450,1111.81494
460,1149.025291
470,1175.449565
480,1225.130928
490,1263.752235
500,1305.79957
510,1340.376182
520,1375.409181
530,1418.501248
540,1463.938016
550,1507.575991
560,1533.820304
570,1590.849204
580,1628.104272
590,1667.115029
600,1713.576608
610,1757.11414
620,1799.826461
630,1831.316382
640,1891.41953
650,1919.331276
660,1975.596887
670,2012.080561
680,2061.383658
690,2097.396266
700,2144.444453
710,2191.308785
720,2226.254896
730,2263.658436
740,2321.283984
750,2364.715093
760,2405.204769
770,2457.793142
780,2493.889751
790,2533.683501
800,2575.777054
810,2615.574891
820,2664.587579
830,2711.597806
840,2749.546546
850,2790.236838
860,2823.718373
870,2867.835901
880,2912.76109
890,2961.220287
900,2998.773163
910,3036.257161
920,3068.93773
930,3112.733806
940,3151.211619
950,3203.513949
960,3232.792358
970,3265.349935
980,3312.307028
990,3356.156735
1000,3386.424802
1010,3422.018311
1020,3463.939396
1030,3498.835377
1040,3524.238731
1050,3545.173223
1060,3566.78251
1070,3589.11792
1080,3612.230783
1090,3636.172426
1100,3660.994178
1110,3686.747368
1120,3713.483325
1130,3741.253377
1140,3770.108852
1150,3800.101079
1160,3831.281387
1170,3863.701105
1180,3897.411561
1190,3932.464083
1200,3968.91
