height_mm,observed_volume_liter,fitted_volume_liter,residual_liter
411.29,962.86,962.86,0.0
423.45,1012.86,1012.86,0.0
438.33,1062.86,1062.86,0.0
450.54,1112.86,1112.86,0.0
463.9,1162.86,1162.86,0.0
477.74,1212.86,1212.86,0.0
489.37,1262.86,1262.86,0.0
502.56,1312.79,1312.79,0.0
514.69,1362.79,1362.79,0.0
526.84,1412.73,1412.73,0.0
538.88,1462.73,1462.73,0.0
551.96,1512.73,1512.73,0.0
564.4,1562.73,1562.73,0.0
576.56,1612.73,1612.73,0.0
588.74,1662.73,1662.73,0.0
599.56,1712.73,1712.73,0.0
611.62,1762.73,1762.73,0.0
623.44,1812.73,1812.73,0.0
635.58,1862.73,1862.73,0.0
646.28,1912.73,1912.73,0.0
658.59,1962.73,1962.73,0.0
670.22,2012.73,2012.73,0.0
680.63,2062.73,2062.73,0.0
693.03,2112.73,2112.73,0.0
704.67,2162.73,2162.73,0.0
716.45,2212.73,2212.73,0.0
727.66,2262.73,2262.73,0.0
739.39,2312.73,2312.73,0.0
750.9,2362.73,2362.73,0.0
761.55,2412.73,2412.73,0.0
773.43,2462.73,2462.73,0.0
785.39,2512.73,2512.73,0.0
796.04,2562.73,2562.73,0.0
808.27,2612.73,2612.73,0.0
820.8,2662.73,2662.73,0.0
832.8,2712.73,2712.73,0.0
844.47,2762.73,2762.73,0.0
856.29,2812.73,2812.73,0.0
867.6,2862.73,2862.73,0.0
880.06,2912.73,2912.73,0.0
892.92,2962.73,2962.73,0.0
904.34,3012.73,3012.73,0.0
917.34,3062.73,3062.73,0.0
929.9,3112.73,3112.73,0.0
941.42,3162.73,3162.73,0.0
954.6,3212.73,3212.73,0.0
968.09,3262.73,3262.73,0.0
980.14,3312.73,3312.73,0.0
992.41,3362.73,3362.73,0.0
1006.34,3412.73,3412.73,0.0
1019.07,3462.73,3462.73,0.0
1034.24,3512.73,3512.73,0.0
1035.36,3514.74,3514.74,0.0
1020.65,3464.813522,3464.813522,0.0
1007.73,3414.813522,3414.813522,0.0
994.32,3364.813522,3364.813522,0.0
980.96,3314.813522,3314.813522,0.0
967.1,3264.813522,3264.813522,0.0
956.01,3214.813522,3214.813522,0.0
941.54,3164.813522,3164.813522,0.0
929.69,3114.813522,3114.813522,0.0
916.44,3064.813522,3064.813522,0.0
904.14,3014.813522,3014.813522,0.0
891.9,2964.813522,2964.813522,0.0
879.23,2914.813522,2914.813522,0.0
868.99,2864.813522,2864.813522,0.0
855.13,2814.813522,2814.813522,0.0
844.02,2764.813522,2764.813522,0.0
831.64,2714.813522,2714.813522,0.0
820.47,2664.813522,2664.813522,0.0
808.16,2614.813522,2614.813522,0.0
796.0,2564.813522,2564.813522,0.0
785.04,2514.813522,2514.813522,0.0
773.07,2464.813522,2464.813522,0.0
762.09,2414.813522,2414.813522,0.0
750.81,2364.813522,2364.813522,0.0
739.42,2314.813522,2314.813522,0.0
727.09,2264.813522,2264.813522,0.0
715.32,2214.813522,2214.813522,0.0
705.43,2164.813522,2164.813522,0.0
693.52,2114.813522,2114.813522,0.0
682.5,2064.813522,2064.813522,0.0
671.02,2014.813522,2014.813522,0.0
658.68,1964.813522,1964.813522,0.0
647.74,1914.813522,1914.813522,0.0
635.76,1864.813522,1864.813522,0.0
624.61,1814.813522,1814.813522,0.0
612.53,1764.813522,1764.813522,0.0
600.69,1714.813522,1714.813522,0.0
589.4,1664.813522,1664.813522,0.0
577.0,1614.813522,1614.813522,0.0
564.58,1564.813522,1564.813522,0.0
554.33,1514.813522,1514.813522,0.0
540.76,1464.813522,1464.813522,0.0
528.65,1414.813522,1414.813522,0.0
517.19,1364.813522,1364.813522,0.0
504.87,1314.813522,1314.813522,0.0
490.78,1264.813522,1264.813522,0.0
478.06,1214.813522,1214.813522,0.0
465.97,1164.813522,1164.813522,0.0
452.4,1114.813522,1114.813522,0.0
439.98,1064.813522,1064.813522,0.0
425.83,1014.813522,1014.813522,0.0
411.73,964.813522,964.813522,0.0
