height_mm,height_cm,calibrated_capacity_liter
0,0.0,0.0
100,10.0,380.80988
200,20.0,1454.06049
300,30.0,2894.295169
400,40.0,4603.896789
500,50.0,6527.787725
600,60.0,8628.029641
700,70.0,10875.700425
800,80.0,13247.306351
900,90.0,15722.898533
1000,100.0,18284.965699
1100,110.0,20917.727
1200,120.0,23606.649224
1300,130.0,26338.097434
1400,140.0,29099.067879
1500,150.0,31876.972089
1600,160.0,34659.451784
1700,170.0,37434.209915
1800,180.0,40188.845866
1900,190.0,42910.683578
2000,200.0,45586.580146
2100,210.0,48202.699088
2200,220.0,50744.225768
2300,230.0,53194.989927
2400,240.0,55536.936481
2500,250.0,57749.337873
2600,260.0,59807.536902
2700,270.0,61680.753379
2800,280.0,63327.750306
2900,290.0,64686.400507
3000,300.0,65636.008694
