height_mm,calibrated_capacity_liter
0,0.0
100,380.80988
200,1454.06049
300,2894.295169
400,4603.896789
500,6527.787725
600,8628.029641
700,10875.700425
800,13247.306351
900,15722.898533
1000,18284.965699
1100,20917.727
1200,23606.649224
1300,26338.097434
1400,29099.067879
1500,31876.972089
1600,34659.451784
1700,37434.209915
1800,40188.845866
1900,42910.683578
2000,45586.580146
2100,48202.699088
2200,50744.225768
2300,53194.989927
2400,55536.936481
2500,57749.337873
2600,59807.536902
2700,61680.753379
2800,63327.750306
2900,64686.400507
3000,65636.008694
