height_mm,level_capacity_liter,tilted_capacity_liter,tilt_minus_level_liter
0,0.0,0.0,0.0
10,11.716596,3.197409,-8.519188
20,24.87829,7.87416,-17.004131
30,39.402139,13.994071,-25.408069
40,55.2052,21.52096,-33.684241
50,72.204531,30.418644,-41.785886
60,90.317187,40.650942,-49.666245
70,109.460227,52.181671,-57.278556
80,129.550707,64.974649,-64.576058
90,150.505685,78.993693,-71.511992
100,172.242217,94.202622,-78.039596
110,194.677362,110.565253,-84.112109
120,217.728175,128.045403,-89.682772
130,241.311715,146.606892,-94.704823
140,265.345038,166.213535,-99.131503
150,289.745201,186.829152,-102.916049
160,314.473418,208.417559,-106.055859
170,343.294262,230.942575,-112.351687
180,373.560895,254.368018,-119.192878
190,404.013168,278.657704,-125.355463
200,435.087722,303.775453,-131.312269
210,466.794808,329.685081,-137.109727
220,499.137295,356.350406,-142.786889
230,532.030624,383.735246,-148.295378
240,565.467791,411.80342,-153.664371
250,599.440053,440.518743,-158.921309
260,633.921551,469.845035,-164.076516
270,668.88626,499.746114,-169.140146
280,704.2931,530.185796,-174.107304
290,740.161751,561.127899,-179.033852
300,776.453693,592.536242,-183.91745
310,813.143309,624.374642,-188.768667
320,850.239508,656.606917,-193.632591
330,887.69382,689.196885,-198.496936
340,925.498827,722.108362,-203.390465
350,963.646574,755.305168,-208.341405
360,1002.105923,788.75112,-213.354803
370,1040.867993,822.410035,-218.457958
380,1079.922399,856.245732,-223.676667
390,1119.257618,890.222027,-229.03559
400,1158.860793,924.30274,-234.558054
410,1198.715724,958.451687,-240.264037
420,1238.806595,1003.865824,-234.940771
430,1279.115685,1027.992969,-251.122716
440,1319.634484,1064.846741,-254.787743
450,1360.367433,1111.81494,-248.552493
460,1401.259155,1149.025291,-252.233864
470,1442.31894,1175.449565,-266.869374
480,1483.527131,1225.130928,-258.396203
490,1524.875083,1263.752235,-261.122847
500,1566.3611,1305.79957,-260.56153
510,1607.958875,1340.376182,-267.582693
520,1649.675233,1375.409181,-274.266052
530,1691.482721,1418.501248,-272.981473
540,1733.379422,1463.938016,-269.441406
550,1775.354222,1507.575991,-267.778231
560,1817.380438,1533.820304,-283.560133
570,1859.432823,1590.849204,-268.583619
580,1901.552043,1628.104272,-273.447771
590,1943.676495,1667.115029,-276.561466
600,1985.799495,1713.576608,-272.222887
610,2027.922494,1757.11414,-270.808354
620,2070.046407,1799.826461,-270.219946
630,2112.168349,1831.316382,-280.851968
640,2154.223545,1891.41953,-262.804015
650,2196.251331,1919.331276,-276.920054
660,2238.232371,1975.596887,-262.635484
670,2280.096268,2012.080561,-268.015706
680,2321.939021,2061.383658,-260.555364
690,2363.597788,2097.396266,-266.201523
700,2405.251887,2144.444453,-260.807435
710,2446.727311,2191.308785,-255.418526
720,2488.084317,2226.254896,-261.829421
730,2529.290132,2263.658436,-265.631696
740,2570.380405,2321.283984,-249.096421
750,2611.26919,2364.715093,-246.554097
760,2651.999475,2405.204769,-246.794706
770,2692.43513,2457.793142,-234.641988
780,2732.790921,2493.889751,-238.901171
790,2772.867343,2533.683501,-239.183841
800,2812.715635,2575.777054,-236.938582
810,2852.315332,2615.574891,-236.740441
820,2891.652122,2664.587579,-227.064543
830,2930.713116,2711.597806,-219.11531
840,2969.486593,2749.546546,-219.940046
850,3007.962843,2790.236838,-217.726005
860,3046.106814,2823.718373,-222.388441
870,3083.910649,2867.835901,-216.074748
880,3121.357542,2912.76109,-208.596453
890,3158.057859,2961.220287,-196.837573
900,3195.480384,2998.773163,-196.707221
910,3231.45264,3036.257161,-195.195479
920,3267.306943,3068.93773,-198.369213
930,3302.734644,3112.733806,-190.000839
940,3337.691648,3151.211619,-186.480029
950,3372.162713,3203.513949,-168.648764
960,3406.140151,3232.792358,-173.347793
970,3439.578726,3265.349935,-174.228791
980,3472.46589,3312.307028,-160.158862
990,3504.787652,3356.156735,-148.630916
1000,3536.497024,3386.424802,-150.072222
1010,3567.58855,3422.018311,-145.570239
1020,3598.038888,3463.939396,-134.099492
1030,3627.783742,3498.835377,-128.948365
1040,3656.814614,3524.238731,-132.575884
1050,3685.057968,3545.173223,-139.884745
1060,3712.532653,3566.78251,-145.750144
1070,3739.15243,3589.11792,-150.03451
1080,3764.91379,3612.230783,-152.683008
1090,3789.708379,3636.172426,-153.535953
1100,3813.53844,3660.994178,-152.544261
1110,3836.271921,3686.747368,-149.524553
1120,3857.987094,3713.483325,-144.503769
1130,3878.298682,3741.253377,-137.045305
1140,3897.842643,3770.108852,-127.733791
1150,3915.284795,3800.101079,-115.183715
1160,3930.982429,3831.281387,-99.701042
1170,3947.174418,3863.701105,-83.473312
1180,3960.726846,3897.411561,-63.315285
1190,3968.294383,3932.464083,-35.8303
1200,3968.91,3968.91,0.0
