retirement_age,age,annual_pension,cumulative_pension,total_contribution_at_retirement,fund_gap
55,55,44576.08,44576.08,426083.73,-381507.65
55,56,47027.76,91603.84,426083.73,-334479.89
55,57,49614.29,141218.13,426083.73,-284865.6
55,58,52343.08,193561.2,426083.73,-232522.52
55,59,55221.94,248783.15,426083.73,-177300.58
55,60,58259.15,307042.3,426083.73,-119041.43
55,61,61463.4,368505.7,426083.73,-57578.02
55,62,64843.89,433349.6,426083.73,7265.87
55,63,68410.31,501759.9,426083.73,75676.18
55,64,72172.87,573932.77,426083.73,147849.05
55,65,76142.38,650075.16,426083.73,223991.43
55,66,80330.21,730405.37,426083.73,304321.64
55,67,84748.37,815153.74,426083.73,389070.01
55,68,89409.53,904563.27,426083.73,478479.55
55,69,94327.06,998890.33,426083.73,572806.61
55,70,99515.05,1098405.38,426083.73,672321.65
55,71,104988.37,1203393.75,426083.73,777310.03
55,72,110762.73,1314156.49,426083.73,888072.76
55,73,116854.68,1431011.17,426083.73,1004927.45
55,74,123281.69,1554292.86,426083.73,1128209.14
55,75,130062.19,1684355.05,426083.73,1258271.32
60,60,80446.76,80446.76,683287.92,-602841.16
60,61,84871.33,165318.09,683287.92,-517969.82
60,62,89539.26,254857.35,683287.92,-428430.57
60,63,94463.91,349321.26,683287.92,-333966.65
60,64,99659.43,448980.69,683287.92,-234307.23
60,65,105140.7,554121.39,683287.92,-129166.53
60,66,110923.44,665044.83,683287.92,-18243.09
60,67,117024.23,782069.05,683287.92,98781.14
60,68,123460.56,905529.61,683287.92,222241.69
60,69,130250.89,1035780.5,683287.92,352492.58
60,70,137414.69,1173195.19,683287.92,489907.27
60,71,144972.5,1318167.68,683287.92,634879.77
60,72,152945.98,1471113.67,683287.92,787825.75
60,73,161358.01,1632471.68,683287.92,949183.76
60,74,170232.7,1802704.38,683287.92,1119416.46
60,75,179595.5,1982299.88,683287.92,1299011.96
65,65,143102.51,143102.51,1045358.29,-902255.77
65,66,150973.15,294075.66,1045358.29,-751282.62
65,67,159276.67,453352.34,1045358.29,-592005.95
65,68,168036.89,621389.23,1045358.29,-423969.06
65,69,177278.92,798668.15,1045358.29,-246690.14
65,70,187029.26,985697.41,1045358.29,-59660.88
65,71,197315.87,1183013.28,1045358.29,137654.99
65,72,208168.24,1391181.52,1045358.29,345823.23
65,73,219617.5,1610799.02,1045358.29,565440.73
65,74,231696.46,1842495.47,1045358.29,797137.19
65,75,244439.76,2086935.24,1045358.29,1041576.95
