year,observed_wage,log_trend_fitted_wage,residual
1978,566.0,478.97,87.03
1979,632.0,546.48,85.52
1980,745.0,623.5,121.5
1981,755.0,711.38,43.62
1982,769.0,811.64,-42.64
1983,789.0,926.03,-137.03
1984,985.0,1056.55,-71.55
1985,1110.0,1205.46,-95.46
1986,1313.0,1375.35,-62.35
1987,1428.0,1569.19,-141.19
1988,1782.0,1790.35,-8.35
1989,1920.0,2042.69,-122.69
1990,2150.0,2330.58,-180.58
1991,2292.0,2659.05,-367.05
1992,2601.0,3033.82,-432.82
1993,3149.0,3461.4,-312.4
1994,4338.0,3949.25,388.75
1995,5145.0,4505.86,639.14
1996,5809.0,5140.91,668.09
1997,6241.0,5865.47,375.53
1998,6854.0,6692.14,161.86
1999,7656.0,7635.33,20.67
2000,8772.0,8711.45,60.55
2001,10007.0,9939.23,67.77
2002,11374.0,11340.07,33.93
2003,12567.0,12938.33,-371.33
2004,14332.0,14761.85,-429.85
2005,16614.0,16842.38,-228.38
2006,19228.0,19216.13,11.87
2007,22844.0,21924.45,919.55
2008,26404.0,25014.47,1389.53
2009,29688.0,28539.99,1148.01
2010,32074.0,32562.41,-488.41
