retirement_age,contribution_rate,target_replacement_rate,annual_pension_at_retirement,fund_gap_to_age_75,break_even_age,recommendation_score,reason
67,0.32,0.52,169765.24,716226.46,73,722726.46,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
67,0.3,0.52,169765.24,790894.91,72,797394.91,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
67,0.32,0.55,179559.39,826471.94,72,829971.94,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
67,0.28,0.52,169765.24,865563.36,72,872063.36,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
67,0.3,0.55,179559.39,901140.39,72,904640.39,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
67,0.32,0.585,190985.9,955091.66,72,955091.66,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
67,0.28,0.55,179559.39,975808.84,72,979308.84,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
65,0.32,0.52,151052.04,1008171.92,71,1014671.92,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
67,0.3,0.585,190985.9,1029760.11,72,1029760.11,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
65,0.3,0.52,151052.04,1082840.36,71,1089340.36,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
67,0.28,0.585,190985.9,1104428.56,71,1104428.56,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
65,0.32,0.55,159766.58,1135260.4,71,1138760.4,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
65,0.28,0.52,151052.04,1157508.81,71,1164008.81,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
65,0.3,0.55,159766.58,1209928.85,71,1213428.85,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
65,0.32,0.585,169933.54,1283530.3,71,1283530.3,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
65,0.28,0.55,159766.58,1284597.3,70,1288097.3,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
65,0.3,0.585,169933.54,1358198.75,70,1358198.75,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
65,0.28,0.585,169933.54,1432867.2,70,1432867.2,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
60,0.32,0.52,108341.08,1888747.31,66,1895247.31,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
60,0.3,0.52,108341.08,1937553.59,65,1944053.59,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
60,0.28,0.52,108341.08,1986359.87,65,1992859.87,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
60,0.32,0.55,114591.53,2042765.45,65,2046265.45,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
60,0.3,0.55,114591.53,2091571.73,65,2095071.73,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
60,0.28,0.55,114591.53,2140378.01,65,2143878.01,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
60,0.32,0.585,121883.72,2222453.28,65,2222453.28,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
60,0.3,0.585,121883.72,2271259.56,65,2271259.56,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
60,0.28,0.585,121883.72,2320065.84,65,2320065.84,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
55,0.32,0.52,75131.73,2351980.45,60,2358480.45,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
55,0.3,0.52,75131.73,2382415.01,60,2388915.01,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
55,0.28,0.52,75131.73,2412849.56,60,2419349.56,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
55,0.32,0.55,79466.25,2515765.07,60,2519265.07,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
55,0.3,0.55,79466.25,2546199.62,60,2549699.62,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
55,0.28,0.55,79466.25,2576634.17,59,2580134.17,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
55,0.32,0.585,84523.2,2706847.11,60,2706847.11,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
55,0.3,0.585,84523.2,2737281.67,59,2737281.67,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
55,0.28,0.585,84523.2,2767716.22,59,2767716.22,延迟退休、适度提高缴费率或分阶段降低替代率可共同改善基金缺口。
