year,forecast_wage,growth_rate
2011,36377.44,0.134172
2012,41023.58,0.127721
2013,46020.04,0.121795
2014,51374.55,0.116352
2015,57095.23,0.111352
2016,63190.74,0.10676
2017,69670.47,0.102543
2018,76544.74,0.098668
2019,83824.91,0.09511
2020,91523.51,0.091841
2021,99654.4,0.088839
2022,108232.84,0.086082
2023,117275.59,0.083549
2024,126801.02,0.081223
2025,136829.19,0.079086
2026,147381.89,0.077123
2027,158482.74,0.07532
2028,170157.3,0.073665
2029,182433.06,0.072144
2030,195339.57,0.070747
2031,208908.53,0.069463
2032,223173.82,0.068285
2033,238171.61,0.067202
2034,253940.47,0.066208
2035,270521.42,0.065295
