x,observed_y,predicted_y,residual
1.0,-2.0,23.552469,-25.552469
1.0,120.0,23.552469,96.447531
2.0,70.0,23.870526,46.129474
3.0,8.0,24.188314,-16.188314
2014.0,120.0,119.974575,0.025425
120.0,50.0,59.515749,-9.515749
1.1,4.0,23.584287,-19.584287
2.0,2.0,23.870526,-21.870526
3.0,3.0,24.188314,-21.188314
6.0,6.0,25.140067,-19.140067
70.0,80.0,44.868368,35.131632
2.3,70.0,23.965891,46.034109
3.0,3.0,24.188314,-21.188314
3.3,8.0,24.283598,-16.283598
3.0,3.0,24.188314,-21.188314
1.0,1.0,23.552469,-22.552469
120.0,50.0,59.515749,-9.515749
