medicine_id,width_type_id,height_type_id,plane_redundancy_mm2
1,2,2,525.0
2,2,2,741.0
3,2,2,630.0
4,1,2,160.0
5,2,2,702.0
6,2,2,494.0
7,2,1,234.0
8,2,2,874.0
9,2,2,893.0
10,2,1,0.0
11,2,1,0.0
12,2,1,0.0
13,2,1,0.0
14,2,1,0.0
15,2,1,0.0
16,2,1,0.0
17,2,2,216.0
18,1,2,105.0
19,2,2,656.0
20,2,2,34.0
21,1,2,0.0
22,2,2,369.0
23,2,2,665.0
24,1,2,0.0
25,1,2,88.0
26,2,2,931.0
27,2,2,722.0
28,2,2,350.0
29,2,2,360.0
30,2,1,391.0
31,2,1,0.0
32,2,2,760.0
33,2,2,360.0
34,1,2,126.0
35,2,2,608.0
36,2,2,441.0
37,2,2,429.0
38,1,1,0.0
39,2,1,30.0
40,1,2,0.0
41,2,1,0.0
42,1,2,0.0
43,3,2,276.0
44,2,2,450.0
45,3,2,429.0
46,3,2,624.0
47,3,2,342.0
48,1,2,38.0
49,3,1,72.0
50,1,2,39.0
51,2,2,972.0
52,2,2,760.0
53,3,1,168.0
54,3,1,40.0
55,2,1,260.0
56,2,1,280.0
57,1,2,37.0
58,2,2,720.0
59,2,1,33.0
60,2,1,80.0
61,1,1,60.0
62,1,1,21.0
63,2,2,630.0
64,2,1,36.0
65,3,1,210.0
66,2,2,736.0
67,1,2,120.0
68,2,2,760.0
69,2,2,372.0
70,1,1,15.0
71,2,2,665.0
72,3,1,240.0
73,2,1,225.0
74,2,1,105.0
75,1,2,0.0
76,2,2,396.0
77,2,2,792.0
78,2,2,855.0
79,2,2,969.0
80,1,2,204.0
81,2,2,459.0
82,2,1,192.0
83,3,1,88.0
84,1,2,245.0
85,2,1,80.0
86,2,1,36.0
87,1,2,225.0
88,2,2,792.0
89,2,2,55.0
90,3,1,240.0
91,1,2,120.0
92,3,1,110.0
93,1,2,78.0
94,2,2,672.0
95,2,2,30.0
96,2,1,117.0
97,1,2,138.0
98,2,2,640.0
99,1,2,164.0
100,2,2,450.0
101,2,2,465.0
102,2,2,310.0
103,2,1,361.0
104,2,1,324.0
105,2,1,342.0
106,2,2,700.0
107,1,2,318.0
108,2,2,741.0
109,3,2,280.0
110,2,2,792.0
111,1,2,135.0
112,1,2,138.0
113,2,2,589.0
114,2,2,481.0
115,2,2,760.0
116,1,1,3.0
117,1,1,9.0
118,2,2,589.0
119,2,2,465.0
120,1,1,44.0
121,2,2,551.0
122,1,2,220.0
123,1,2,87.0
124,2,2,522.0
125,1,2,0.0
126,2,1,437.0
127,2,2,261.0
128,1,2,216.0
129,3,1,210.0
130,1,2,41.0
131,1,2,0.0
132,1,1,0.0
133,1,2,36.0
134,2,2,468.0
135,2,2,684.0
136,2,2,684.0
137,2,2,396.0
138,3,1,88.0
139,2,2,84.0
140,1,1,10.0
141,1,2,82.0
142,3,1,110.0
143,3,1,30.0
144,2,1,60.0
145,1,1,25.0
146,2,2,650.0
147,2,2,969.0
148,3,1,160.0
149,2,1,80.0
150,3,1,120.0
151,1,2,160.0
152,3,1,210.0
153,3,1,72.0
154,3,1,110.0
155,3,1,156.0
156,2,1,76.0
157,2,1,80.0
158,3,1,240.0
159,3,1,240.0
160,2,1,80.0
161,3,1,132.0
162,3,1,240.0
163,2,2,741.0
164,2,2,720.0
165,1,2,0.0
166,2,2,720.0
167,3,1,240.0
168,1,2,76.0
169,1,2,48.0
170,3,1,132.0
171,2,1,76.0
172,2,2,0.0
173,3,1,90.0
174,2,1,297.0
175,2,1,273.0
176,2,2,255.0
177,1,1,4.0
178,2,1,238.0
179,2,2,646.0
180,2,1,36.0
181,3,1,143.0
182,3,1,15.0
183,3,1,72.0
184,1,2,192.0
185,1,2,80.0
186,2,2,855.0
187,3,2,140.0
188,2,2,120.0
189,3,2,345.0
190,3,2,369.0
191,3,1,156.0
192,2,2,702.0
193,2,2,320.0
194,2,2,476.0
195,2,2,522.0
196,1,2,78.0
197,1,1,0.0
198,1,2,49.0
199,1,2,90.0
200,3,2,656.0
201,3,1,110.0
202,3,1,210.0
203,1,2,0.0
204,3,1,156.0
205,2,2,741.0
206,3,1,182.0
207,2,2,66.0
208,3,2,492.0
209,1,2,43.0
210,1,2,0.0
211,3,1,110.0
212,2,1,8.0
213,2,1,252.0
214,2,2,1007.0
215,2,2,817.0
216,2,2,950.0
217,2,2,988.0
218,2,1,280.0
219,2,1,0.0
220,3,1,110.0
221,2,2,817.0
222,2,2,525.0
223,3,1,30.0
224,3,2,752.0
225,2,2,855.0
226,2,2,836.0
227,2,1,192.0
228,2,2,646.0
229,3,1,110.0
230,1,1,39.0
231,3,1,72.0
232,3,1,56.0
233,1,2,44.0
234,2,1,16.0
235,3,1,110.0
236,1,2,40.0
237,2,2,738.0
238,3,2,275.0
239,2,2,546.0
240,1,1,0.0
241,1,2,135.0
242,2,1,36.0
243,3,1,72.0
244,2,2,931.0
