medicine_id,length_mm,height_mm,width_mm,daily_demand,boxes_per_slot,required_slots,width_type_id,height_type_id,width_spacing_mm,height_spacing_mm,plane_redundancy_mm2
1,120.0,76.0,24.0,273,12,23,2,2,43.0,115.0,525.0
2,125.0,72.0,20.0,155,12,13,2,2,43.0,115.0,741.0
3,125.0,76.0,21.0,139,12,12,2,2,43.0,115.0,630.0
4,91.0,71.0,15.0,124,16,8,1,2,23.0,115.0,160.0
5,125.0,72.0,21.0,110,12,10,2,2,43.0,115.0,702.0
6,120.0,85.0,20.0,108,12,9,2,2,43.0,115.0,494.0
7,117.0,37.0,26.0,103,12,9,2,1,43.0,59.0,234.0
8,78.0,65.0,20.0,93,19,5,2,2,43.0,115.0,874.0
9,103.0,64.0,20.0,90,14,7,2,2,43.0,115.0,893.0
10,95.0,55.0,33.0,88,15,6,2,1,43.0,59.0,0.0
11,95.0,55.0,33.0,85,15,6,2,1,43.0,59.0,0.0
12,95.0,55.0,33.0,85,15,6,2,1,43.0,59.0,0.0
13,95.0,55.0,33.0,83,15,6,2,1,43.0,59.0,0.0
14,95.0,55.0,33.0,83,15,6,2,1,43.0,59.0,0.0
15,95.0,55.0,33.0,82,15,6,2,1,43.0,59.0,0.0
16,95.0,55.0,33.0,81,15,6,2,1,43.0,59.0,0.0
17,125.0,75.0,33.0,77,12,7,2,2,43.0,115.0,216.0
18,116.0,76.0,16.0,77,12,7,1,2,23.0,115.0,105.0
19,111.0,70.0,23.0,75,13,6,2,2,43.0,115.0,656.0
20,131.0,77.0,38.0,75,11,7,2,2,43.0,115.0,34.0
21,126.0,65.0,19.0,73,11,7,1,2,23.0,115.0,0.0
22,105.0,70.0,30.0,70,14,5,2,2,43.0,115.0,369.0
23,134.0,76.0,20.0,70,11,7,2,2,43.0,115.0,665.0
24,125.0,65.0,19.0,68,12,6,1,2,23.0,115.0,0.0
25,136.0,67.0,17.0,67,11,7,1,2,23.0,115.0,88.0
26,103.0,62.0,20.0,65,14,5,2,2,43.0,115.0,931.0
27,120.0,73.0,20.0,64,12,6,2,2,43.0,115.0,722.0
28,131.0,76.0,29.0,63,11,6,2,2,43.0,115.0,350.0
29,130.0,75.0,29.0,63,11,6,2,2,43.0,115.0,360.0
30,136.0,32.0,22.0,63,11,6,2,1,43.0,59.0,391.0
31,100.0,55.0,20.0,61,15,5,2,1,43.0,59.0,0.0
32,107.0,71.0,20.0,60,14,5,2,2,43.0,115.0,760.0
33,132.0,91.0,21.0,58,11,6,2,2,43.0,115.0,360.0
34,120.0,69.0,16.0,58,12,5,1,2,23.0,115.0,126.0
35,110.0,73.0,23.0,56,13,5,2,2,43.0,115.0,608.0
36,97.0,62.0,30.0,56,15,4,2,2,43.0,115.0,441.0
37,132.0,72.0,28.0,54,11,5,2,2,43.0,115.0,429.0
38,98.0,40.0,19.0,53,15,4,1,1,23.0,59.0,0.0
39,110.0,49.0,34.0,53,13,5,2,1,43.0,59.0,30.0
40,120.0,71.0,19.0,51,12,5,1,2,23.0,115.0,0.0
41,70.0,40.0,39.0,51,21,3,2,1,43.0,59.0,0.0
42,90.0,61.0,19.0,50,16,4,1,2,23.0,115.0,0.0
43,92.0,65.0,50.0,50,16,4,3,2,60.0,115.0,276.0
44,128.0,81.0,24.0,49,11,5,2,2,43.0,115.0,450.0
45,105.0,72.0,45.0,49,14,4,3,2,60.0,115.0,429.0
46,98.0,72.0,40.0,46,15,4,3,2,60.0,115.0,624.0
47,102.0,73.0,47.0,46,14,4,3,2,60.0,115.0,342.0
48,125.0,73.0,18.0,45,12,4,1,2,23.0,115.0,38.0
49,74.0,47.0,47.0,45,20,3,3,1,60.0,59.0,72.0
50,126.0,72.0,18.0,44,11,4,1,2,23.0,115.0,39.0
51,100.0,57.0,21.0,44,15,3,2,2,43.0,115.0,972.0
52,120.0,71.0,20.0,44,12,4,2,2,43.0,115.0,760.0
53,78.0,43.0,42.0,44,19,3,3,1,60.0,59.0,168.0
54,80.0,50.0,48.0,43,18,3,3,1,60.0,59.0,40.0
55,135.0,35.0,26.0,43,11,4,2,1,43.0,59.0,260.0
