medicine_id,height_mm,type_id,spacing_mm,redundancy_mm
1,76,6,80.0,0.0
2,72,6,80.0,4.0
3,76,6,80.0,0.0
4,71,5,75.0,0.0
5,72,6,80.0,4.0
6,85,8,90.0,1.0
7,37,1,42.0,1.0
8,65,4,69.0,0.0
9,64,4,69.0,1.0
10,55,3,59.0,0.0
11,55,3,59.0,0.0
12,55,3,59.0,0.0
13,55,3,59.0,0.0
14,55,3,59.0,0.0
15,55,3,59.0,0.0
16,55,3,59.0,0.0
17,75,6,80.0,1.0
18,76,6,80.0,0.0
19,70,5,75.0,1.0
20,77,7,85.0,4.0
21,65,4,69.0,0.0
22,70,5,75.0,1.0
23,76,6,80.0,0.0
24,65,4,69.0,0.0
25,67,5,75.0,4.0
26,62,4,69.0,3.0
27,73,6,80.0,3.0
28,76,6,80.0,0.0
29,75,6,80.0,1.0
30,32,1,42.0,6.0
31,55,3,59.0,0.0
32,71,5,75.0,0.0
33,91,9,115.0,20.0
34,69,5,75.0,2.0
35,73,6,80.0,3.0
36,62,4,69.0,3.0
37,72,6,80.0,4.0
38,40,2,48.0,4.0
39,49,3,59.0,6.0
40,71,5,75.0,0.0
41,40,2,48.0,4.0
42,61,4,69.0,4.0
43,65,4,69.0,0.0
44,81,7,85.0,0.0
45,72,6,80.0,4.0
46,72,6,80.0,4.0
47,73,6,80.0,3.0
48,73,6,80.0,3.0
49,47,3,59.0,8.0
50,72,6,80.0,4.0
51,57,4,69.0,8.0
52,71,5,75.0,0.0
53,43,2,48.0,1.0
54,50,3,59.0,5.0
55,35,1,42.0,3.0
56,35,1,42.0,3.0
57,74,6,80.0,2.0
58,71,5,75.0,0.0
59,52,3,59.0,3.0
60,35,1,42.0,3.0
61,43,2,48.0,1.0
62,48,3,59.0,7.0
63,76,6,80.0,0.0
64,37,1,42.0,1.0
65,41,2,48.0,3.0
66,65,4,69.0,0.0
67,71,5,75.0,0.0
68,71,5,75.0,0.0
69,80,7,85.0,1.0
70,40,2,48.0,4.0
71,76,6,80.0,0.0
72,40,2,48.0,4.0
73,40,2,48.0,4.0
74,40,2,48.0,4.0
75,65,4,69.0,0.0
76,78,7,85.0,3.0
77,67,5,75.0,4.0
78,66,5,75.0,5.0
79,60,4,69.0,5.0
80,60,4,69.0,5.0
81,60,4,69.0,5.0
82,31,1,42.0,7.0
83,47,3,59.0,8.0
84,62,4,69.0,3.0
85,35,1,42.0,3.0
86,37,1,42.0,1.0
87,66,5,75.0,5.0
88,67,5,75.0,4.0
89,56,4,69.0,9.0
90,40,2,48.0,4.0
91,71,5,75.0,0.0
92,45,3,59.0,10.0
93,72,6,80.0,4.0
94,69,5,75.0,2.0
95,101,9,115.0,10.0
96,42,2,48.0,2.0
97,65,4,69.0,0.0
98,71,5,75.0,0.0
99,70,5,75.0,1.0
100,81,7,85.0,0.0
101,80,7,85.0,1.0
102,80,7,85.0,1.0
103,36,1,42.0,2.0
104,37,1,42.0,1.0
105,36,1,42.0,2.0
106,61,4,69.0,4.0
107,58,4,69.0,7.0
108,72,6,80.0,4.0
109,83,8,90.0,3.0
110,67,5,75.0,4.0
111,66,5,75.0,5.0
112,65,4,69.0,0.0
113,80,7,85.0,1.0
114,74,6,80.0,2.0
115,71,5,75.0,0.0
116,52,3,59.0,3.0
117,52,3,59.0,3.0
118,80,7,85.0,1.0
119,80,7,85.0,1.0
120,44,2,48.0,0.0
121,82,8,90.0,4.0
122,67,5,75.0,4.0
123,82,8,90.0,4.0
124,82,8,90.0,4.0
125,61,4,69.0,4.0
126,32,1,42.0,6.0
127,82,8,90.0,4.0
128,57,4,69.0,8.0
129,41,2,48.0,3.0
130,70,5,75.0,1.0
131,61,4,69.0,4.0
132,30,1,42.0,8.0
133,75,6,80.0,1.0
134,75,6,80.0,1.0
135,75,6,80.0,1.0
136,75,6,80.0,1.0
137,89,9,115.0,22.0
138,47,3,59.0,8.0
139,90,9,115.0,21.0
140,45,3,59.0,10.0
141,70,5,75.0,1.0
142,45,3,59.0,10.0
143,50,3,59.0,5.0
144,50,3,59.0,5.0
145,30,1,42.0,8.0
146,61,4,69.0,4.0
147,60,4,69.0,5.0
148,45,3,59.0,10.0
149,35,1,42.0,3.0
150,45,3,59.0,10.0
151,71,6,80.0,5.0
152,41,2,48.0,3.0
153,47,3,59.0,8.0
154,45,3,59.0,10.0
155,43,2,48.0,1.0
156,36,1,42.0,2.0
157,35,1,42.0,3.0
158,40,2,48.0,4.0
159,40,2,48.0,4.0
160,35,1,42.0,3.0
161,44,2,48.0,0.0
162,40,2,48.0,4.0
163,72,6,80.0,4.0
164,71,6,80.0,5.0
165,59,4,69.0,6.0
166,71,6,80.0,5.0
167,40,2,48.0,4.0
168,73,6,80.0,3.0
169,63,4,69.0,2.0
170,44,2,48.0,0.0
171,36,1,42.0,2.0
172,63,4,69.0,2.0
173,46,3,59.0,9.0
174,28,1,42.0,10.0
175,34,1,42.0,4.0
176,60,4,69.0,5.0
177,53,3,59.0,2.0
178,38,1,42.0,0.0
179,73,6,80.0,3.0
180,37,1,42.0,1.0
181,44,2,48.0,0.0
182,52,3,59.0,3.0
183,47,3,59.0,8.0
184,63,4,69.0,2.0
185,71,6,80.0,5.0
186,66,5,75.0,5.0
187,91,9,115.0,20.0
188,91,9,115.0,20.0
189,88,9,115.0,23.0
190,70,5,75.0,1.0
191,43,2,48.0,1.0
192,72,6,80.0,4.0
193,91,9,115.0,20.0
194,77,7,85.0,4.0
195,82,8,90.0,4.0
196,72,6,80.0,4.0
197,55,3,59.0,0.0
198,62,4,69.0,3.0
199,66,5,75.0,5.0
200,70,5,75.0,1.0
201,45,3,59.0,10.0
202,41,2,48.0,3.0
203,66,5,75.0,5.0
204,43,2,48.0,1.0
205,72,6,80.0,4.0
206,42,2,48.0,2.0
207,89,9,115.0,22.0
208,70,5,75.0,1.0
209,68,5,75.0,3.0
210,72,6,80.0,4.0
211,45,3,59.0,10.0
212,53,3,59.0,2.0
213,37,1,42.0,1.0
214,58,4,69.0,7.0
215,68,5,75.0,3.0
216,61,4,69.0,4.0
217,59,4,69.0,6.0
218,35,1,42.0,3.0
219,55,3,59.0,0.0
220,45,3,59.0,10.0
221,68,5,75.0,3.0
222,76,6,80.0,0.0
223,50,3,59.0,5.0
224,64,4,69.0,1.0
225,66,5,75.0,5.0
226,67,5,75.0,4.0
227,31,1,42.0,7.0
228,77,7,85.0,4.0
229,45,3,59.0,10.0
230,42,2,48.0,2.0
231,47,3,59.0,8.0
232,48,3,59.0,7.0
233,67,5,75.0,4.0
234,53,3,59.0,2.0
235,45,3,59.0,10.0
236,71,6,80.0,5.0
237,70,5,75.0,1.0
238,86,8,90.0,0.0
239,72,6,80.0,4.0
240,55,3,59.0,0.0
241,66,5,75.0,5.0
242,37,1,42.0,1.0
243,47,3,59.0,8.0
244,62,4,69.0,3.0
245,61,4,69.0,4.0
246,75,6,80.0,1.0
247,84,8,90.0,2.0
248,83,8,90.0,3.0
249,46,3,59.0,9.0
250,45,3,59.0,10.0
251,56,4,69.0,9.0
252,66,5,75.0,5.0
253,72,6,80.0,4.0
254,70,5,75.0,1.0
255,71,6,80.0,5.0
256,60,4,69.0,5.0
257,60,4,69.0,5.0
258,60,4,69.0,5.0
