medicine_id,width_mm,type_id,spacing_mm,redundancy_mm
1,24,5,29.0,1.0
2,20,3,25.0,1.0
3,21,3,25.0,0.0
4,15,1,21.0,2.0
5,21,3,25.0,0.0
6,20,3,25.0,1.0
7,26,6,31.0,1.0
8,20,3,25.0,1.0
9,20,3,25.0,1.0
10,33,8,37.0,0.0
11,33,8,37.0,0.0
12,33,8,37.0,0.0
13,33,8,37.0,0.0
14,33,8,37.0,0.0
15,33,8,37.0,0.0
16,33,8,37.0,0.0
17,33,8,37.0,0.0
18,16,1,21.0,1.0
19,23,4,27.0,0.0
20,38,9,43.0,1.0
21,19,2,23.0,0.0
22,30,7,34.0,0.0
23,20,3,25.0,1.0
24,19,2,23.0,0.0
25,17,1,21.0,0.0
26,20,3,25.0,1.0
27,20,3,25.0,1.0
28,29,7,34.0,1.0
29,29,7,34.0,1.0
30,22,4,27.0,1.0
31,20,3,25.0,1.0
32,20,3,25.0,1.0
33,21,3,25.0,0.0
34,16,1,21.0,1.0
35,23,4,27.0,0.0
36,30,7,34.0,0.0
37,28,7,34.0,2.0
38,19,2,23.0,0.0
39,34,9,43.0,5.0
40,19,2,23.0,0.0
41,39,9,43.0,0.0
42,19,2,23.0,0.0
43,50,12,60.0,6.0
44,24,5,29.0,1.0
45,45,10,49.0,0.0
46,40,10,49.0,5.0
47,47,11,52.0,1.0
48,18,2,23.0,1.0
49,47,11,52.0,1.0
50,18,2,23.0,1.0
51,21,3,25.0,0.0
52,20,3,25.0,1.0
53,42,10,49.0,3.0
54,48,11,52.0,0.0
55,26,6,31.0,1.0
56,25,5,29.0,0.0
57,18,2,23.0,1.0
58,21,3,25.0,0.0
59,28,7,34.0,2.0
60,35,9,43.0,4.0
61,14,1,21.0,3.0
62,16,1,21.0,1.0
63,21,3,25.0,0.0
64,37,9,43.0,2.0
65,41,10,49.0,4.0
66,23,5,29.0,2.0
67,16,1,21.0,1.0
68,20,3,25.0,1.0
69,27,6,31.0,0.0
70,18,2,23.0,1.0
71,20,3,25.0,1.0
72,40,10,49.0,5.0
73,24,5,29.0,1.0
74,32,8,37.0,1.0
75,19,2,23.0,0.0
76,27,6,31.0,0.0
77,21,3,25.0,0.0
78,20,3,25.0,1.0
79,20,3,25.0,1.0
80,15,1,21.0,2.0
81,30,7,34.0,0.0
82,31,8,37.0,2.0
83,45,10,49.0,0.0
84,14,1,21.0,3.0
85,35,9,43.0,4.0
86,37,9,43.0,2.0
87,14,1,21.0,3.0
88,21,3,25.0,0.0
89,38,9,43.0,1.0
90,40,10,49.0,5.0
91,16,1,21.0,1.0
92,45,10,49.0,0.0
93,17,1,21.0,0.0
94,23,5,29.0,2.0
95,36,9,43.0,3.0
96,30,7,34.0,0.0
97,16,1,21.0,1.0
98,23,5,29.0,2.0
99,15,1,21.0,2.0
100,24,5,29.0,1.0
101,24,5,29.0,1.0
102,29,7,34.0,1.0
103,20,3,25.0,1.0
104,21,3,25.0,0.0
105,21,3,25.0,0.0
106,25,5,29.0,0.0
107,13,1,21.0,4.0
108,20,3,25.0,1.0
109,46,11,52.0,2.0
110,21,3,25.0,0.0
111,16,1,21.0,1.0
112,16,1,21.0,1.0
113,20,3,25.0,1.0
114,26,6,31.0,1.0
115,20,3,25.0,1.0
116,18,2,23.0,1.0
117,16,1,21.0,1.0
118,20,3,25.0,1.0
119,24,5,29.0,1.0
120,15,1,21.0,2.0
121,20,3,25.0,1.0
122,14,1,21.0,3.0
123,16,1,21.0,1.0
124,21,3,25.0,0.0
125,19,2,23.0,0.0
126,20,3,25.0,1.0
127,30,7,34.0,0.0
128,15,1,21.0,2.0
129,41,10,49.0,4.0
130,18,2,23.0,1.0
131,19,2,23.0,0.0
132,19,2,23.0,0.0
133,18,2,23.0,1.0
134,26,6,31.0,1.0
135,20,3,25.0,1.0
136,20,3,25.0,1.0
137,21,3,25.0,0.0
138,45,10,49.0,0.0
139,35,9,43.0,4.0
140,18,2,23.0,1.0
141,17,1,21.0,0.0
142,45,10,49.0,0.0
143,50,12,60.0,6.0
144,27,6,31.0,0.0
145,18,2,23.0,1.0
146,26,6,31.0,1.0
147,20,3,25.0,1.0
148,40,10,49.0,5.0
149,35,9,43.0,4.0
150,44,10,49.0,1.0
151,15,1,21.0,2.0
152,41,10,49.0,4.0
153,47,11,52.0,1.0
154,45,10,49.0,0.0
155,43,10,49.0,2.0
156,35,9,43.0,4.0
157,35,9,43.0,4.0
158,40,10,49.0,5.0
159,40,10,49.0,5.0
160,35,9,43.0,4.0
161,44,10,49.0,1.0
162,40,10,49.0,5.0
163,20,3,25.0,1.0
164,21,3,25.0,0.0
165,19,2,23.0,0.0
166,21,3,25.0,0.0
167,40,10,49.0,5.0
168,17,1,21.0,0.0
169,18,2,23.0,1.0
170,44,10,49.0,1.0
171,35,9,43.0,4.0
172,39,9,43.0,0.0
173,46,11,52.0,2.0
174,28,7,34.0,2.0
175,26,6,31.0,1.0
176,34,9,43.0,5.0
177,17,1,21.0,0.0
178,25,5,29.0,0.0
179,22,4,27.0,1.0
180,37,9,43.0,2.0
181,43,10,49.0,2.0
182,51,12,60.0,5.0
183,47,11,52.0,1.0
184,15,1,21.0,2.0
185,17,1,21.0,0.0
186,20,3,25.0,1.0
187,49,12,60.0,7.0
188,33,8,37.0,0.0
189,41,10,49.0,4.0
190,47,11,52.0,1.0
191,43,10,49.0,2.0
192,21,3,25.0,0.0
193,23,5,29.0,2.0
194,25,5,29.0,0.0
195,21,3,25.0,0.0
196,17,1,21.0,0.0
197,14,1,21.0,3.0
198,18,2,23.0,1.0
199,17,1,21.0,0.0
200,40,10,49.0,5.0
201,45,10,49.0,0.0
202,41,10,49.0,4.0
203,19,2,23.0,0.0
204,43,10,49.0,2.0
205,20,3,25.0,1.0
206,42,10,49.0,3.0
207,36,9,43.0,3.0
208,44,10,49.0,1.0
209,18,2,23.0,1.0
210,19,2,23.0,0.0
211,45,10,49.0,0.0
212,35,9,43.0,4.0
213,25,5,29.0,0.0
214,20,3,25.0,1.0
215,20,3,25.0,1.0
216,20,3,25.0,1.0
217,20,3,25.0,1.0
218,25,5,29.0,0.0
219,21,3,25.0,0.0
220,45,10,49.0,0.0
221,20,3,25.0,1.0
222,24,5,29.0,1.0
223,50,12,60.0,6.0
224,40,10,49.0,5.0
225,20,3,25.0,1.0
226,20,3,25.0,1.0
227,31,8,37.0,2.0
228,20,3,25.0,1.0
229,45,10,49.0,0.0
230,16,1,21.0,1.0
231,47,11,52.0,1.0
232,48,11,52.0,0.0
233,18,2,23.0,1.0
234,31,8,37.0,2.0
235,45,10,49.0,0.0
236,18,2,23.0,1.0
237,21,3,25.0,0.0
238,45,10,49.0,0.0
239,25,5,29.0,0.0
240,18,2,23.0,1.0
241,16,1,21.0,1.0
242,37,9,43.0,2.0
243,47,11,52.0,1.0
244,20,3,25.0,1.0
245,40,10,49.0,5.0
246,27,6,31.0,0.0
247,21,3,25.0,0.0
248,23,5,29.0,2.0
249,26,6,31.0,1.0
250,24,5,29.0,1.0
251,27,6,31.0,0.0
252,15,1,21.0,2.0
253,13,1,21.0,4.0
254,13,1,21.0,4.0
255,13,1,21.0,4.0
256,33,8,37.0,0.0
257,33,8,37.0,0.0
258,33,8,37.0,0.0
259,32,8,37.0,1.0
260,18,2,23.0,1.0
261,33,8,37.0,0.0
262,18,2,23.0,1.0
263,18,2,23.0,1.0
264,18,2,23.0,1.0
265,18,2,23.0,1.0
266,46,11,52.0,2.0
267,26,6,31.0,1.0
268,19,2,23.0,0.0
269,16,1,21.0,1.0
270,20,3,25.0,1.0
271,24,5,29.0,1.0
272,18,2,23.0,1.0
273,40,10,49.0,5.0
274,14,1,21.0,3.0
275,19,2,23.0,0.0
276,40,10,49.0,5.0
277,19,2,23.0,0.0
278,17,1,21.0,0.0
279,18,2,23.0,1.0
280,18,2,23.0,1.0
281,25,5,29.0,0.0
282,26,6,31.0,1.0
283,20,3,25.0,1.0
284,23,5,29.0,2.0
285,20,3,25.0,1.0
286,25,5,29.0,0.0
287,17,1,21.0,0.0
288,19,2,23.0,0.0
289,26,6,31.0,1.0
290,21,3,25.0,0.0
291,30,7,34.0,0.0
292,19,2,23.0,0.0
293,21,3,25.0,0.0
294,47,11,52.0,1.0
295,32,8,37.0,1.0
296,36,9,43.0,3.0
297,31,8,37.0,2.0
298,16,1,21.0,1.0
299,18,2,23.0,1.0
300,39,9,43.0,0.0
301,27,6,31.0,0.0
302,18,2,23.0,1.0
303,15,1,21.0,2.0
304,20,3,25.0,1.0
305,21,3,25.0,0.0
306,50,12,60.0,6.0
307,44,10,49.0,1.0
308,17,1,21.0,0.0
309,16,1,21.0,1.0
310,16,1,21.0,1.0
311,26,6,31.0,1.0
312,16,1,21.0,1.0
313,18,2,23.0,1.0
314,22,4,27.0,1.0
315,27,6,31.0,0.0
316,41,10,49.0,4.0
317,16,1,21.0,1.0
318,15,1,21.0,2.0
319,18,2,23.0,1.0
320,20,3,25.0,1.0
321,43,10,49.0,2.0
322,30,7,34.0,0.0
323,35,9,43.0,4.0
324,20,3,25.0,1.0
325,20,3,25.0,1.0
326,24,5,29.0,1.0
327,21,3,25.0,0.0
328,33,8,37.0,0.0
329,27,6,31.0,0.0
330,40,10,49.0,5.0
331,25,5,29.0,0.0
332,12,1,21.0,5.0
333,16,1,21.0,1.0
334,16,1,21.0,1.0
335,16,1,21.0,1.0
336,20,3,25.0,1.0
337,22,4,27.0,1.0
338,21,3,25.0,0.0
339,26,6,31.0,1.0
340,20,3,25.0,1.0
341,40,10,49.0,5.0
342,20,3,25.0,1.0
343,25,5,29.0,0.0
344,20,3,25.0,1.0
345,20,3,25.0,1.0
346,47,11,52.0,1.0
347,19,2,23.0,0.0
348,14,1,21.0,3.0
349,28,7,34.0,2.0
350,47,11,52.0,1.0
351,19,2,23.0,0.0
352,22,4,27.0,1.0
353,22,4,27.0,1.0
354,16,1,21.0,1.0
355,47,11,52.0,1.0
356,25,5,29.0,0.0
357,19,2,23.0,0.0
358,22,4,27.0,1.0
359,31,8,37.0,2.0
360,16,1,21.0,1.0
361,17,1,21.0,0.0
362,18,2,23.0,1.0
363,19,2,23.0,0.0
364,21,3,25.0,0.0
365,31,8,37.0,2.0
366,19,2,23.0,0.0
367,21,3,25.0,0.0
368,18,2,23.0,1.0
369,21,3,25.0,0.0
370,21,3,25.0,0.0
371,17,1,21.0,0.0
372,15,1,21.0,2.0
373,28,7,34.0,2.0
374,29,7,34.0,1.0
375,45,10,49.0,0.0
376,45,10,49.0,0.0
377,22,4,27.0,1.0
378,24,5,29.0,1.0
379,23,5,29.0,2.0
380,21,3,25.0,0.0
381,25,5,29.0,0.0
382,30,7,34.0,0.0
383,38,9,43.0,1.0
384,16,1,21.0,1.0
385,30,7,34.0,0.0
386,23,5,29.0,2.0
387,30,7,34.0,0.0
388,52,12,60.0,4.0
389,42,10,49.0,3.0
390,19,2,23.0,0.0
391,31,8,37.0,2.0
392,16,1,21.0,1.0
393,26,6,31.0,1.0
394,20,3,25.0,1.0
395,47,11,52.0,1.0
396,16,1,21.0,1.0
397,40,10,49.0,5.0
398,14,1,21.0,3.0
399,45,10,49.0,0.0
400,43,10,49.0,2.0
401,20,3,25.0,1.0
402,20,3,25.0,1.0
403,35,9,43.0,4.0
404,48,12,60.0,8.0
405,12,1,21.0,5.0
406,17,1,21.0,0.0
407,24,5,29.0,1.0
408,23,5,29.0,2.0
409,30,7,34.0,0.0
410,30,7,34.0,0.0
411,50,12,60.0,6.0
412,15,1,21.0,2.0
413,20,3,25.0,1.0
414,22,4,27.0,1.0
415,21,3,25.0,0.0
416,21,3,25.0,0.0
417,45,10,49.0,0.0
418,46,11,52.0,2.0
419,43,10,49.0,2.0
420,19,2,23.0,0.0
421,38,9,43.0,1.0
422,50,12,60.0,6.0
423,37,9,43.0,2.0
424,17,1,21.0,0.0
425,19,2,23.0,0.0
426,19,2,23.0,0.0
427,26,6,31.0,1.0
428,20,3,25.0,1.0
429,40,10,49.0,5.0
430,40,10,49.0,5.0
431,44,10,49.0,1.0
432,43,10,49.0,2.0
433,43,10,49.0,2.0
434,16,1,21.0,1.0
435,27,6,31.0,0.0
436,19,2,23.0,0.0
437,46,11,52.0,2.0
438,46,11,52.0,2.0
439,19,2,23.0,0.0
440,20,3,25.0,1.0
441,56,12,60.0,0.0
442,45,10,49.0,0.0
443,55,12,60.0,1.0
444,56,12,60.0,0.0
445,56,12,60.0,0.0
