type_id,min_box_size_mm,max_box_size_mm,spacing_mm,anti_overlap_upper_mm,medicine_count,group_redundancy_mm
1,10.0,17.0,21.0,23.999,243,435.0
2,17.0,19.0,23.0,37.999,243,180.0
3,20.0,21.0,25.0,43.999,272,227.0
4,21.0,23.0,27.0,45.999,136,218.0
5,23.0,25.0,29.0,49.999,136,165.0
6,25.0,27.0,31.0,53.999,136,177.0
7,27.0,30.0,34.0,57.999,136,168.0
8,30.0,33.0,37.0,63.999,136,157.0
9,34.0,39.0,43.0,71.999,136,398.0
10,40.0,45.0,49.0,83.999,173,498.0
11,45.0,48.0,52.0,93.999,86,169.0
12,48.0,56.0,60.0,99.999,86,432.0
