dataset,time,observed_x_m,observed_y_m,fitted_x_m,fitted_y_m,residual_m,date,latitude_deg,longitude_deg
附件1,14:42:00,1.0365,0.4973,1.042785,0.492731,0.007771,2015-04-18,18.0,111.0
附件1,14:45:00,1.0699,0.5029,1.075405,0.498654,0.006953,2015-04-18,18.0,111.0
附件1,14:48:00,1.1038,0.5085,1.108541,0.504599,0.00614,2015-04-18,18.0,111.0
附件1,14:51:00,1.1383,0.5142,1.142214,0.51057,0.005339,2015-04-18,18.0,111.0
附件1,14:54:00,1.1732,0.5198,1.17645,0.516568,0.004583,2015-04-18,18.0,111.0
附件1,14:57:00,1.2087,0.5255,1.211271,0.522596,0.003879,2015-04-18,18.0,111.0
附件1,15:00:00,1.2448,0.5311,1.246706,0.528657,0.003098,2015-04-18,18.0,111.0
附件1,15:03:00,1.2815,0.5368,1.28278,0.534754,0.002413,2015-04-18,18.0,111.0
附件1,15:06:00,1.3189,0.5426,1.319523,0.540889,0.001821,2015-04-18,18.0,111.0
附件1,15:09:00,1.3568,0.5483,1.356965,0.547065,0.001246,2015-04-18,18.0,111.0
附件1,15:12:00,1.3955,0.5541,1.395138,0.553286,0.000891,2015-04-18,18.0,111.0
附件1,15:15:00,1.4349,0.5598,1.434075,0.559555,0.000861,2015-04-18,18.0,111.0
附件1,15:18:00,1.4751,0.5657,1.473812,0.565875,0.0013,2015-04-18,18.0,111.0
附件1,15:21:00,1.516,0.5715,1.514386,0.57225,0.00178,2015-04-18,18.0,111.0
附件1,15:24:00,1.5577,0.5774,1.555836,0.578683,0.002262,2015-04-18,18.0,111.0
附件1,15:27:00,1.6003,0.5833,1.598205,0.585178,0.002813,2015-04-18,18.0,111.0
附件1,15:30:00,1.6438,0.5892,1.641537,0.59174,0.003402,2015-04-18,18.0,111.0
附件1,15:33:00,1.6882,0.5952,1.685878,0.598373,0.003932,2015-04-18,18.0,111.0
附件1,15:36:00,1.7337,0.6013,1.731277,0.605082,0.004491,2015-04-18,18.0,111.0
附件1,15:39:00,1.7801,0.6074,1.777788,0.61187,0.005032,2015-04-18,18.0,111.0
附件1,15:42:00,1.8277,0.6135,1.825467,0.618744,0.005699,2015-04-18,18.0,111.0
