date,day_of_year,latitude_deg,longitude_deg,rmse_m,scale_or_height_m,axis_rotation_deg
2015-04-18,108,18.0,111.0,0.004116,1.881392,15.909145
2015-04-18,108,18.0,108.0,0.004544,2.085272,14.586722
2015-04-18,108,20.0,111.0,0.008163,1.866087,13.511705
2015-04-18,108,20.0,114.0,0.008786,1.689419,14.945989
2015-04-18,108,18.0,114.0,0.009429,1.700255,17.119817
2015-04-18,108,24.0,126.0,0.010073,1.12147,16.884355
2015-04-18,108,20.0,117.0,0.0104,1.53019,16.270916
2015-04-18,108,22.0,126.0,0.010442,1.126564,18.329208
2015-04-18,108,22.0,123.0,0.010572,1.247331,17.06615
2015-04-18,108,26.0,129.0,0.011277,1.006064,16.937025
2015-04-18,108,20.0,120.0,0.011437,1.385358,17.507711
2015-04-18,108,24.0,129.0,0.011679,1.010786,18.233404
2015-04-18,108,20.0,108.0,0.012075,2.064016,11.940873
2015-04-18,108,20.0,123.0,0.012284,1.252472,18.673225
2015-04-18,108,22.0,120.0,0.012416,1.377564,15.734195
2015-04-18,108,18.0,117.0,0.013062,1.537599,18.241796
2015-04-18,108,24.0,123.0,0.01352,1.239671,15.470522
2015-04-18,108,26.0,126.0,0.013747,1.114285,15.450032
2015-04-18,108,22.0,117.0,0.014144,1.519092,14.317834
2015-04-18,108,28.0,129.0,0.014218,0.999591,15.649867
