dataset,time,observed_x_m,observed_y_m,fitted_x_m,fitted_y_m,residual_m,date,latitude_deg,longitude_deg
附件2,12:41:00,-1.2352,0.173,-1.23212,0.173642,0.003146,2015-07-21,40.0,81.0
附件2,12:44:00,-1.2081,0.189,-1.205381,0.18966,0.002798,2015-07-21,40.0,81.0
附件2,12:47:00,-1.1813,0.2048,-1.178842,0.205397,0.002529,2015-07-21,40.0,81.0
附件2,12:50:00,-1.1546,0.2203,-1.152494,0.220861,0.00218,2015-07-21,40.0,81.0
附件2,12:53:00,-1.1281,0.2356,-1.126328,0.236058,0.001831,2015-07-21,40.0,81.0
附件2,12:56:00,-1.1018,0.2505,-1.100336,0.250997,0.001546,2015-07-21,40.0,81.0
附件2,12:59:00,-1.0756,0.2653,-1.07451,0.265684,0.001155,2015-07-21,40.0,81.0
附件2,13:02:00,-1.0496,0.2798,-1.048843,0.280126,0.000824,2015-07-21,40.0,81.0
附件2,13:05:00,-1.0237,0.294,-1.023327,0.294328,0.000497,2015-07-21,40.0,81.0
附件2,13:08:00,-0.998,0.308,-0.997955,0.308298,0.000301,2015-07-21,40.0,81.0
附件2,13:11:00,-0.9724,0.3218,-0.972719,0.322041,0.0004,2015-07-21,40.0,81.0
附件2,13:14:00,-0.947,0.3354,-0.947612,0.335563,0.000633,2015-07-21,40.0,81.0
附件2,13:17:00,-0.9217,0.3488,-0.922628,0.348869,0.00093,2015-07-21,40.0,81.0
附件2,13:20:00,-0.8965,0.3619,-0.897759,0.361966,0.001261,2015-07-21,40.0,81.0
附件2,13:23:00,-0.8714,0.3748,-0.873,0.374857,0.001601,2015-07-21,40.0,81.0
附件2,13:26:00,-0.8464,0.3876,-0.848344,0.387547,0.001945,2015-07-21,40.0,81.0
附件2,13:29:00,-0.8215,0.4001,-0.823784,0.400043,0.002285,2015-07-21,40.0,81.0
附件2,13:32:00,-0.7967,0.4124,-0.799315,0.412348,0.002615,2015-07-21,40.0,81.0
附件2,13:35:00,-0.7719,0.4246,-0.774929,0.424466,0.003032,2015-07-21,40.0,81.0
附件2,13:38:00,-0.7473,0.4366,-0.750622,0.436402,0.003328,2015-07-21,40.0,81.0
附件2,13:41:00,-0.7227,0.4484,-0.726387,0.448161,0.003694,2015-07-21,40.0,81.0
附件3,13:09:00,1.1637,3.336,1.164811,3.337926,0.002223,2015-02-03,34.0,114.0
附件3,13:12:00,1.2212,3.3299,1.222117,3.331909,0.002208,2015-02-03,34.0,114.0
附件3,13:15:00,1.2791,3.3242,1.279794,3.326198,0.002115,2015-02-03,34.0,114.0
附件3,13:18:00,1.3373,3.3188,1.337873,3.320792,0.002073,2015-02-03,34.0,114.0
附件3,13:21:00,1.396,3.3137,1.396386,3.315693,0.00203,2015-02-03,34.0,114.0
附件3,13:24:00,1.4552,3.3091,1.455363,3.3109,0.001807,2015-02-03,34.0,114.0
附件3,13:27:00,1.5148,3.3048,1.514839,3.306413,0.001613,2015-02-03,34.0,114.0
附件3,13:30:00,1.575,3.3007,1.574847,3.302234,0.001542,2015-02-03,34.0,114.0
附件3,13:33:00,1.6357,3.2971,1.635421,3.298364,0.001295,2015-02-03,34.0,114.0
附件3,13:36:00,1.697,3.2937,1.6966,3.294806,0.001176,2015-02-03,34.0,114.0
附件3,13:39:00,1.7589,3.2907,1.758418,3.291561,0.000986,2015-02-03,34.0,114.0
附件3,13:42:00,1.8215,3.2881,1.820916,3.288631,0.00079,2015-02-03,34.0,114.0
附件3,13:45:00,1.8848,3.2859,1.884132,3.286021,0.000679,2015-02-03,34.0,114.0
附件3,13:48:00,1.9488,3.284,1.948109,3.283733,0.000741,2015-02-03,34.0,114.0
附件3,13:51:00,2.0136,3.2824,2.012889,3.281771,0.000949,2015-02-03,34.0,114.0
附件3,13:54:00,2.0792,3.2813,2.078517,3.28014,0.001346,2015-02-03,34.0,114.0
附件3,13:57:00,2.1457,3.2805,2.14504,3.278844,0.001783,2015-02-03,34.0,114.0
附件3,14:00:00,2.2131,3.2801,2.212506,3.277889,0.002289,2015-02-03,34.0,114.0
附件3,14:03:00,2.2815,3.2801,2.280966,3.277281,0.002869,2015-02-03,34.0,114.0
附件3,14:06:00,2.3508,3.2804,2.350473,3.277026,0.00339,2015-02-03,34.0,114.0
附件3,14:09:00,2.4213,3.2812,2.421083,3.277131,0.004075,2015-02-03,34.0,114.0
