date,day_of_year,latitude_deg,longitude_deg,rmse_m,scale_or_height_m,axis_rotation_deg,dataset,rank
2015-07-21,202,40.0,81.0,0.002097,1.961732,20.124533,附件2,1
2015-09-15,258,24.0,81.0,0.002981,1.841822,27.403843,附件2,2
2015-08-25,237,32.0,81.0,0.003077,1.81013,24.202979,附件2,3
2015-08-18,230,34.0,81.0,0.00315,1.830625,22.945,附件2,4
2015-04-14,104,30.0,81.0,0.003489,1.848567,23.709032,附件2,5
2015-04-21,111,32.0,81.0,0.003522,1.916246,23.639392,附件2,6
2015-07-14,195,40.0,81.0,0.003728,2.04858,18.607738,附件2,7
2015-08-11,223,36.0,81.0,0.003749,1.848089,22.132401,附件2,8
2015-07-28,209,38.0,81.0,0.003948,1.964683,19.258256,附件2,9
2015-09-01,244,30.0,81.0,0.003972,1.787622,25.820818,附件2,10
2015-06-30,181,42.0,81.0,0.00417,2.072788,20.401517,附件2,11
2015-09-22,265,22.0,81.0,0.00428,1.817647,29.605565,附件2,12
2015-02-03,34,34.0,114.0,0.002001,2.811798,-9.737309,附件3,1
2015-10-20,293,42.0,108.0,0.002912,2.55975,-8.134188,附件3,2
2015-12-08,342,26.0,108.0,0.004548,3.035898,-10.834761,附件3,3
2015-03-10,69,50.0,117.0,0.004824,2.405854,-5.397078,附件3,4
2015-01-27,27,32.0,114.0,0.005318,2.818002,-9.557481,附件3,5
2015-12-08,342,24.0,108.0,0.005593,3.247357,-10.33086,附件3,6
2015-10-06,279,48.0,111.0,0.005727,2.453871,-5.355729,附件3,7
2015-09-22,265,54.0,114.0,0.00626,2.403285,-3.090884,附件3,8
2015-03-03,62,48.0,117.0,0.006394,2.342369,-6.194504,附件3,9
2015-12-15,349,24.0,108.0,0.006822,3.223541,-11.414575,附件3,10
2015-10-06,279,50.0,111.0,0.007151,2.285376,-5.838181,附件3,11
2015-10-20,293,40.0,108.0,0.007179,2.74318,-7.646621,附件3,12
