date,day_of_year,latitude_deg,longitude_deg,rmse_m,scale_or_height_m,axis_rotation_deg
2015-02-03,34,34.0,114.0,0.002001,2.811798,-9.737309
2015-10-20,293,42.0,108.0,0.002912,2.55975,-8.134188
2015-12-08,342,26.0,108.0,0.004548,3.035898,-10.834761
2015-03-10,69,50.0,117.0,0.004824,2.405854,-5.397078
2015-01-27,27,32.0,114.0,0.005318,2.818002,-9.557481
2015-12-08,342,24.0,108.0,0.005593,3.247357,-10.33086
2015-10-06,279,48.0,111.0,0.005727,2.453871,-5.355729
2015-09-22,265,54.0,114.0,0.00626,2.403285,-3.090884
2015-03-03,62,48.0,117.0,0.006394,2.342369,-6.194504
2015-12-15,349,24.0,108.0,0.006822,3.223541,-11.414575
2015-10-06,279,50.0,111.0,0.007151,2.285376,-5.838181
2015-10-20,293,40.0,108.0,0.007179,2.74318,-7.646621
2015-03-03,62,46.0,117.0,0.007297,2.513687,-5.707498
2015-10-27,300,40.0,108.0,0.007487,2.515689,-8.264566
2015-02-10,41,36.0,114.0,0.007916,2.825843,-9.678648
