current_a,voltage_v,time_min
55.0,10.5,2.609028
55.0,10.495,2.738703
55.0,10.49,2.866965
55.0,10.485,2.994032
55.0,10.48,3.120017
55.0,10.475,3.397849
55.0,10.47,3.69797
55.0,10.465,53.290518
55.0,10.46,54.749258
55.0,10.455,61.121644
55.0,10.45,64.405118
55.0,10.445,68.847366
55.0,10.44,72.700225
55.0,10.435,75.323727
55.0,10.43,79.453102
55.0,10.425,84.963727
55.0,10.42,88.021794
55.0,10.415,174.867834
55.0,10.41,181.739512
55.0,10.405,191.232074
55.0,10.4,199.290029
55.0,10.395,206.136446
55.0,10.39,214.445433
55.0,10.385,222.189329
55.0,10.38,230.362986
55.0,10.375,236.549211
55.0,10.37,244.303625
55.0,10.365,249.173396
55.0,10.36,255.328666
55.0,10.355,264.445729
55.0,10.35,271.831108
55.0,10.345,276.800868
55.0,10.34,278.859811
55.0,10.335,286.270826
55.0,10.33,293.407215
55.0,10.325,301.391712
55.0,10.32,307.381769
55.0,10.315,310.950828
55.0,10.31,317.785934
55.0,10.305,324.096436
55.0,10.3,329.962819
55.0,10.295,338.633598
55.0,10.29,346.074032
55.0,10.285,352.643856
55.0,10.28,359.890388
55.0,10.275,366.552958
55.0,10.27,370.317287
55.0,10.265,376.080178
55.0,10.26,380.127646
55.0,10.255,388.984319
55.0,10.25,395.190992
55.0,10.245,403.317946
55.0,10.24,406.741595
55.0,10.235,410.847245
55.0,10.23,417.208485
55.0,10.225,424.121794
55.0,10.22,429.561984
55.0,10.215,433.859839
55.0,10.21,441.586153
55.0,10.205,446.166647
55.0,10.2,450.267933
55.0,10.195,460.3852
55.0,10.19,463.210444
55.0,10.185,472.224201
55.0,10.18,478.83505
55.0,10.175,483.913292
55.0,10.17,491.031962
55.0,10.165,495.447761
55.0,10.16,504.366005
55.0,10.155,510.414394
55.0,10.15,515.090674
55.0,10.145,520.831033
55.0,10.14,527.195528
55.0,10.135,534.25045
55.0,10.13,540.49151
55.0,10.125,547.286293
55.0,10.12,552.097678
55.0,10.115,556.088062
55.0,10.11,563.695
55.0,10.105,568.588518
55.0,10.1,576.720139
55.0,10.095,580.398133
55.0,10.09,585.420936
55.0,10.085,590.498545
55.0,10.08,596.625119
55.0,10.075,602.57333
55.0,10.07,609.795068
55.0,10.065,613.028576
55.0,10.06,619.362908
55.0,10.055,625.96576
55.0,10.05,632.02861
55.0,10.045,638.938843
55.0,10.04,642.838212
55.0,10.035,644.702875
55.0,10.03,651.730318
55.0,10.025,658.793913
55.0,10.02,664.851827
55.0,10.015,669.74814
55.0,10.01,674.088571
55.0,10.005,678.965782
55.0,10.0,684.756211
55.0,9.995,690.148466
55.0,9.99,695.148503
55.0,9.985,698.997253
55.0,9.98,703.259734
55.0,9.975,707.468691
55.0,9.97,712.868611
55.0,9.965,717.902484
55.0,9.96,722.573446
55.0,9.955,728.258689
55.0,9.95,732.467616
55.0,9.945,737.942337
55.0,9.94,743.11126
55.0,9.935,748.14929
55.0,9.93,752.788435
55.0,9.925,756.836756
55.0,9.92,760.576165
55.0,9.915,765.32074
55.0,9.91,771.617681
55.0,9.905,776.905586
55.0,9.9,780.432448
55.0,9.895,784.671782
55.0,9.89,789.025699
55.0,9.885,793.44514
55.0,9.88,798.309478
55.0,9.875,802.577553
55.0,9.87,806.897541
55.0,9.865,811.502991
55.0,9.86,815.95307
55.0,9.855,820.561434
55.0,9.85,824.972478
55.0,9.845,828.522559
55.0,9.84,832.976926
55.0,9.835,834.96702
55.0,9.83,841.13427
55.0,9.825,845.044412
55.0,9.82,848.271275
55.0,9.815,852.978591
55.0,9.81,856.525962
55.0,9.805,860.208189
55.0,9.8,865.309389
55.0,9.795,868.696355
55.0,9.79,870.699611
55.0,9.785,874.590547
55.0,9.78,878.82142
55.0,9.775,883.00102
55.0,9.77,887.310021
55.0,9.765,890.424526
55.0,9.76,894.201539
55.0,9.755,897.69596
55.0,9.75,901.689344
55.0,9.745,905.364611
55.0,9.74,909.697017
55.0,9.735,912.976158
55.0,9.73,915.891469
55.0,9.725,918.787432
55.0,9.72,922.567248
55.0,9.715,925.863042
55.0,9.71,930.671095
55.0,9.705,934.09223
55.0,9.7,936.929551
55.0,9.695,940.202314
55.0,9.69,943.912851
55.0,9.685,946.990714
55.0,9.68,950.875682
55.0,9.675,953.534297
55.0,9.67,957.175167
55.0,9.665,960.434423
55.0,9.66,962.16094
55.0,9.655,965.721778
55.0,9.65,969.50826
55.0,9.645,972.33351
55.0,9.64,975.46713
55.0,9.635,977.911405
55.0,9.63,981.569239
55.0,9.625,984.842116
55.0,9.62,987.761792
55.0,9.615,990.971086
55.0,9.61,993.304041
55.0,9.605,995.365855
55.0,9.6,998.720021
55.0,9.595,1001.674876
55.0,9.59,1005.136481
55.0,9.585,1007.597726
55.0,9.58,1009.979271
55.0,9.575,1012.351911
55.0,9.57,1015.134058
55.0,9.565,1017.451765
55.0,9.56,1019.564418
55.0,9.555,1021.415889
55.0,9.55,1023.644796
55.0,9.545,1026.238998
55.0,9.54,1029.015848
55.0,9.535,1030.938144
55.0,9.53,1034.266728
55.0,9.525,1036.527215
55.0,9.52,1038.796059
55.0,9.515,1041.56202
55.0,9.51,1044.364624
55.0,9.505,1046.811909
55.0,9.5,1048.806236
55.0,9.495,1050.740049
55.0,9.49,1052.979565
55.0,9.485,1055.536555
55.0,9.48,1058.379529
55.0,9.475,1060.098333
55.0,9.47,1062.287403
55.0,9.465,1064.280565
55.0,9.46,1066.389564
55.0,9.455,1068.476024
55.0,9.45,1070.188926
55.0,9.445,1071.553058
55.0,9.44,1073.729346
55.0,9.435,1076.140546
55.0,9.43,1078.266338
55.0,9.425,1080.177632
55.0,9.42,1081.439396
55.0,9.415,1083.383525
55.0,9.41,1085.83674
55.0,9.405,1087.619013
55.0,9.4,1089.420811
55.0,9.395,1090.761029
55.0,9.39,1092.504375
55.0,9.385,1094.552142
55.0,9.38,1096.651396
55.0,9.375,1098.208354
55.0,9.37,1099.551944
55.0,9.365,1100.798683
55.0,9.36,1101.814372
55.0,9.355,1102.855982
55.0,9.35,1103.767104
55.0,9.345,1104.689301
55.0,9.34,1105.773181
55.0,9.335,1107.63193
55.0,9.33,1108.92528
55.0,9.325,1110.651358
55.0,9.32,1112.32107
55.0,9.315,1113.784541
55.0,9.31,1115.131929
55.0,9.305,1116.515521
55.0,9.3,1118.148585
55.0,9.295,1119.35504
55.0,9.29,1120.821166
55.0,9.285,1122.183035
55.0,9.28,1123.593527
55.0,9.275,1125.065407
55.0,9.27,1126.457437
55.0,9.265,1127.913188
55.0,9.26,1129.34691
55.0,9.255,1130.526403
55.0,9.25,1131.405437
55.0,9.245,1132.753267
55.0,9.24,1133.69133
55.0,9.235,1134.772582
55.0,9.23,1135.910127
55.0,9.225,1136.999986
55.0,9.22,1138.215955
55.0,9.215,1139.618889
55.0,9.21,1140.691666
55.0,9.205,1141.729612
55.0,9.2,1142.873035
55.0,9.195,1144.282118
55.0,9.19,1145.258419
55.0,9.185,1145.897653
55.0,9.18,1146.537258
55.0,9.175,1147.217071
55.0,9.17,1147.915156
55.0,9.165,1148.56968
55.0,9.16,1149.140088
55.0,9.155,1149.714144
55.0,9.15,1150.288003
55.0,9.145,1150.863262
55.0,9.14,1151.439387
55.0,9.135,1152.015694
55.0,9.13,1152.570626
55.0,9.125,1153.041045
55.0,9.12,1153.511505
55.0,9.115,1153.982235
55.0,9.11,1154.409326
55.0,9.105,1154.765523
55.0,9.1,1155.126009
55.0,9.095,1155.487218
55.0,9.09,1155.848635
55.0,9.085,1156.211439
55.0,9.08,1156.574969
55.0,9.075,1156.938465
55.0,9.07,1157.302381
55.0,9.065,1157.667826
55.0,9.06,1158.033141
55.0,9.055,1158.398267
55.0,9.05,1158.76561
55.0,9.045,1159.134781
55.0,9.04,1159.503948
55.0,9.035,1159.872858
55.0,9.03,1160.243909
55.0,9.025,1160.599029
55.0,9.02,1160.953175
55.0,9.015,1161.342865
55.0,9.01,1161.754568
55.0,9.005,1162.155481
55.0,9.0,1162.556265
