wind_bin_mps,record_count,mean_power_mw,mean_wind_speed_mps
0-1,125,0.152,0.7656
1-2,1635,0.04526,1.543431
2-3,3330,0.323123,2.401051
3-4,5460,7.118399,3.430634
4-5,5646,18.783847,4.445714
5-6,4639,31.122485,5.42249
6-7,3911,46.575147,6.441785
7-8,3254,65.155108,7.448513
8-9,2552,77.784835,8.454255
9-10,1824,91.905976,9.405291
10-11,1063,102.920978,10.430809
11-12,799,118.98373,11.395457
12-13,401,117.446384,12.378554
13-14,207,111.594203,13.341546
14-15,126,96.015873,14.38254
15-16,39,64.307692,15.364103
16-17,8,72.5,16.3625
17-18,7,83.857143,17.6
18-19,6,10.666667,18.2
19-20,2,6.5,19.9
20-21,3,10.666667,20.2
23-24,1,13.0,23.1
24-25,1,1.0,24.1
