date,record_count,mean_wind_speed_mps,max_wind_speed_mps,energy_mwh,mean_power_mw,zero_power_ratio
2015-01-01,96,3.773958,5.9,363.25,15.135417,0.177083
2015-01-02,96,4.983854,7.9,631.0,26.291667,0.0
2015-01-03,96,6.14375,9.5,1391.5,57.979167,0.0
2015-01-04,96,8.858333,12.5,2829.25,117.885417,0.0
2015-01-05,96,8.858333,12.5,2828.25,117.84375,0.0
2015-01-06,96,7.8875,11.1,2118.75,88.28125,0.0
2015-01-07,96,7.8875,11.1,2118.75,88.28125,0.0
2015-01-08,96,5.728125,8.7,1229.0,51.208333,0.041667
2015-01-09,96,5.73125,8.7,1231.0,51.291667,0.041667
2015-01-10,96,4.857292,9.1,847.75,35.322917,0.354167
2015-01-11,96,4.917708,10.9,935.25,38.96875,0.333333
2015-01-12,96,7.457292,9.8,2150.25,89.59375,0.0
2015-01-13,96,7.395208,11.2,1847.0,76.958333,0.0
2015-01-14,96,3.928125,6.3,362.5,15.104167,0.270833
2015-01-15,96,3.933333,6.3,363.75,15.15625,0.270833
2015-01-16,96,4.427083,7.4,546.0,22.75,0.291667
2015-01-17,96,8.240625,11.2,2215.5,92.3125,0.0
2015-01-18,96,8.7925,12.6,2648.75,110.364583,0.0
2015-01-19,96,5.669792,9.2,1170.0,48.75,0.0
2015-01-20,96,10.454167,14.4,3352.0,139.666667,0.0
2015-01-21,96,6.336458,11.0,1350.75,56.28125,0.052083
2015-01-22,96,4.5,10.1,675.25,28.135417,0.166667
2015-01-23,96,4.808229,9.9,780.25,32.510417,0.1875
2015-01-24,96,5.74625,10.3,1329.75,55.40625,0.041667
2015-01-25,96,4.935417,8.5,771.25,32.135417,0.125
2015-01-26,96,7.192708,11.0,2073.25,86.385417,0.0
2015-01-27,96,4.536458,7.6,610.29,25.42875,0.041667
2015-01-28,96,4.1875,9.4,709.5,29.5625,0.25
2015-01-29,96,3.867708,9.5,506.75,21.114583,0.5
2015-01-30,96,4.169792,7.7,458.0,19.083333,0.208333
2015-01-31,96,6.789583,8.8,1841.5,76.729167,0.0
2015-02-01,96,4.738542,8.2,892.5,37.1875,0.1875
2015-02-02,96,3.534375,6.9,249.5,10.395833,0.260417
2015-02-03,96,3.304167,6.2,316.0,13.166667,0.385417
2015-02-04,96,2.884896,3.8,109.0,4.541667,0.333333
2015-02-05,96,4.026042,6.5,365.0,15.208333,0.083333
2015-02-06,96,5.73125,10.1,1162.0,48.416667,0.09375
2015-02-07,96,4.420104,7.9,700.25,29.177083,0.322917
2015-02-08,96,6.652083,10.8,1215.75,50.65625,0.0
2015-02-09,96,4.864583,7.5,646.5,26.9375,0.09375
2015-02-10,96,9.722917,13.1,1751.0,72.958333,0.0
2015-02-11,96,10.486458,13.7,2567.25,106.96875,0.0
2015-02-12,96,8.745833,12.3,2522.0,105.083333,0.0
2015-02-13,96,8.013542,10.2,2216.0,92.333333,0.0
2015-02-14,96,8.409479,11.3,1535.25,63.96875,0.0
2015-02-15,96,10.256667,13.3,2720.25,113.34375,0.0
2015-02-16,96,5.489583,9.1,963.25,40.135417,0.125
2015-02-17,96,3.861458,5.9,386.5,16.104167,0.114583
2015-02-18,96,8.7375,12.6,2427.25,101.135417,0.0
2015-02-19,96,6.147917,10.5,1312.5,54.6875,0.020833
2015-02-20,96,6.526042,11.0,1489.5,62.0625,0.0
2015-02-21,96,8.989583,11.3,1533.25,63.885417,0.0
2015-02-22,96,4.967187,7.5,487.25,20.302083,0.041667
2015-02-23,96,6.396875,9.0,1324.75,55.197917,0.0
2015-02-24,96,9.2375,13.7,1551.25,64.635417,0.0
2015-02-25,96,4.448958,7.3,498.0,20.75,0.083333
2015-02-26,96,6.783333,10.6,1745.5,72.729167,0.125
2015-02-27,96,5.738542,11.1,1104.75,46.03125,0.166667
2015-02-28,96,9.3075,12.3,2811.0,117.125,0.0
2015-03-01,96,5.075,7.7,662.25,27.59375,0.0
2015-03-02,96,11.621875,15.2,3252.25,135.510417,0.0
2015-03-03,96,6.763542,10.8,1250.0,52.083333,0.0
2015-03-04,96,4.622187,7.7,599.5,24.979167,0.28125
2015-03-05,96,3.134375,4.0,86.0,3.583333,0.229167
2015-03-06,96,3.867708,5.6,290.75,12.114583,0.083333
2015-03-07,96,4.094792,9.5,557.25,23.21875,0.458333
2015-03-08,96,4.41875,7.7,559.5,23.3125,0.041667
2015-03-09,96,3.73125,6.2,237.75,9.90625,0.020833
2015-03-10,96,5.483333,8.9,883.0,36.791667,0.041667
2015-03-11,96,4.816667,9.4,850.75,35.447917,0.166667
2015-03-12,96,5.78125,8.7,1158.25,48.260417,0.0
2015-03-13,96,6.035417,11.6,1143.0,47.625,0.03125
2015-03-14,96,5.171875,9.9,776.5,32.354167,0.125
2015-03-15,96,6.285833,9.9,1165.25,48.552083,0.0
2015-03-16,96,5.158333,9.4,762.0,31.75,0.083333
2015-03-17,96,4.99375,7.7,716.25,29.84375,0.145833
2015-03-18,96,3.120833,4.9,200.0,8.333333,0.5
2015-03-19,96,4.110417,8.6,515.5,21.479167,0.333333
2015-03-20,96,4.940625,7.9,547.25,22.802083,0.0
2015-03-21,96,5.564583,10.5,1259.0,52.458333,0.083333
2015-03-22,96,4.535417,8.2,660.75,27.53125,0.291667
2015-03-23,96,3.911146,6.5,349.0,14.541667,0.208333
2015-03-24,96,5.605208,9.5,1212.25,50.510417,0.0
2015-03-25,96,6.832292,10.1,1566.0,65.25,0.0
2015-03-26,96,7.221458,8.5,1819.0,75.791667,0.0
2015-03-27,96,6.223958,13.0,1516.75,63.197917,0.0
2015-03-28,96,6.508333,9.8,1548.5,64.520833,0.052083
2015-03-29,96,10.329167,12.3,3054.25,127.260417,0.0
2015-03-30,95,5.085263,10.6,381.25,16.052632,0.042105
2015-03-31,96,4.716667,9.3,916.75,38.197917,0.34375
2015-04-01,96,11.891667,14.2,3388.0,141.166667,0.0
2015-04-02,96,7.39375,15.0,1716.25,71.510417,0.177083
2015-04-03,96,4.291875,8.7,677.75,28.239583,0.25
2015-04-04,96,4.509375,8.0,731.5,30.479167,0.166667
