model,turbine_id,phase,expected_annual_energy_mwh,mean_power_kw,zero_power_ratio,capacity_factor
机型Ⅰ,4,一期,5006.577888,571.527156,0.148767,
机型Ⅰ,16,一期,4666.441528,532.698805,0.180548,
机型Ⅰ,24,一期,4027.923899,459.808664,0.201644,
机型Ⅰ,33,二期,3997.799821,456.369843,0.205205,
机型Ⅰ,49,二期,4718.43068,538.633639,0.193973,
机型Ⅰ,57,二期,4933.032365,563.131548,0.195068,
机型Ⅰ,ALL,平均,4558.367697,520.361609,,0.260181
机型Ⅱ,4,一期,4185.13908,477.755603,0.203014,
机型Ⅱ,16,一期,3892.204561,444.315589,0.235616,
机型Ⅱ,24,一期,3369.562752,384.653282,0.270137,
机型Ⅱ,33,二期,3363.164112,383.922844,0.270137,
机型Ⅱ,49,二期,3933.276147,449.004126,0.248767,
机型Ⅱ,57,二期,4084.99392,466.323507,0.247123,
机型Ⅱ,ALL,平均,3804.723429,434.329159,,0.289553
机型Ⅲ,4,一期,3924.904825,448.048496,0.160548,
机型Ⅲ,16,一期,3644.881539,416.082367,0.192877,
机型Ⅲ,24,一期,3131.200085,357.442932,0.220274,
机型Ⅲ,33,二期,3129.95061,357.300298,0.217534,
机型Ⅲ,49,二期,3687.683027,420.968382,0.203562,
机型Ⅲ,57,二期,3844.381427,438.856327,0.207397,
机型Ⅲ,ALL,平均,3560.500252,406.4498,,0.270967
机型Ⅳ,4,一期,3560.339301,406.431427,0.160548,
机型Ⅳ,16,一期,3311.739716,378.052479,0.192877,
机型Ⅳ,24,一期,2831.007047,323.17432,0.220274,
机型Ⅳ,33,二期,2807.867011,320.532764,0.217534,
机型Ⅳ,49,二期,3351.743519,382.619123,0.203562,
机型Ⅳ,57,二期,3519.216086,401.736996,0.207397,
机型Ⅳ,ALL,平均,3230.31878,368.757852,,0.245839
机型Ⅴ,4,一期,3220.250997,367.608561,0.160548,
机型Ⅴ,16,一期,3002.485512,342.749488,0.192877,
机型Ⅴ,24,一期,2558.134564,292.024494,0.220274,
机型Ⅴ,33,二期,2514.960989,287.096003,0.217534,
机型Ⅴ,49,二期,3046.304367,347.75164,0.203562,
机型Ⅴ,57,二期,3219.501991,367.523058,0.207397,
机型Ⅴ,ALL,平均,2926.939737,334.125541,,0.22275
