date,crew,task,turbines,work_flag
2015-01-01,A组,值班,,1
2015-01-01,B组,休息,,0
2015-01-01,C组,维护,1,1
2015-01-01,D组,维护,2,1
2015-01-02,A组,休息,,0
2015-01-02,B组,值班,,1
2015-01-02,C组,维护,1,1
2015-01-02,D组,维护,2,1
2015-01-03,A组,维护,3,1
2015-01-03,B组,维护,4,1
2015-01-03,C组,值班,,1
2015-01-03,D组,休息,,0
2015-01-04,A组,维护,3,1
2015-01-04,B组,维护,4,1
2015-01-04,C组,休息,,0
2015-01-04,D组,值班,,1
2015-01-05,A组,值班,,1
2015-01-05,B组,休息,,0
2015-01-05,C组,维护,5,1
2015-01-05,D组,维护,6,1
2015-01-06,A组,休息,,0
2015-01-06,B组,值班,,1
2015-01-06,C组,维护,5,1
2015-01-06,D组,维护,6,1
2015-01-07,A组,维护,7,1
2015-01-07,B组,维护,8,1
2015-01-07,C组,值班,,1
2015-01-07,D组,休息,,0
2015-01-08,A组,维护,7,1
2015-01-08,B组,维护,8,1
2015-01-08,C组,休息,,0
2015-01-08,D组,值班,,1
2015-01-09,A组,值班,,1
2015-01-09,B组,休息,,0
2015-01-09,C组,维护,9,1
2015-01-09,D组,维护,10,1
2015-01-10,A组,休息,,0
2015-01-10,B组,值班,,1
2015-01-10,C组,维护,9,1
2015-01-10,D组,维护,10,1
2015-01-11,A组,维护,11,1
2015-01-11,B组,维护,12,1
2015-01-11,C组,值班,,1
2015-01-11,D组,休息,,0
2015-01-12,A组,维护,11,1
2015-01-12,B组,维护,12,1
2015-01-12,C组,休息,,0
2015-01-12,D组,值班,,1
2015-01-13,A组,值班,,1
2015-01-13,B组,休息,,0
2015-01-13,C组,维护,13,1
2015-01-13,D组,维护,14,1
2015-01-14,A组,休息,,0
2015-01-14,B组,值班,,1
2015-01-14,C组,维护,13,1
2015-01-14,D组,维护,14,1
2015-01-15,A组,维护,15,1
2015-01-15,B组,维护,16,1
2015-01-15,C组,值班,,1
2015-01-15,D组,休息,,0
2015-01-16,A组,维护,15,1
2015-01-16,B组,维护,16,1
2015-01-16,C组,休息,,0
2015-01-16,D组,值班,,1
2015-01-17,A组,值班,,1
2015-01-17,B组,休息,,0
2015-01-17,C组,维护,17,1
2015-01-17,D组,维护,18,1
2015-01-18,A组,休息,,0
2015-01-18,B组,值班,,1
2015-01-18,C组,维护,17,1
2015-01-18,D组,维护,18,1
2015-01-19,A组,维护,19,1
2015-01-19,B组,维护,20,1
2015-01-19,C组,值班,,1
2015-01-19,D组,休息,,0
2015-01-20,A组,维护,19,1
2015-01-20,B组,维护,20,1
2015-01-20,C组,休息,,0
2015-01-20,D组,值班,,1
2015-01-21,A组,值班,,1
2015-01-21,B组,休息,,0
2015-01-21,C组,维护,21,1
2015-01-21,D组,维护,22,1
2015-01-22,A组,休息,,0
2015-01-22,B组,值班,,1
2015-01-22,C组,维护,21,1
2015-01-22,D组,维护,22,1
2015-01-23,A组,维护,23,1
2015-01-23,B组,维护,24,1
2015-01-23,C组,值班,,1
2015-01-23,D组,休息,,0
2015-01-24,A组,维护,23,1
2015-01-24,B组,维护,24,1
2015-01-24,C组,休息,,0
2015-01-24,D组,值班,,1
2015-01-25,A组,值班,,1
2015-01-25,B组,休息,,0
2015-01-25,C组,维护,25,1
2015-01-25,D组,维护,26,1
2015-01-26,A组,休息,,0
2015-01-26,B组,值班,,1
2015-01-26,C组,维护,25,1
2015-01-26,D组,维护,26,1
2015-01-27,A组,维护,27,1
2015-01-27,B组,维护,28,1
2015-01-27,C组,值班,,1
2015-01-27,D组,休息,,0
2015-01-28,A组,维护,27,1
2015-01-28,B组,维护,28,1
2015-01-28,C组,休息,,0
2015-01-28,D组,值班,,1
2015-01-29,A组,值班,,1
2015-01-29,B组,休息,,0
2015-01-29,C组,维护,29,1
2015-01-29,D组,维护,30,1
2015-01-30,A组,休息,,0
2015-01-30,B组,值班,,1
2015-01-30,C组,维护,29,1
2015-01-30,D组,维护,30,1
2015-01-31,A组,维护,31,1
2015-01-31,B组,维护,32,1
2015-01-31,C组,值班,,1
2015-01-31,D组,休息,,0
2015-02-01,A组,维护,31,1
2015-02-01,B组,维护,32,1
2015-02-01,C组,休息,,0
2015-02-01,D组,值班,,1
2015-02-02,A组,值班,,1
2015-02-02,B组,休息,,0
2015-02-02,C组,维护,33,1
2015-02-02,D组,维护,34,1
2015-02-03,A组,休息,,0
2015-02-03,B组,值班,,1
2015-02-03,C组,维护,33,1
2015-02-03,D组,维护,34,1
2015-02-04,A组,维护,35,1
2015-02-04,B组,维护,36,1
2015-02-04,C组,值班,,1
2015-02-04,D组,休息,,0
2015-02-05,A组,维护,35,1
2015-02-05,B组,维护,36,1
2015-02-05,C组,休息,,0
2015-02-05,D组,值班,,1
2015-02-06,A组,值班,,1
2015-02-06,B组,休息,,0
2015-02-06,C组,维护,37,1
2015-02-06,D组,维护,38,1
2015-02-07,A组,休息,,0
2015-02-07,B组,值班,,1
2015-02-07,C组,维护,37,1
2015-02-07,D组,维护,38,1
2015-02-08,A组,维护,39,1
2015-02-08,B组,维护,40,1
2015-02-08,C组,值班,,1
2015-02-08,D组,休息,,0
2015-02-09,A组,维护,39,1
2015-02-09,B组,维护,40,1
2015-02-09,C组,休息,,0
2015-02-09,D组,值班,,1
2015-02-10,A组,值班,,1
2015-02-10,B组,休息,,0
2015-02-10,C组,维护,41,1
2015-02-10,D组,维护,42,1
2015-02-11,A组,休息,,0
2015-02-11,B组,值班,,1
2015-02-11,C组,维护,41,1
2015-02-11,D组,维护,42,1
2015-02-12,A组,维护,43,1
2015-02-12,B组,维护,44,1
2015-02-12,C组,值班,,1
2015-02-12,D组,休息,,0
2015-02-13,A组,维护,43,1
2015-02-13,B组,维护,44,1
2015-02-13,C组,休息,,0
2015-02-13,D组,值班,,1
2015-02-14,A组,值班,,1
2015-02-14,B组,休息,,0
2015-02-14,C组,维护,45,1
2015-02-14,D组,维护,46,1
2015-02-15,A组,休息,,0
2015-02-15,B组,值班,,1
2015-02-15,C组,维护,45,1
2015-02-15,D组,维护,46,1
2015-02-16,A组,维护,47,1
2015-02-16,B组,维护,48,1
2015-02-16,C组,值班,,1
2015-02-16,D组,休息,,0
2015-02-17,A组,维护,47,1
2015-02-17,B组,维护,48,1
2015-02-17,C组,休息,,0
2015-02-17,D组,值班,,1
2015-02-18,A组,值班,,1
2015-02-18,B组,休息,,0
2015-02-18,C组,维护,49,1
2015-02-18,D组,维护,50,1
2015-02-19,A组,休息,,0
2015-02-19,B组,值班,,1
2015-02-19,C组,维护,49,1
2015-02-19,D组,维护,50,1
2015-02-20,A组,维护,51,1
2015-02-20,B组,维护,52,1
2015-02-20,C组,值班,,1
2015-02-20,D组,休息,,0
2015-02-21,A组,维护,51,1
2015-02-21,B组,维护,52,1
2015-02-21,C组,休息,,0
2015-02-21,D组,值班,,1
2015-02-22,A组,值班,,1
2015-02-22,B组,休息,,0
2015-02-22,C组,维护,53,1
