turbine_id,maintenance_no,start_date,estimated_lost_energy_mwh
1,1,2015-01-01,8.018145
1,2,2015-06-30,8.491935
2,1,2015-01-01,8.018145
2,2,2015-06-30,8.491935
3,1,2015-01-03,34.038306
3,2,2015-07-02,2.110887
4,1,2015-01-03,34.038306
4,2,2015-07-02,2.110887
5,1,2015-01-05,39.895161
5,2,2015-07-04,9.429435
6,1,2015-01-05,39.895161
6,2,2015-07-04,9.429435
7,1,2015-01-07,26.997984
7,2,2015-07-06,16.983871
8,1,2015-01-07,26.997984
8,2,2015-07-06,16.983871
9,1,2015-01-09,16.764113
9,2,2015-07-08,9.08871
10,1,2015-01-09,16.764113
10,2,2015-07-08,9.08871
11,1,2015-01-11,24.883065
11,2,2015-07-10,8.639113
12,1,2015-01-11,24.883065
12,2,2015-07-10,8.639113
13,1,2015-01-13,17.818548
13,2,2015-07-12,9.3125
14,1,2015-01-13,17.818548
14,2,2015-07-12,9.3125
15,1,2015-01-15,7.336694
15,2,2015-07-14,7.91129
16,1,2015-01-15,7.336694
16,2,2015-07-14,7.91129
17,1,2015-01-17,39.227823
17,2,2015-07-16,6.28629
18,1,2015-01-17,39.227823
18,2,2015-07-16,6.28629
19,1,2015-01-19,36.467742
19,2,2015-07-18,7.816532
20,1,2015-01-19,36.467742
20,2,2015-07-18,7.816532
21,1,2015-01-21,16.33871
21,2,2015-07-20,6.415323
22,1,2015-01-21,16.33871
22,2,2015-07-20,6.415323
23,1,2015-01-23,17.016129
23,2,2015-07-22,7.143145
24,1,2015-01-23,17.016129
24,2,2015-07-22,7.143145
25,1,2015-01-25,22.939516
25,2,2015-07-24,5.506048
26,1,2015-01-25,22.939516
26,2,2015-07-24,5.506048
27,1,2015-01-27,10.643468
27,2,2015-07-26,9.326613
28,1,2015-01-27,10.643468
28,2,2015-07-26,9.326613
29,1,2015-01-29,7.780242
29,2,2015-07-28,15.969758
30,1,2015-01-29,7.780242
30,2,2015-07-28,15.969758
31,1,2015-01-31,22.048387
31,2,2015-07-30,8.082661
32,1,2015-01-31,22.048387
32,2,2015-07-30,8.082661
33,1,2015-02-02,4.560484
33,2,2015-08-01,8.084677
34,1,2015-02-02,4.560484
34,2,2015-08-01,8.084677
35,1,2015-02-04,3.822581
35,2,2015-08-03,12.568548
36,1,2015-02-04,3.822581
