turbine_id,maintenance_no,start_date,end_date,crew,duration_days,estimated_lost_energy_mwh
1,1,2015-01-01,2015-01-02,C组,2,8.018145
1,2,2015-06-30,2015-07-01,C组,2,8.491935
2,1,2015-01-01,2015-01-02,D组,2,8.018145
2,2,2015-06-30,2015-07-01,D组,2,8.491935
3,1,2015-01-03,2015-01-04,A组,2,34.038306
3,2,2015-07-02,2015-07-03,A组,2,2.110887
4,1,2015-01-03,2015-01-04,B组,2,34.038306
4,2,2015-07-02,2015-07-03,B组,2,2.110887
5,1,2015-01-05,2015-01-06,C组,2,39.895161
5,2,2015-07-04,2015-07-05,C组,2,9.429435
6,1,2015-01-05,2015-01-06,D组,2,39.895161
6,2,2015-07-04,2015-07-05,D组,2,9.429435
7,1,2015-01-07,2015-01-08,A组,2,26.997984
7,2,2015-07-06,2015-07-07,A组,2,16.983871
8,1,2015-01-07,2015-01-08,B组,2,26.997984
8,2,2015-07-06,2015-07-07,B组,2,16.983871
9,1,2015-01-09,2015-01-10,C组,2,16.764113
9,2,2015-07-08,2015-07-09,C组,2,9.08871
10,1,2015-01-09,2015-01-10,D组,2,16.764113
10,2,2015-07-08,2015-07-09,D组,2,9.08871
11,1,2015-01-11,2015-01-12,A组,2,24.883065
11,2,2015-07-10,2015-07-11,A组,2,8.639113
12,1,2015-01-11,2015-01-12,B组,2,24.883065
12,2,2015-07-10,2015-07-11,B组,2,8.639113
13,1,2015-01-13,2015-01-14,C组,2,17.818548
13,2,2015-07-12,2015-07-13,C组,2,9.3125
14,1,2015-01-13,2015-01-14,D组,2,17.818548
14,2,2015-07-12,2015-07-13,D组,2,9.3125
15,1,2015-01-15,2015-01-16,A组,2,7.336694
15,2,2015-07-14,2015-07-15,A组,2,7.91129
16,1,2015-01-15,2015-01-16,B组,2,7.336694
16,2,2015-07-14,2015-07-15,B组,2,7.91129
17,1,2015-01-17,2015-01-18,C组,2,39.227823
17,2,2015-07-16,2015-07-17,C组,2,6.28629
18,1,2015-01-17,2015-01-18,D组,2,39.227823
18,2,2015-07-16,2015-07-17,D组,2,6.28629
19,1,2015-01-19,2015-01-20,A组,2,36.467742
19,2,2015-07-18,2015-07-19,A组,2,7.816532
20,1,2015-01-19,2015-01-20,B组,2,36.467742
20,2,2015-07-18,2015-07-19,B组,2,7.816532
21,1,2015-01-21,2015-01-22,C组,2,16.33871
21,2,2015-07-20,2015-07-21,C组,2,6.415323
22,1,2015-01-21,2015-01-22,D组,2,16.33871
22,2,2015-07-20,2015-07-21,D组,2,6.415323
23,1,2015-01-23,2015-01-24,A组,2,17.016129
23,2,2015-07-22,2015-07-23,A组,2,7.143145
24,1,2015-01-23,2015-01-24,B组,2,17.016129
24,2,2015-07-22,2015-07-23,B组,2,7.143145
25,1,2015-01-25,2015-01-26,C组,2,22.939516
25,2,2015-07-24,2015-07-25,C组,2,5.506048
26,1,2015-01-25,2015-01-26,D组,2,22.939516
26,2,2015-07-24,2015-07-25,D组,2,5.506048
27,1,2015-01-27,2015-01-28,A组,2,10.643468
27,2,2015-07-26,2015-07-27,A组,2,9.326613
28,1,2015-01-27,2015-01-28,B组,2,10.643468
28,2,2015-07-26,2015-07-27,B组,2,9.326613
29,1,2015-01-29,2015-01-30,C组,2,7.780242
29,2,2015-07-28,2015-07-29,C组,2,15.969758
30,1,2015-01-29,2015-01-30,D组,2,7.780242
30,2,2015-07-28,2015-07-29,D组,2,15.969758
31,1,2015-01-31,2015-02-01,A组,2,22.048387
31,2,2015-07-30,2015-07-31,A组,2,8.082661
32,1,2015-01-31,2015-02-01,B组,2,22.048387
32,2,2015-07-30,2015-07-31,B组,2,8.082661
33,1,2015-02-02,2015-02-03,C组,2,4.560484
33,2,2015-08-01,2015-08-02,C组,2,8.084677
34,1,2015-02-02,2015-02-03,D组,2,4.560484
34,2,2015-08-01,2015-08-02,D组,2,8.084677
35,1,2015-02-04,2015-02-05,A组,2,3.822581
35,2,2015-08-03,2015-08-04,A组,2,12.568548
36,1,2015-02-04,2015-02-05,B组,2,3.822581
36,2,2015-08-03,2015-08-04,B组,2,12.568548
37,1,2015-02-06,2015-02-07,C组,2,15.018145
37,2,2015-08-05,2015-08-06,C组,2,7.133065
38,1,2015-02-06,2015-02-07,D组,2,15.018145
38,2,2015-08-05,2015-08-06,D组,2,7.133065
39,1,2015-02-08,2015-02-09,A组,2,15.018145
39,2,2015-08-07,2015-08-08,A组,2,7.022177
40,1,2015-02-08,2015-02-09,B组,2,15.018145
40,2,2015-08-07,2015-08-08,B组,2,7.022177
41,1,2015-02-10,2015-02-11,C组,2,34.824597
41,2,2015-08-09,2015-08-10,C组,2,18.072581
42,1,2015-02-10,2015-02-11,D组,2,34.824597
42,2,2015-08-09,2015-08-10,D组,2,18.072581
43,1,2015-02-12,2015-02-13,A组,2,38.209677
43,2,2015-08-11,2015-08-12,A组,2,9.127016
44,1,2015-02-12,2015-02-13,B组,2,38.209677
44,2,2015-08-11,2015-08-12,B组,2,9.127016
45,1,2015-02-14,2015-02-15,C组,2,34.318548
45,2,2015-08-13,2015-08-14,C组,2,12.556452
46,1,2015-02-14,2015-02-15,D组,2,34.318548
46,2,2015-08-13,2015-08-14,D组,2,12.556452
47,1,2015-02-16,2015-02-17,A组,2,10.885081
47,2,2015-08-15,2015-08-16,A组,2,21.274194
48,1,2015-02-16,2015-02-17,B组,2,10.885081
48,2,2015-08-15,2015-08-16,B组,2,21.274194
49,1,2015-02-18,2015-02-19,C组,2,30.159274
49,2,2015-08-17,2015-08-18,C组,2,6.064516
50,1,2015-02-18,2015-02-19,D组,2,30.159274
50,2,2015-08-17,2015-08-18,D组,2,6.064516
51,1,2015-02-20,2015-02-21,A组,2,24.377016
51,2,2015-08-19,2015-08-20,A组,2,6.862903
52,1,2015-02-20,2015-02-21,B组,2,24.377016
52,2,2015-08-19,2015-08-20,B组,2,6.862903
53,1,2015-02-22,2015-02-23,C组,2,14.612903
53,2,2015-08-21,2015-08-22,C组,2,2.836694
54,1,2015-02-22,2015-02-23,D组,2,14.612903
54,2,2015-08-21,2015-08-22,D组,2,2.836694
55,1,2015-02-24,2015-02-25,A组,2,16.52621
55,2,2015-08-23,2015-08-24,A组,2,3.219758
56,1,2015-02-24,2015-02-25,B组,2,16.52621
56,2,2015-08-23,2015-08-24,B组,2,3.219758
57,1,2015-02-26,2015-02-27,C组,2,22.985887
57,2,2015-08-25,2015-08-26,C组,2,6.808468
58,1,2015-02-26,2015-02-27,D组,2,22.985887
58,2,2015-08-25,2015-08-26,D组,2,6.808468
59,1,2015-02-28,2015-03-01,A组,2,28.010081
59,2,2015-08-27,2015-08-28,A组,2,3.165323
60,1,2015-02-28,2015-03-01,B组,2,28.010081
60,2,2015-08-27,2015-08-28,B组,2,3.165323
61,1,2015-03-02,2015-03-03,C组,2,36.308468
61,2,2015-08-29,2015-08-30,C组,2,6.8125
62,1,2015-03-02,2015-03-03,D组,2,36.308468
62,2,2015-08-29,2015-08-30,D组,2,6.8125
63,1,2015-03-04,2015-03-05,A组,2,5.528226
63,2,2015-08-31,2015-09-01,A组,2,6.881048
64,1,2015-03-04,2015-03-05,B组,2,5.528226
64,2,2015-08-31,2015-09-01,B组,2,6.881048
65,1,2015-03-06,2015-03-07,C组,2,6.83871
65,2,2015-09-02,2015-09-03,C组,2,21.323589
66,1,2015-03-06,2015-03-07,D组,2,6.83871
66,2,2015-09-02,2015-09-03,D组,2,21.323589
67,1,2015-03-08,2015-03-09,A组,2,6.429435
67,2,2015-09-04,2015-09-05,A组,2,22.431452
68,1,2015-03-08,2015-03-09,B组,2,6.429435
68,2,2015-09-04,2015-09-05,B组,2,22.431452
69,1,2015-03-10,2015-03-11,C组,2,13.981855
69,2,2015-09-06,2015-09-07,C组,2,5.393145
70,1,2015-03-10,2015-03-11,D组,2,13.981855
70,2,2015-09-06,2015-09-07,D组,2,5.393145
71,1,2015-03-12,2015-03-13,A组,2,18.558468
71,2,2015-09-08,2015-09-09,A组,2,15.296371
72,1,2015-03-12,2015-03-13,B组,2,18.558468
72,2,2015-09-08,2015-09-09,B组,2,15.296371
73,1,2015-03-14,2015-03-15,C组,2,15.659274
73,2,2015-09-10,2015-09-11,C组,2,15.907056
74,1,2015-03-14,2015-03-15,D组,2,15.659274
74,2,2015-09-10,2015-09-11,D组,2,15.907056
75,1,2015-03-16,2015-03-17,A组,2,11.921371
75,2,2015-09-12,2015-09-13,A组,2,4.13006
76,1,2015-03-16,2015-03-17,B组,2,11.921371
76,2,2015-09-12,2015-09-13,B组,2,4.13006
77,1,2015-03-18,2015-03-19,C组,2,5.770161
77,2,2015-09-14,2015-09-15,C组,2,15.52621
78,1,2015-03-18,2015-03-19,D组,2,5.770161
78,2,2015-09-14,2015-09-15,D组,2,15.52621
79,1,2015-03-20,2015-03-21,A组,2,14.566532
79,2,2015-09-16,2015-09-17,A组,2,7.495968
80,1,2015-03-20,2015-03-21,B组,2,14.566532
80,2,2015-09-16,2015-09-17,B组,2,7.495968
81,1,2015-03-22,2015-03-23,C组,2,8.143145
81,2,2015-09-18,2015-09-19,C组,2,10.155242
82,1,2015-03-22,2015-03-23,D组,2,8.143145
82,2,2015-09-18,2015-09-19,D组,2,10.155242
83,1,2015-03-24,2015-03-25,A组,2,22.405242
83,2,2015-09-20,2015-09-21,A组,2,19.409274
84,1,2015-03-24,2015-03-25,B组,2,22.405242
84,2,2015-09-20,2015-09-21,B组,2,19.409274
85,1,2015-03-26,2015-03-27,C组,2,26.90121
85,2,2015-09-22,2015-09-23,C组,2,11.800403
86,1,2015-03-26,2015-03-27,D组,2,26.90121
86,2,2015-09-22,2015-09-23,D组,2,11.800403
87,1,2015-03-28,2015-03-29,A组,2,37.118952
87,2,2015-09-24,2015-09-25,A组,2,12.354839
88,1,2015-03-28,2015-03-29,B组,2,37.118952
88,2,2015-09-24,2015-09-25,B组,2,12.354839
89,1,2015-03-30,2015-03-31,C组,2,10.467742
89,2,2015-09-26,2015-09-27,C组,2,12.41129
90,1,2015-03-30,2015-03-31,D组,2,10.467742
90,2,2015-09-26,2015-09-27,D组,2,12.41129
91,1,2015-04-01,2015-04-02,A组,2,41.163306
