direction_id,theta_deg
1,161.0
2,162.0
3,163.0
4,164.0
5,165.0
6,166.0
7,167.0
8,168.0
9,169.0
10,170.0
11,171.0
12,172.0
13,173.0
14,174.0
15,175.0
16,176.0
17,177.0
18,178.0
19,179.0
20,0.0
21,1.0
22,2.0
23,3.0
24,4.0
25,5.0
26,6.0
27,7.0
28,8.0
29,9.0
30,10.0
31,11.0
32,12.0
33,13.0
34,14.0
35,15.0
36,16.0
37,17.0
38,18.0
39,19.0
40,20.0
41,21.0
42,22.0
43,23.0
44,24.0
45,25.0
46,26.0
47,27.0
48,28.0
49,29.0
50,30.0
51,31.0
52,32.0
53,33.0
54,34.0
55,35.0
56,36.0
57,37.0
58,38.0
59,39.0
60,40.0
61,41.0
62,42.0
63,43.0
64,44.0
65,45.0
66,46.0
67,47.0
68,48.0
69,49.0
70,50.0
71,51.0
72,52.0
73,53.0
74,54.0
75,55.0
76,56.0
77,57.0
78,58.0
79,59.0
80,60.0
81,61.0
82,62.0
83,63.0
84,64.0
85,65.0
86,66.0
87,67.0
88,68.0
89,69.0
90,70.0
91,71.0
92,72.0
93,73.0
94,74.0
95,75.0
96,76.0
97,77.0
98,78.0
99,79.0
100,80.0
101,81.0
102,82.0
103,83.0
104,84.0
105,85.0
106,86.0
107,87.0
108,88.0
109,89.0
110,90.0
111,91.0
112,92.0
113,93.0
114,94.0
115,95.0
116,96.0
117,97.0
118,98.0
119,99.0
120,100.0
121,101.0
122,102.0
123,103.0
124,104.0
125,105.0
126,106.0
127,107.0
128,108.0
129,109.0
130,110.0
131,111.0
132,112.0
133,113.0
134,114.0
135,115.0
136,116.0
137,117.0
138,118.0
139,119.0
140,120.0
141,121.0
142,122.0
143,123.0
144,124.0
145,125.0
146,126.0
147,127.0
148,128.0
149,129.0
150,130.0
151,131.0
152,132.0
153,133.0
154,134.0
155,135.0
156,136.0
157,137.0
158,138.0
159,139.0
160,140.0
161,141.0
162,142.0
163,143.0
164,144.0
165,145.0
166,146.0
167,147.0
168,148.0
169,149.0
170,150.0
171,151.0
172,152.0
173,153.0
174,154.0
175,155.0
176,156.0
177,157.0
178,158.0
179,159.0
180,160.0
