task_id,lat,lon,price,completed,nearest_member_km,members_within_3km,members_within_5km,quota_within_3km,credit_within_3km,credit_within_5km,task_density_1km,supply_score,predicted_completion_prob
A0001,22.566142254795,113.980836777953,66.0,0,1.5048366303419212,18,32,252.0,39617.64889999999,51678.917799999996,2,5.799049646107848,0.43193584898046955
A0002,22.6862052598878,113.940525211308,65.5,0,0.30668338142217183,24,36,80.0,808.8261,5168.3249000000005,2,4.30328649317468,0.3159834715633787
A0003,22.5765118283363,113.95719800411,65.5,1,0.4977280415854705,16,43,240.0,38704.4542,57797.64919999999,1,6.08468120293574,0.4022868800312324
A0004,22.5648408102711,114.24457109293,75.0,0,1.0847346794230268,1,2,1.0,0.3636,0.7314,1,0.31349731476188586,0.6884237177815243
A0005,22.5588877510826,113.950722665736,65.5,0,0.29906310379745443,19,60,351.0,49667.11119999999,59517.227199999994,1,6.752301313268988,0.3963240384173003
A0006,22.5589990603263,114.241317401629,75.0,0,0.40225895324157407,1,1,1.0,0.3636,0.3636,1,0.5523638189253943,0.6686143756767781
A0007,22.5490037129604,113.97225969676,65.5,1,0.2528250375156119,16,39,172.0,11661.2449,51499.441,2,5.298027729367315,0.4496252507257709
A0008,22.5627735077314,113.956573538052,65.5,0,0.6006711998879952,19,56,345.0,49647.187999999995,58300.8688,1,6.629147615096927,0.4018507971546037
A0009,22.5000119233833,113.895660567915,66.0,0,0.14434700755288524,2,20,6.0,20.285300000000003,1287.6848,1,1.8957944024118034,0.5540601251583587
A0010,22.5437860995949,113.923977803989,66.0,1,0.2736459761154775,29,57,187.0,2915.0680999999995,22176.301699999996,2,5.198967233189532,0.3194446531545199
A0011,22.5248636906434,113.930859554515,65.5,0,0.15442683697818757,31,47,162.0,1870.4935,14374.533,3,5.077110677864397,0.2868363302977354
A0012,22.519087000679,113.935843611296,65.5,0,0.4545062035054633,28,43,145.0,1751.3177,14028.567299999997,6,4.859555804481424,0.35963775242061863
A0013,22.5479724310799,113.977909038602,65.5,1,0.03888250223538628,14,31,171.0,12451.830999999998,51007.41739999999,2,5.382922221031068,0.46751070181954496
A0014,22.5061687130557,113.931428439716,66.0,1,0.6906774334128706,20,35,88.0,871.4309000000001,1893.1417999999999,1,4.264327886037635,0.3765262015267549
A0015,22.4996256609397,113.936514493699,66.0,1,0.306950503365201,15,30,71.0,787.7128,1771.603,3,4.184987698838235,0.4489386250824934
A0016,22.540321415216,113.923645598933,66.0,1,0.1175167514194972,30,56,200.0,3042.0537999999997,22123.143299999996,2,5.323015121062252,0.31041561358348113
A0017,22.5245541889304,113.92473190182,65.5,1,0.6479415197408768,30,46,157.0,1850.5704,14374.165199999996,3,4.87282690911766,0.3095343822135047
A0018,22.4981900986281,113.898481737691,66.0,0,0.33842922681962817,2,21,6.0,20.285300000000003,1439.4092,1,1.8278656256684434,0.5604333249235035
A0019,22.5460394638191,113.974968421143,65.5,1,0.12807432842292715,14,35,160.0,11555.5293,51357.98679999999,2,5.267688936036438,0.46553887423178697
A0020,22.497728920198,113.937337700868,66.0,1,0.4388453620810303,12,29,47.0,459.0589,1769.6106999999997,2,3.7267863121795304,0.46527970192834284
A0021,22.4941624669753,113.927139030908,66.0,1,1.27159711792543,10,28,29.0,252.74280000000002,1689.9182,1,2.9611932463882553,0.49460152307217975
A0022,22.5159201164617,113.93567688759,65.0,1,0.24531100452711813,27,41,144.0,1749.3254000000002,13988.721099999997,2,4.9258613988360835,0.3098597667813167
A0023,22.5157856773782,113.94205574693,65.5,0,0.5634497453128449,23,42,105.0,992.962,12931.747799999997,4,4.486090923252571,0.3782728457136089
A0024,22.5422096257037,114.019649276618,66.5,0,0.4496308958470915,8,32,34.0,1062.0413999999998,2488.2531,1,3.4192180759429314,0.5024900991396362
A0025,22.5445896135667,113.99866008452,67.5,0,1.0331073708933074,12,23,51.0,1181.9481,50629.5097,0,3.61329510076877,0.4742533053628568
