bundle_id,task_count,task_ids,center_lat,center_lon,single_price_sum,bundle_price,expected_completion_prob,pricing_rule
S10000,1,A0003,22.576512,113.957198,95.0,95.0,0.721756,单点任务保留单独报价
S10001,1,A0004,22.564841,114.244571,78.5,78.5,0.721683,单点任务保留单独报价
S10002,1,A0005,22.558888,113.950723,95.0,95.0,0.716736,单点任务保留单独报价
S10003,1,A0006,22.558999,114.241317,80.5,80.5,0.72181,单点任务保留单独报价
S10004,1,A0008,22.562774,113.956574,95.0,95.0,0.721392,单点任务保留单独报价
S10005,1,A0009,22.500012,113.895661,82.0,82.0,0.720879,单点任务保留单独报价
S10006,1,A0014,22.506169,113.931428,95.0,95.0,0.69465,单点任务保留单独报价
S10007,1,A0018,22.49819,113.898482,81.5,81.5,0.721475,单点任务保留单独报价
S10008,1,A0021,22.494162,113.927139,87.5,87.5,0.723457,单点任务保留单独报价
S10009,1,A0024,22.54221,114.019649,87.0,87.0,0.720611,单点任务保留单独报价
S10010,1,A0025,22.54459,113.99866,90.5,90.5,0.720872,单点任务保留单独报价
S10011,1,A0028,22.548086,113.945312,95.0,95.0,0.641124,单点任务保留单独报价
S10012,1,A0030,22.581934,114.156395,91.5,91.5,0.723159,单点任务保留单独报价
S10013,1,A0031,22.542936,114.131407,95.0,95.0,0.60505,单点任务保留单独报价
S10014,1,A0032,22.52395,113.943442,95.0,95.0,0.658412,单点任务保留单独报价
S10015,1,A0033,22.551013,113.956745,95.0,95.0,0.722352,单点任务保留单独报价
S10016,1,A0034,22.582993,114.147123,95.0,95.0,0.674153,单点任务保留单独报价
S10017,1,A0035,22.54927,114.131745,95.0,95.0,0.519903,单点任务保留单独报价
S10018,1,A0037,22.756379,114.042136,88.5,88.5,0.724148,单点任务保留单独报价
S10019,1,A0038,22.641441,114.422742,79.5,79.5,0.72067,单点任务保留单独报价
S10020,1,A0039,22.71166,114.072884,93.0,93.0,0.72378,单点任务保留单独报价
S10021,1,A0040,22.606493,114.124154,95.0,95.0,0.419382,单点任务保留单独报价
S10022,1,A0042,22.635398,114.226377,87.5,87.5,0.722787,单点任务保留单独报价
S10023,1,A0043,22.738028,114.264097,85.5,85.5,0.721342,单点任务保留单独报价
S10024,1,A0044,22.625583,114.154966,95.0,95.0,0.670164,单点任务保留单独报价
S10025,1,A0045,22.652655,114.027229,95.0,95.0,0.32216,单点任务保留单独报价
S10026,1,A0046,22.788922,113.896633,95.0,95.0,0.690517,单点任务保留单独报价
S10027,1,A0047,22.701036,114.244292,88.5,88.5,0.723386,单点任务保留单独报价
S10028,1,A0048,22.631541,114.121493,95.0,95.0,0.599603,单点任务保留单独报价
S10029,1,A0049,22.641715,114.195533,93.5,93.5,0.723646,单点任务保留单独报价
S10030,1,A0050,22.689403,114.345419,86.5,86.5,0.724305,单点任务保留单独报价
S10031,1,A0051,22.6301,114.063833,95.0,95.0,0.568239,单点任务保留单独报价
S10032,1,A0053,22.750664,114.378843,83.0,83.0,0.721255,单点任务保留单独报价
S10033,1,A0054,22.722726,114.073802,93.5,93.5,0.721739,单点任务保留单独报价
S10034,1,A0055,22.64138,114.229982,87.5,87.5,0.720486,单点任务保留单独报价
S10035,1,A0056,22.776408,114.309588,79.5,79.5,0.721497,单点任务保留单独报价
S10036,1,A0058,22.693396,114.147487,84.0,84.0,0.723453,单点任务保留单独报价
S10037,1,A0059,22.60405,114.058614,95.0,95.0,0.721674,单点任务保留单独报价
S10038,1,A0062,22.617818,114.157261,95.0,95.0,0.632586,单点任务保留单独报价
S10039,1,A0063,22.641441,114.422742,79.5,79.5,0.72067,单点任务保留单独报价
S10040,1,A0064,22.781399,114.300807,82.5,82.5,0.723777,单点任务保留单独报价
S10041,1,A0065,22.722941,114.277716,89.0,89.0,0.724467,单点任务保留单独报价
S10042,1,A0066,22.674707,114.220933,88.0,88.0,0.720657,单点任务保留单独报价
S10043,1,A0069,22.656913,114.210093,94.0,94.0,0.722226,单点任务保留单独报价
S10044,1,A0070,22.73859,113.818449,95.0,95.0,0.604219,单点任务保留单独报价
S10045,1,A0071,22.716363,114.322257,85.0,85.0,0.72046,单点任务保留单独报价
S10046,1,A0072,22.523314,114.046639,95.0,95.0,0.69425,单点任务保留单独报价
S10047,1,A0073,22.653014,114.212455,95.0,95.0,0.724251,单点任务保留单独报价
S10048,1,A0074,22.533175,114.083134,95.0,95.0,0.514805,单点任务保留单独报价
S10049,1,A0075,22.599559,114.130363,95.0,95.0,0.466618,单点任务保留单独报价
S10050,1,A0076,22.650278,113.936624,90.0,90.0,0.721118,单点任务保留单独报价
S10051,1,A0078,22.73859,113.818449,95.0,95.0,0.604219,单点任务保留单独报价
S10052,1,A0079,22.743001,113.99504,81.5,81.5,0.72383,单点任务保留单独报价
S10053,1,A0080,22.634954,114.04482,95.0,95.0,0.455021,单点任务保留单独报价
