task_id,lat,lon,price,nearest_member_km,members_within_3km,members_within_5km,quota_within_3km,credit_within_3km,credit_within_5km,task_density_1km,supply_score,original_or_base_price,recommended_price,recommended_completion_prob
C0001,22.7300411741699,114.240879482184,60.5,1.6520412935928859,12,30,42.0,334.52790000000005,3852.4919,23,3.189676220936052,67.0,60.5,0.721352
C0002,22.7270428713199,114.299619934581,55.0,0.22313648608672945,13,23,192.0,2220.1184999999996,2999.9397,25,5.22899478877453,67.0,55.0,0.726729
C0003,22.7013106516913,114.233600675232,55.0,0.36880186684614785,14,26,102.0,1070.0859,2021.4092,30,4.527050052833484,67.0,55.0,0.726802
C0004,22.7323592499976,114.28666717581,55.0,0.12287172056787787,18,26,242.0,2919.5011999999997,3002.6641,33,5.508446365141792,67.0,55.0,0.780664
C0005,22.7183914415957,114.257549541443,55.0,0.870075227536165,16,35,194.0,2692.8172999999997,4012.2562999999996,26,5.022329574926089,67.0,55.0,0.720954
C0006,22.7539249283792,114.381925285972,83.0,0.5340123599789404,4,5,14.0,43.8462,86.68090000000001,1,2.522022799109581,67.0,83.0,0.722616
C0007,22.7240422058631,114.272183567009,55.0,0.544832130148042,18,28,230.0,2880.7633,3531.7002999999995,42,5.309341730969979,67.0,55.0,0.858503
C0008,22.7193780338419,114.273247789547,56.5,0.24376592907608294,20,29,239.0,2901.0486,3551.6233999999995,28,5.453341820165362,67.0,56.5,0.72061
C0009,22.730282537613,114.230495522939,63.5,1.7704034528025216,7,27,25.0,54.38220000000001,3752.8763,16,2.6395429735405997,67.0,63.5,0.720073
C0010,22.7187967956169,114.267027043655,55.0,0.35491955070004694,16,32,208.0,2761.2073,3910.6405999999997,35,5.273336555219794,67.0,55.0,0.807181
C0011,22.6574622868825,114.347695727712,55.0,3.6739519898993707,0,7,0.0,0.0,67.7462,21,-1.2858831964647797,67.0,55.0,0.803969
C0012,22.7161161366787,114.247471582184,67.0,0.684553956490253,16,32,146.0,1577.0535,3892.3381,19,4.782379772007148,67.0,67.0,0.721361
C0013,22.7298637362657,114.293901180672,55.0,0.3978620420866957,13,23,192.0,2220.1184999999996,2999.9397,35,5.167840844174543,67.0,55.0,0.827733
C0014,22.7461740037918,114.285868999924,65.5,1.1993214119929072,14,22,173.0,2331.5872,2982.0166999999997,16,4.785924549017012,67.0,65.5,0.723723
C0015,22.7333085951775,114.294307118195,55.0,0.16055175922157353,13,22,186.0,2380.3963999999996,2980.0166,33,5.222523429127036,67.0,55.0,0.802947
C0016,22.7455164783545,114.274463296613,73.0,0.9098614987260395,15,25,184.0,2423.0809,3002.6641999999997,11,4.950365918524211,67.0,73.0,0.722511
C0017,22.7228203604355,114.265481328466,55.0,0.11595969381953287,16,33,208.0,2761.2073,3912.6405999999993,42,5.356972505127974,67.0,55.0,0.857881
C0018,22.724926751952,114.273130560678,55.0,0.5788807918501341,17,28,223.0,2860.8402,3013.9665999999997,38,5.266254578707493,67.0,55.0,0.834405
C0019,22.7455164783545,114.274463296613,73.0,0.9098614987260395,15,25,184.0,2423.0809,3002.6641999999997,11,4.950365918524211,67.0,73.0,0.722511
C0020,22.7533578503045,114.285654970992,67.0,1.994770714823103,10,22,151.0,2231.9716,2982.0166999999997,10,4.370350202658191,67.0,67.0,0.723568
C0021,22.7255489485721,114.272456359037,55.0,0.5561109264757373,17,28,223.0,2860.8402,3013.9665999999997,43,5.274224031588532,67.0,55.0,0.869698
C0022,22.7304818460556,114.229710831816,64.0,1.72673986450814,5,27,23.0,53.65780000000001,3752.8763,14,2.5747680337700967,67.0,64.0,0.72239
C0023,22.7503111916488,114.273462933716,73.5,1.1909431393411316,12,22,140.0,2174.9483,2982.0166999999997,9,4.575428757608772,67.0,73.5,0.721181
C0024,22.7383232510838,114.290652058014,55.0,0.5115412513024187,15,24,188.0,2420.3347,3021.8628999999996,32,5.111114271103796,67.0,55.0,0.783438
C0025,22.7220470160823,114.262924318002,55.0,0.23247020781802938,16,34,208.0,2761.2073,3952.4868999999994,32,5.3161938252285,67.0,55.0,0.776434
C0026,22.7283748334649,114.292856825958,55.0,0.5348507526913594,15,24,206.0,2319.7342,3000.3019,29,5.191915713823393,67.0,55.0,0.76351
C0027,22.7375681053751,114.28238888443,55.0,0.3385043461798918,17,26,229.0,2880.4011,3002.6641,44,5.377210809760234,67.0,55.0,0.874713
C0028,22.7318862444033,114.30283983163,63.0,0.376967025815984,11,21,169.0,2111.4478999999997,2960.0935,17,5.046088936014668,67.0,63.0,0.722849
C0029,22.7477813713121,114.274721890922,74.0,1.0732133940049216,12,24,140.0,2174.9483,3002.3019999999997,9,4.616634168476446,67.0,74.0,0.722626
C0030,22.7365884258321,114.296177362868,60.5,0.3714382087330411,12,23,185.0,2200.1953999999996,3019.8628999999996,19,5.139747208656637,67.0,60.5,0.72019
