shift,worker_id,sequence,event_type,point,point_no,cycle_minutes,depart_center,arrive_point,service_start,service_end,return_center,depart_minute,service_start_minute,return_minute,path_to,path_back,travel_minutes,service_minutes,note
B1:00:00-08:00,B1-W01,1,inspection,XJ-0012,12,35.0,00:00,00:18,00:18,00:20,00:38,0.0,18.0,38.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0012,XJ-0012->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,2,inspection,XJ-0026,26,35.0,00:38,00:48,00:48,00:50,01:00,38.0,48.0,60.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026,XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,20.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,3,inspection,XJ-0016,16,35.0,01:01,01:20,01:20,01:23,01:42,61.0,80.0,102.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011->XJ-0013->XJ-0016,XJ-0016->XJ-0013->XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,38.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,4,inspection,XJ-0026,26,35.0,01:42,01:52,01:52,01:54,02:04,102.0,112.0,124.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026,XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,20.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,5,inspection,XJ-0016,16,35.0,02:05,02:24,02:24,02:27,02:46,125.0,144.0,166.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011->XJ-0013->XJ-0016,XJ-0016->XJ-0013->XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,38.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,6,inspection,XJ-0026,26,35.0,02:46,02:56,02:56,02:58,03:08,166.0,176.0,188.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026,XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,20.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,7,inspection,XJ-0016,16,35.0,03:09,03:28,03:28,03:31,03:50,189.0,208.0,230.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011->XJ-0013->XJ-0016,XJ-0016->XJ-0013->XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,38.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,8,inspection,XJ-0007,7,80.0,03:50,04:00,04:00,04:02,04:12,230.0,240.0,252.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0005->XJ-0007,XJ-0007->XJ-0005->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,20.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,9,inspection,XJ-0016,16,35.0,04:13,04:32,04:32,04:35,04:54,253.0,272.0,294.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011->XJ-0013->XJ-0016,XJ-0016->XJ-0013->XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,38.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,10,inspection,XJ-0026,26,35.0,04:54,05:04,05:04,05:06,05:16,294.0,304.0,316.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026,XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,20.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,11,inspection,XJ-0016,16,35.0,05:17,05:36,05:36,05:39,05:58,317.0,336.0,358.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011->XJ-0013->XJ-0016,XJ-0016->XJ-0013->XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,38.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,12,inspection,XJ-0026,26,35.0,05:58,06:08,06:08,06:10,06:20,358.0,368.0,380.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026,XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,20.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,13,inspection,XJ-0016,16,35.0,06:21,06:40,06:40,06:43,07:02,381.0,400.0,422.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011->XJ-0013->XJ-0016,XJ-0016->XJ-0013->XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,38.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,14,inspection,XJ-0026,26,35.0,07:02,07:12,07:12,07:14,07:24,422.0,432.0,444.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026,XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,20.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W01,15,inspection,XJ-0016,16,35.0,07:25,07:44,07:44,07:47,08:06,445.0,464.0,486.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011->XJ-0013->XJ-0016,XJ-0016->XJ-0013->XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,38.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,1,inspection,XJ-0015,15,35.0,00:00,00:16,00:16,00:18,00:34,0.0,16.0,34.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015,XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,32.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,2,inspection,XJ-0010,10,120.0,00:35,00:48,00:48,00:50,01:03,35.0,48.0,63.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010,XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,26.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,3,inspection,XJ-0015,15,35.0,01:04,01:20,01:20,01:22,01:38,64.0,80.0,98.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015,XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,32.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,4,inspection,XJ-0021,21,80.0,01:41,01:43,01:43,01:46,01:48,100.857143,102.857143,107.857143,XJ-0022->XJ-0021,XJ-0021->XJ-0022,4.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,5,inspection,XJ-0009,9,35.0,01:48,01:52,01:52,01:56,02:00,108.0,112.0,120.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009,XJ-0009->XJ-0024->XJ-0023->XJ-0022,8.0,4.0,中心往返巡检任务
