shift,worker_id,inspection_count,service_minutes,travel_minutes,work_span_minutes
B1:00:00-08:00,B1-W01,15,37.0,442.0,486.0
B1:00:00-08:00,B1-W02,16,39.0,410.0,484.0
B1:00:00-08:00,B1-W03,16,41.0,398.0,484.0
B1:00:00-08:00,B1-W04,16,39.0,406.0,476.0
B1:00:00-08:00,B1-W05,15,41.0,382.0,465.181818
B1:00:00-08:00,B1-W06,15,37.0,410.0,470.0
B1:00:00-08:00,B1-W07,16,39.0,398.0,475.0
B1:00:00-08:00,B1-W08,15,40.0,386.0,469.0
B1:00:00-08:00,B1-W09,16,42.0,346.0,467.0
B1:00:00-08:00,B1-W10,16,46.0,310.0,467.0
B1:00:00-08:00,B1-W11,15,44.0,326.0,473.0
B1:00:00-08:00,B1-W12,18,55.0,250.0,462.0
B1:00:00-08:00,B1-W13,15,42.0,200.0,460.0
B1:00:00-08:00,B1-W14,16,45.0,172.0,457.0
B1:00:00-08:00,B1-W15,15,41.0,118.0,455.0
B1:00:00-08:00,B1-W16,14,32.0,118.0,453.714286
B1:00:00-08:00,B1-W17,15,39.0,74.0,454.0
B1:00:00-08:00,B1-W18,15,36.0,60.0,452.181818
B1:00:00-08:00,B1-W19,11,26.0,36.0,452.0
B1:00:00-08:00,B1-W20,12,33.0,66.0,448.714286
B1:00:00-08:00,B1-W21,7,16.0,42.0,409.714286
B1:00:00-08:00,B1-W22,3,6.0,40.0,277.142857
B1:00:00-08:00,B1-W23,3,7.0,2.0,258.0
B1:00:00-08:00,B1-W24,1,2.0,0.0,2.0
B2:08:00-16:00,B2-W01,15,37.0,442.0,486.0
B2:08:00-16:00,B2-W02,16,39.0,410.0,484.0
B2:08:00-16:00,B2-W03,16,41.0,398.0,484.0
B2:08:00-16:00,B2-W04,16,39.0,406.0,476.0
B2:08:00-16:00,B2-W05,15,41.0,382.0,465.181818
B2:08:00-16:00,B2-W06,15,37.0,410.0,470.0
B2:08:00-16:00,B2-W07,16,39.0,398.0,475.0
B2:08:00-16:00,B2-W08,15,40.0,386.0,469.0
B2:08:00-16:00,B2-W09,16,42.0,346.0,467.0
B2:08:00-16:00,B2-W10,16,46.0,310.0,467.0
B2:08:00-16:00,B2-W11,15,44.0,326.0,473.0
B2:08:00-16:00,B2-W12,18,55.0,250.0,462.0
B2:08:00-16:00,B2-W13,15,42.0,200.0,460.0
B2:08:00-16:00,B2-W14,16,45.0,172.0,457.0
B2:08:00-16:00,B2-W15,15,41.0,118.0,455.0
B2:08:00-16:00,B2-W16,14,32.0,118.0,453.714286
B2:08:00-16:00,B2-W17,15,39.0,74.0,454.0
B2:08:00-16:00,B2-W18,15,36.0,60.0,452.181818
B2:08:00-16:00,B2-W19,11,26.0,36.0,452.0
B2:08:00-16:00,B2-W20,12,33.0,66.0,448.714286
B2:08:00-16:00,B2-W21,7,16.0,42.0,409.714286
B2:08:00-16:00,B2-W22,3,6.0,40.0,277.142857
B2:08:00-16:00,B2-W23,3,7.0,2.0,258.0
B2:08:00-16:00,B2-W24,1,2.0,0.0,2.0
B3:16:00-00:00,B3-W01,15,37.0,442.0,486.0
B3:16:00-00:00,B3-W02,16,39.0,410.0,484.0
B3:16:00-00:00,B3-W03,16,41.0,398.0,484.0
B3:16:00-00:00,B3-W04,16,39.0,406.0,476.0
B3:16:00-00:00,B3-W05,15,41.0,382.0,465.181818
B3:16:00-00:00,B3-W06,15,37.0,410.0,470.0
B3:16:00-00:00,B3-W07,16,39.0,398.0,475.0
B3:16:00-00:00,B3-W08,15,40.0,386.0,469.0
B3:16:00-00:00,B3-W09,16,42.0,346.0,467.0
B3:16:00-00:00,B3-W10,16,46.0,310.0,467.0
B3:16:00-00:00,B3-W11,15,44.0,326.0,473.0
B3:16:00-00:00,B3-W12,18,55.0,250.0,462.0
B3:16:00-00:00,B3-W13,15,42.0,200.0,460.0
B3:16:00-00:00,B3-W14,16,45.0,172.0,457.0
B3:16:00-00:00,B3-W15,15,41.0,118.0,455.0
B3:16:00-00:00,B3-W16,14,32.0,118.0,453.714286
B3:16:00-00:00,B3-W17,15,39.0,74.0,454.0
B3:16:00-00:00,B3-W18,15,36.0,60.0,452.181818
B3:16:00-00:00,B3-W19,11,26.0,36.0,452.0
B3:16:00-00:00,B3-W20,12,33.0,66.0,448.714286
B3:16:00-00:00,B3-W21,7,16.0,42.0,409.714286
B3:16:00-00:00,B3-W22,3,6.0,40.0,277.142857
B3:16:00-00:00,B3-W23,3,7.0,2.0,258.0
B3:16:00-00:00,B3-W24,1,2.0,0.0,2.0
