point,point_no,visit_count,cycle_minutes,max_gap_minutes,cycle_violation_minutes
XJ-0001,1,45,35.0,32.0,0.0
XJ-0002,2,33,50.0,43.636364,0.0
XJ-0003,3,45,35.0,32.0,0.0
XJ-0004,4,45,35.0,32.0,0.0
XJ-0005,5,6,720.0,240.0,0.0
XJ-0006,6,45,35.0,32.0,0.0
XJ-0007,7,21,80.0,68.571429,0.0
XJ-0008,8,45,35.0,32.0,0.0
XJ-0009,9,45,35.0,32.0,0.0
XJ-0010,10,15,120.0,96.0,0.0
XJ-0011,11,45,35.0,32.0,0.0
XJ-0012,12,45,35.0,34.0,0.0
XJ-0013,13,21,80.0,68.571429,0.0
XJ-0014,14,45,35.0,32.0,0.0
XJ-0015,15,45,35.0,32.0,0.0
XJ-0016,16,45,35.0,35.0,0.0
XJ-0017,17,6,480.0,240.0,0.0
XJ-0018,18,45,35.0,34.0,0.0
XJ-0019,19,45,35.0,32.0,0.0
XJ-0020,20,45,35.0,32.0,0.0
XJ-0021,21,21,80.0,68.571429,0.0
XJ-0022,22,45,35.0,32.0,0.0
XJ-0023,23,45,35.0,32.0,0.0
XJ-0024,24,45,35.0,32.0,0.0
XJ-0025,25,15,120.0,96.0,0.0
XJ-0026,26,45,35.0,32.0,0.0
