shift,worker_id,inspection_count,service_minutes,travel_minutes,work_span_minutes
错峰00:00-08:00,ST060-W01,15,36.0,424.0,476.0
错峰00:00-08:00,ST060-W02,17,42.0,396.0,472.0
错峰00:00-08:00,ST060-W03,16,42.0,380.0,476.0
错峰00:00-08:00,ST060-W04,15,39.0,406.0,476.0
错峰00:00-08:00,ST060-W05,15,41.0,364.0,474.0
错峰00:00-08:00,ST060-W06,15,37.0,416.0,469.0
错峰00:00-08:00,ST060-W07,15,37.0,386.0,467.0
错峰00:00-08:00,ST060-W08,15,37.0,376.0,463.0
错峰00:00-08:00,ST060-W09,16,43.0,340.0,461.0
错峰00:00-08:00,ST060-W10,17,47.0,320.0,461.0
错峰00:00-08:00,ST060-W11,16,48.0,314.0,459.0
错峰00:00-08:00,ST060-W12,16,48.0,218.0,456.0
错峰00:00-08:00,ST060-W13,15,43.0,172.0,454.0
错峰00:00-08:00,ST060-W14,15,38.0,182.0,429.0
错峰00:00-08:00,ST060-W15,14,41.0,112.0,427.0
错峰00:00-08:00,ST060-W16,15,36.0,102.0,426.0
错峰00:00-08:00,ST060-W17,14,33.0,68.0,423.0
错峰00:00-08:00,ST060-W18,14,38.0,72.0,451.714286
错峰00:00-08:00,ST060-W19,11,25.0,46.0,420.5
错峰00:00-08:00,ST060-W20,10,30.0,74.0,419.714286
错峰00:00-08:00,ST060-W21,8,16.0,24.0,388.0
错峰01:00-09:00,ST060-W22,7,18.0,78.0,421.0
错峰04:00-12:00,ST060-W23,11,26.0,218.0,460.0
错峰04:00-12:00,ST060-W24,9,22.0,232.0,458.5
错峰07:00-15:00,ST060-W25,14,35.0,384.0,444.0
错峰07:00-15:00,ST060-W26,14,36.0,358.0,443.0
错峰07:00-15:00,ST060-W27,15,38.0,380.0,433.5
错峰07:00-15:00,ST060-W28,13,30.0,364.0,423.0
错峰07:00-15:00,ST060-W29,13,32.0,356.0,420.0
错峰07:00-15:00,ST060-W30,14,38.0,346.0,420.0
错峰08:00-16:00,ST060-W31,16,43.0,368.0,476.0
错峰08:00-16:00,ST060-W32,16,40.0,364.0,467.0
错峰08:00-16:00,ST060-W33,17,50.0,310.0,464.0
错峰08:00-16:00,ST060-W34,15,45.0,304.0,463.0
错峰08:00-16:00,ST060-W35,15,40.0,250.0,462.0
错峰08:00-16:00,ST060-W36,15,42.0,230.0,460.0
错峰08:00-16:00,ST060-W37,15,45.0,194.0,458.0
错峰08:00-16:00,ST060-W38,15,42.0,126.0,455.0
错峰08:00-16:00,ST060-W39,15,35.0,104.0,453.0
错峰08:00-16:00,ST060-W40,16,40.0,128.0,451.714286
错峰08:00-16:00,ST060-W41,13,35.0,68.0,422.0
错峰08:00-16:00,ST060-W42,12,27.0,60.0,420.0
错峰09:00-17:00,ST060-W43,12,31.0,110.0,427.0
错峰10:00-18:00,ST060-W44,11,28.0,166.0,418.857143
错峰11:00-19:00,ST060-W45,12,30.0,186.0,418.428571
错峰11:00-19:00,ST060-W46,8,22.0,196.0,422.0
错峰11:00-19:00,ST060-W47,9,23.0,166.0,421.0
错峰12:00-20:00,ST060-W48,11,29.0,212.0,470.0
错峰15:00-23:00,ST060-W49,18,43.0,364.0,462.0
错峰15:00-23:00,ST060-W50,14,34.0,364.0,469.0
错峰15:00-23:00,ST060-W51,15,35.0,362.0,468.0
错峰16:00-00:00,ST060-W52,15,37.0,398.0,475.0
错峰16:00-00:00,ST060-W53,17,42.0,386.0,474.5
错峰16:00-00:00,ST060-W54,15,39.0,370.0,467.0
错峰16:00-00:00,ST060-W55,16,45.0,328.0,453.5
错峰16:00-00:00,ST060-W56,15,42.0,296.0,463.0
错峰16:00-00:00,ST060-W57,15,44.0,296.0,462.0
错峰16:00-00:00,ST060-W58,15,41.0,282.0,460.0
错峰16:00-00:00,ST060-W59,15,43.0,218.0,458.0
错峰16:00-00:00,ST060-W60,16,45.0,186.0,455.0
错峰16:00-00:00,ST060-W61,15,41.0,166.0,451.714286
错峰16:00-00:00,ST060-W62,13,36.0,108.0,423.0
错峰16:00-00:00,ST060-W63,14,34.0,118.0,422.0
错峰16:00-00:00,ST060-W64,13,32.0,76.0,421.0
错峰16:00-00:00,ST060-W65,12,30.0,38.0,418.0
错峰19:00-03:00,ST060-W66,8,20.0,80.0,250.0
错峰19:00-03:00,ST060-W67,6,16.0,50.0,230.714286
错峰19:00-03:00,ST060-W68,7,18.0,54.0,246.0
错峰19:00-03:00,ST060-W69,5,12.0,64.0,246.0
错峰19:00-03:00,ST060-W70,4,8.0,40.0,244.0
错峰19:00-03:00,ST060-W71,3,9.0,34.0,243.0
错峰20:00-04:00,ST060-W72,3,6.0,20.0,217.714286
