layer_ii_thickness_mm,layer_iv_thickness_mm,max_skin_temperature_c,minutes_above_44_c,final_temperature_c,feasible
0.6,5.5,45.119603,58.583333,45.119603,False
0.7,5.5,45.114147,58.433333,45.114147,False
0.8,5.5,45.108698,58.283333,45.108698,False
0.9,5.5,45.103256,58.133333,45.103256,False
1.0,5.5,45.097822,58.0,45.097822,False
1.1,5.5,45.092394,57.85,45.092394,False
1.2,5.5,45.086974,57.683333,45.086974,False
1.3,5.5,45.081562,57.533333,45.081562,False
1.4,5.5,45.076156,57.383333,45.076156,False
1.5,5.5,45.070758,57.233333,45.070758,False
1.6,5.5,45.065367,57.083333,45.065367,False
1.7,5.5,45.059984,56.933333,45.059984,False
1.8,5.5,45.054607,56.766667,45.054607,False
1.9,5.5,45.049238,56.616667,45.049238,False
2.0,5.5,45.043875,56.466667,45.043875,False
2.1,5.5,45.03852,56.3,45.03852,False
2.2,5.5,45.033172,56.15,45.033172,False
2.3,5.5,45.027831,55.983333,45.027831,False
2.4,5.5,45.022498,55.833333,45.022498,False
2.5,5.5,45.017171,55.666667,45.017171,False
2.6,5.5,45.011851,55.5,45.011851,False
2.7,5.5,45.006539,55.35,45.006539,False
2.8,5.5,45.001233,55.183333,45.001233,False
2.9,5.5,44.995935,55.016667,44.995935,False
3.0,5.5,44.990643,54.85,44.990643,False
3.1,5.5,44.985359,54.683333,44.985359,False
3.2,5.5,44.980081,54.516667,44.980081,False
3.3,5.5,44.974811,54.35,44.974811,False
3.4,5.5,44.969547,54.183333,44.969547,False
3.5,5.5,44.964291,54.016667,44.964291,False
3.6,5.5,44.959041,53.85,44.959041,False
3.7,5.5,44.953798,53.683333,44.953798,False
3.8,5.5,44.948562,53.516667,44.948562,False
3.9,5.5,44.943333,53.333333,44.943333,False
4.0,5.5,44.938111,53.166667,44.938111,False
4.1,5.5,44.932896,52.983333,44.932896,False
4.2,5.5,44.927687,52.816667,44.927687,False
4.3,5.5,44.922486,52.633333,44.922486,False
4.4,5.5,44.917291,52.466667,44.917291,False
4.5,5.5,44.912103,52.283333,44.912103,False
4.6,5.5,44.906922,52.116667,44.906922,False
4.7,5.5,44.901747,51.933333,44.901747,False
4.8,5.5,44.896579,51.75,44.896579,False
4.9,5.5,44.891418,51.566667,44.891418,False
5.0,5.5,44.886263,51.383333,44.886263,False
5.1,5.5,44.881115,51.2,44.881115,False
5.2,5.5,44.875974,51.016667,44.875974,False
5.3,5.5,44.870839,50.833333,44.870839,False
5.4,5.5,44.86571,50.65,44.86571,False
5.5,5.5,44.860588,50.466667,44.860588,False
5.6,5.5,44.855472,50.283333,44.855472,False
5.7,5.5,44.850363,50.083333,44.850363,False
5.8,5.5,44.845259,49.9,44.845259,False
5.9,5.5,44.840162,49.7,44.840162,False
6.0,5.5,44.835071,49.516667,44.835071,False
6.1,5.5,44.829985,49.316667,44.829985,False
6.2,5.5,44.824905,49.133333,44.824905,False
6.3,5.5,44.819831,48.933333,44.819831,False
6.4,5.5,44.814762,48.733333,44.814762,False
6.5,5.5,44.809699,48.533333,44.809699,False
6.6,5.5,44.80464,48.35,44.80464,False
6.7,5.5,44.799587,48.15,44.799587,False
6.8,5.5,44.794538,47.95,44.794538,False
6.9,5.5,44.789494,47.75,44.789494,False
7.0,5.5,44.784454,47.533333,44.784454,False
7.1,5.5,44.779419,47.333333,44.779419,False
7.2,5.5,44.774387,47.133333,44.774387,False
7.3,5.5,44.769359,46.933333,44.769359,False
7.4,5.5,44.764334,46.716667,44.764334,False
7.5,5.5,44.759313,46.516667,44.759313,False
7.6,5.5,44.754294,46.3,44.754294,False
7.7,5.5,44.749277,46.083333,44.749277,False
7.8,5.5,44.744263,45.883333,44.744263,False
7.9,5.5,44.739251,45.666667,44.739251,False
8.0,5.5,44.73424,45.45,44.73424,False
8.1,5.5,44.729231,45.233333,44.729231,False
8.2,5.5,44.724222,45.016667,44.724222,False
8.3,5.5,44.719214,44.8,44.719214,False
8.4,5.5,44.714206,44.583333,44.714206,False
8.5,5.5,44.709197,44.366667,44.709197,False
8.6,5.5,44.704188,44.15,44.704188,False
8.7,5.5,44.699177,43.916667,44.699177,False
8.8,5.5,44.694165,43.7,44.694165,False
8.9,5.5,44.689151,43.466667,44.689151,False
9.0,5.5,44.684135,43.25,44.684135,False
9.1,5.5,44.679116,43.016667,44.679116,False
9.2,5.5,44.674093,42.783333,44.674093,False
9.3,5.5,44.669067,42.55,44.669067,False
9.4,5.5,44.664037,42.316667,44.664037,False
9.5,5.5,44.659002,42.083333,44.659002,False
9.6,5.5,44.653962,41.85,44.653962,False
9.7,5.5,44.648916,41.616667,44.648916,False
9.8,5.5,44.643864,41.383333,44.643864,False
9.9,5.5,44.638806,41.133333,44.638806,False
10.0,5.5,44.633741,40.9,44.633741,False
10.1,5.5,44.628668,40.65,44.628668,False
10.2,5.5,44.623587,40.416667,44.623587,False
10.3,5.5,44.618498,40.166667,44.618498,False
10.4,5.5,44.6134,39.916667,44.6134,False
10.5,5.5,44.608293,39.666667,44.608293,False
10.6,5.5,44.603176,39.416667,44.603176,False
10.7,5.5,44.598048,39.166667,44.598048,False
10.8,5.5,44.59291,38.916667,44.59291,False
10.9,5.5,44.587761,38.65,44.587761,False
11.0,5.5,44.5826,38.4,44.5826,False
11.1,5.5,44.577427,38.133333,44.577427,False
11.2,5.5,44.572241,37.883333,44.572241,False
11.3,5.5,44.567043,37.616667,44.567043,False
