time_s,time_min,skin_temperature_c
0,0.0,37.0
1,0.016667,37.008013
2,0.033333,37.01602
3,0.05,37.024021
4,0.066667,37.032015
5,0.083333,37.040003
6,0.1,37.047984
7,0.116667,37.055959
8,0.133333,37.063927
9,0.15,37.071889
10,0.166667,37.079845
11,0.183333,37.087794
12,0.2,37.095736
13,0.216667,37.103673
14,0.233333,37.111603
15,0.25,37.119527
16,0.266667,37.127444
17,0.283333,37.135355
18,0.3,37.143259
19,0.316667,37.151157
20,0.333333,37.159049
21,0.35,37.166935
22,0.366667,37.174814
23,0.383333,37.182687
24,0.4,37.190553
25,0.416667,37.198413
26,0.433333,37.206267
27,0.45,37.214115
28,0.466667,37.221956
29,0.483333,37.229791
30,0.5,37.237619
31,0.516667,37.245441
32,0.533333,37.253257
33,0.55,37.261067
34,0.566667,37.268871
35,0.583333,37.276668
36,0.6,37.284459
37,0.616667,37.292243
38,0.633333,37.300022
39,0.65,37.307794
40,0.666667,37.31556
41,0.683333,37.323319
42,0.7,37.331073
43,0.716667,37.33882
44,0.733333,37.346561
45,0.75,37.354295
46,0.766667,37.362024
47,0.783333,37.369746
48,0.8,37.377462
49,0.816667,37.385172
50,0.833333,37.392875
51,0.85,37.400573
52,0.866667,37.408264
53,0.883333,37.415949
54,0.9,37.423628
55,0.916667,37.431301
56,0.933333,37.438967
57,0.95,37.446628
58,0.966667,37.454282
59,0.983333,37.46193
60,1.0,37.469572
61,1.016667,37.477207
62,1.033333,37.484837
63,1.05,37.492461
64,1.066667,37.500078
65,1.083333,37.507689
66,1.1,37.515294
67,1.116667,37.522893
68,1.133333,37.530486
69,1.15,37.538073
70,1.166667,37.545653
71,1.183333,37.553228
72,1.2,37.560796
73,1.216667,37.568359
74,1.233333,37.575915
75,1.25,37.583465
76,1.266667,37.591009
77,1.283333,37.598548
78,1.3,37.60608
79,1.316667,37.613605
80,1.333333,37.621125
81,1.35,37.628639
82,1.366667,37.636147
83,1.383333,37.643649
84,1.4,37.651145
85,1.416667,37.658634
86,1.433333,37.666118
87,1.45,37.673596
88,1.466667,37.681067
89,1.483333,37.688533
90,1.5,37.695993
91,1.516667,37.703446
92,1.533333,37.710894
93,1.55,37.718336
94,1.566667,37.725771
95,1.583333,37.733201
96,1.6,37.740625
97,1.616667,37.748042
98,1.633333,37.755454
99,1.65,37.76286
100,1.666667,37.77026
101,1.683333,37.777654
102,1.7,37.785042
103,1.716667,37.792424
104,1.733333,37.7998
105,1.75,37.80717
106,1.766667,37.814534
107,1.783333,37.821893
108,1.8,37.829245
109,1.816667,37.836591
110,1.833333,37.843932
111,1.85,37.851267
112,1.866667,37.858596
113,1.883333,37.865918
114,1.9,37.873235
115,1.916667,37.880546
116,1.933333,37.887852
117,1.95,37.895151
118,1.966667,37.902445
119,1.983333,37.909732
120,2.0,37.917014
121,2.016667,37.92429
122,2.033333,37.93156
123,2.05,37.938824
124,2.066667,37.946082
125,2.083333,37.953335
126,2.1,37.960582
127,2.116667,37.967822
128,2.133333,37.975057
129,2.15,37.982287
130,2.166667,37.98951
131,2.183333,37.996728
132,2.2,38.003939
133,2.216667,38.011145
134,2.233333,38.018346
135,2.25,38.02554
136,2.266667,38.032729
137,2.283333,38.039911
138,2.3,38.047088
139,2.316667,38.05426
140,2.333333,38.061425
141,2.35,38.068585
142,2.366667,38.075739
143,2.383333,38.082887
144,2.4,38.09003
145,2.416667,38.097167
146,2.433333,38.104298
147,2.45,38.111423
148,2.466667,38.118542
149,2.483333,38.125656
150,2.5,38.132764
151,2.516667,38.139867
152,2.533333,38.146963
153,2.55,38.154054
154,2.566667,38.16114
155,2.583333,38.168219
156,2.6,38.175293
157,2.616667,38.182361
158,2.633333,38.189424
159,2.65,38.19648
160,2.666667,38.203532
161,2.683333,38.210577
162,2.7,38.217617
163,2.716667,38.224651
164,2.733333,38.231679
165,2.75,38.238702
166,2.766667,38.245719
167,2.783333,38.252731
168,2.8,38.259737
169,2.816667,38.266737
170,2.833333,38.273732
171,2.85,38.280721
172,2.866667,38.287704
173,2.883333,38.294682
174,2.9,38.301654
175,2.916667,38.308621
176,2.933333,38.315582
177,2.95,38.322537
178,2.966667,38.329487
179,2.983333,38.336431
180,3.0,38.343369
181,3.016667,38.350302
182,3.033333,38.35723
183,3.05,38.364152
184,3.066667,38.371068
185,3.083333,38.377979
186,3.1,38.384884
187,3.116667,38.391784
188,3.133333,38.398678
189,3.15,38.405566
190,3.166667,38.412449
191,3.183333,38.419327
