layer_ii_thickness_mm,layer_iv_thickness_mm,total_variable_thickness_mm,max_skin_temperature_c,minutes_above_44_c,final_temperature_c,feasible
0.6,0.6,1.2,59.085843,29.816667,59.085843,False
0.6,0.7,1.3,58.743623,29.816667,58.743623,False
0.6,0.8,1.4,58.411846,29.8,58.411846,False
0.6,0.9,1.5,58.090043,29.8,58.090043,False
0.6,1.0,1.6,57.777769,29.8,57.777769,False
0.6,1.1,1.7,57.474607,29.783333,57.474607,False
0.6,1.2,1.8,57.180165,29.783333,57.180165,False
0.6,1.3,1.9,56.894071,29.766667,56.894071,False
0.6,1.4,2.0,56.615976,29.766667,56.615976,False
0.6,1.5,2.1,56.345549,29.766667,56.345549,False
0.6,1.6,2.2,56.082477,29.75,56.082477,False
0.6,1.7,2.3,55.826463,29.75,55.826463,False
0.6,1.8,2.4,55.577228,29.733333,55.577228,False
0.6,1.9,2.5,55.334506,29.733333,55.334506,False
0.6,2.0,2.6,55.098044,29.716667,55.098044,False
0.6,2.1,2.7,54.867604,29.716667,54.867604,False
0.6,2.2,2.8,54.642959,29.7,54.642959,False
0.6,2.3,2.9,54.423892,29.7,54.423892,False
0.6,2.4,3.0,54.210199,29.7,54.210199,False
0.6,2.5,3.1,54.001684,29.683333,54.001684,False
0.6,2.6,3.2,53.798161,29.683333,53.798161,False
0.6,2.7,3.3,53.599453,29.666667,53.599453,False
0.6,2.8,3.4,53.405391,29.666667,53.405391,False
0.6,2.9,3.5,53.215815,29.65,53.215815,False
0.6,3.0,3.6,53.030569,29.65,53.030569,False
0.6,3.1,3.7,52.849509,29.633333,52.849509,False
0.6,3.2,3.8,52.672492,29.633333,52.672492,False
0.6,3.3,3.9,52.499386,29.616667,52.499386,False
0.6,3.4,4.0,52.330062,29.616667,52.330062,False
0.6,3.5,4.1,52.164398,29.6,52.164398,False
0.6,3.6,4.2,52.002276,29.6,52.002276,False
0.6,3.7,4.3,51.843584,29.583333,51.843584,False
0.6,3.8,4.4,51.688214,29.583333,51.688214,False
0.6,3.9,4.5,51.536063,29.566667,51.536063,False
0.6,4.0,4.6,51.387031,29.566667,51.387031,False
0.6,4.1,4.7,51.241025,29.55,51.241025,False
0.6,4.2,4.8,51.097952,29.533333,51.097952,False
0.6,4.3,4.9,50.957726,29.533333,50.957726,False
0.6,4.4,5.0,50.820261,29.516667,50.820261,False
0.6,4.5,5.1,50.685478,29.516667,50.685478,False
0.6,4.6,5.2,50.553298,29.5,50.553298,False
0.6,4.7,5.3,50.423647,29.5,50.423647,False
