case,mode,material_id,cnc,fault_start_s,fault_end_s,repair_seconds,stage
1,single_process,26,2,2178.164294,3257.124342,1078.960047,
1,single_process,31,7,2397.435958,3125.438199,728.002242,
1,single_process,291,6,21946.84154,23055.554516,1108.712976,
1,single_process,295,1,22167.912281,22859.870905,691.958625,
1,two_process,31,6,3731.083452,4352.623515,621.540063,2
1,two_process,32,8,3743.279825,4562.02506,818.745235,2
1,two_process,106,8,11972.030141,12719.281758,747.251617,2
1,two_process,113,8,12890.357638,13505.819008,615.46137,2
1,two_process,194,4,21768.085011,22451.749386,683.664376,2
1,two_process,197,2,22105.708027,23181.625857,1075.917831,2
1,two_process,237,4,26775.907736,27644.371532,868.463796,2
2,two_process,12,6,2120.168455,2976.883492,856.715037,2
2,two_process,16,3,2817.218143,3464.326307,647.108164,2
2,two_process,41,1,3823.441391,4725.391945,901.950554,1
2,two_process,65,8,6472.340397,7313.467431,841.127033,1
2,two_process,86,2,9993.889665,11006.696701,1012.807036,1
2,two_process,99,1,12220.30904,12873.3434,653.03436,1
2,two_process,129,8,15541.817245,16658.185599,1116.368354,1
2,two_process,164,1,20311.287962,21458.710525,1147.422563,1
2,two_process,201,6,27285.771982,27916.282589,630.510607,2
2,two_process,230,8,28118.001216,29234.820821,1116.819605,1
3,single_process,67,3,4867.355559,5762.935512,895.579952,
3,single_process,107,4,7794.187257,8572.109077,777.92182,
3,single_process,155,5,11274.770997,12081.769885,806.998888,
3,single_process,161,3,11927.599732,12787.947135,860.347404,
3,single_process,261,4,19106.09616,20225.069485,1118.973325,
3,two_process,79,3,10058.398507,11066.25923,1007.860723,2
3,two_process,170,5,20712.69539,21481.065254,768.369864,1
3,two_process,177,7,22114.795343,22768.886822,654.09148,2
3,two_process,185,5,22683.034022,23645.355727,962.321705,1
