case,material_id,cnc,load_start_s,unload_start_s
1,1,1,0.0,588.0
1,2,2,28.0,619.0
1,3,3,79.0,670.0
1,4,4,107.0,698.0
1,5,5,158.0,749.0
1,6,6,186.0,777.0
1,7,7,237.0,828.0
1,8,8,265.0,856.0
1,9,1,588.0,1176.0
1,10,2,619.0,1210.0
1,11,3,670.0,1261.0
1,12,4,698.0,1289.0
1,13,5,749.0,1340.0
1,14,6,777.0,1368.0
1,15,7,828.0,1419.0
1,16,8,856.0,1447.0
1,17,1,1176.0,1764.0
1,18,2,1210.0,1801.0
1,19,3,1261.0,1852.0
1,20,4,1289.0,1880.0
1,21,5,1340.0,1931.0
1,22,6,1368.0,1959.0
1,23,7,1419.0,2010.0
1,24,8,1447.0,2038.0
1,25,1,1764.0,2352.0
1,27,3,1852.0,2459.0
1,28,4,1880.0,2487.0
1,29,5,1931.0,2538.0
1,30,6,1959.0,2566.0
1,32,8,2038.0,2629.0
1,33,1,2352.0,2940.0
1,34,3,2459.0,3047.0
1,35,4,2487.0,3078.0
1,36,5,2538.0,3129.0
1,37,6,2566.0,3157.0
1,38,8,2629.0,3236.0
1,39,1,2940.0,3528.0
1,40,3,3047.0,3635.0
1,41,4,3078.0,3669.0
1,42,5,3129.0,3720.0
1,43,6,3157.0,3748.0
1,44,7,3208.0,3799.0
1,45,8,3236.0,3827.0
1,46,2,3313.0,3904.0
1,47,1,3528.0,4116.0
1,48,3,3635.0,4223.0
1,49,4,3669.0,4260.0
1,50,5,3720.0,4311.0
1,51,6,3748.0,4339.0
1,52,7,3799.0,4390.0
1,53,8,3827.0,4418.0
1,54,2,3904.0,4495.0
1,55,1,4116.0,4704.0
1,56,3,4223.0,4811.0
1,57,4,4260.0,4851.0
1,58,5,4311.0,4902.0
1,59,6,4339.0,4930.0
1,60,7,4390.0,4981.0
1,61,8,4418.0,5009.0
1,62,2,4495.0,5086.0
1,63,1,4704.0,5292.0
1,64,3,4811.0,5399.0
1,65,4,4851.0,5442.0
1,66,5,4902.0,5493.0
1,67,6,4930.0,5521.0
1,68,7,4981.0,5572.0
1,69,8,5009.0,5600.0
1,70,2,5086.0,5677.0
1,71,1,5292.0,5880.0
1,72,3,5399.0,5987.0
1,73,4,5442.0,6033.0
1,74,5,5493.0,6084.0
1,75,6,5521.0,6112.0
1,76,7,5572.0,6163.0
1,77,8,5600.0,6191.0
1,78,2,5677.0,6268.0
1,79,1,5880.0,6468.0
1,80,3,5987.0,6575.0
1,81,4,6033.0,6624.0
1,82,5,6084.0,6675.0
1,83,6,6112.0,6703.0
1,84,7,6163.0,6754.0
1,85,8,6191.0,6782.0
1,86,2,6268.0,6859.0
1,87,1,6468.0,7056.0
1,88,3,6575.0,7163.0
1,89,4,6624.0,7215.0
1,90,5,6675.0,7266.0
1,91,6,6703.0,7294.0
1,92,7,6754.0,7345.0
1,93,8,6782.0,7373.0
1,94,2,6859.0,7450.0
1,95,1,7056.0,7644.0
1,96,3,7163.0,7751.0
1,97,4,7215.0,7806.0
1,98,5,7266.0,7857.0
1,99,6,7294.0,7885.0
1,100,7,7345.0,7936.0
1,101,8,7373.0,7964.0
1,102,2,7450.0,8041.0
1,103,1,7644.0,8232.0
1,104,3,7751.0,8339.0
1,105,4,7806.0,8397.0
1,106,5,7857.0,8448.0
1,107,6,7885.0,8476.0
1,108,7,7936.0,8527.0
1,109,8,7964.0,8555.0
1,110,2,8041.0,8632.0
1,111,1,8232.0,8820.0
1,112,3,8339.0,8927.0
1,113,4,8397.0,8988.0
1,114,5,8448.0,9039.0
1,115,6,8476.0,9067.0
1,116,7,8527.0,9118.0
1,117,8,8555.0,9146.0
1,118,2,8632.0,9223.0
1,119,1,8820.0,9408.0
1,120,3,8927.0,9515.0
1,121,4,8988.0,9579.0
1,122,5,9039.0,9630.0
1,123,6,9067.0,9658.0
