case,material_id,stage1_cnc,stage1_load_start_s,stage1_unload_start_s,stage2_cnc,stage2_load_start_s,stage2_unload_start_s
1,1,1,0.0,428.0,2,456.0,884.0
1,2,3,48.0,507.0,4,535.0,963.0
1,3,5,96.0,586.0,6,614.0,1042.0
1,4,7,144.0,665.0,8,693.0,1121.0
1,5,1,428.0,856.0,2,884.0,1312.0
1,6,3,507.0,935.0,4,963.0,1391.0
1,7,5,586.0,1014.0,6,1042.0,1470.0
1,8,7,665.0,1093.0,8,1121.0,1549.0
1,9,1,856.0,1284.0,2,1312.0,1740.0
1,10,3,935.0,1363.0,4,1391.0,1819.0
1,11,5,1014.0,1442.0,6,1470.0,1898.0
1,12,7,1093.0,1521.0,8,1549.0,1977.0
1,13,1,1284.0,1712.0,2,1740.0,2168.0
1,14,3,1363.0,1791.0,4,1819.0,2247.0
1,15,5,1442.0,1870.0,6,1898.0,2326.0
1,16,7,1521.0,1949.0,8,1977.0,2405.0
1,17,1,1712.0,2140.0,2,2168.0,2596.0
1,18,3,1791.0,2219.0,4,2247.0,2675.0
1,19,5,1870.0,2298.0,6,2326.0,2754.0
1,20,7,1949.0,2377.0,8,2405.0,2833.0
1,21,1,2140.0,2568.0,2,2596.0,3024.0
1,22,3,2219.0,2647.0,4,2675.0,3103.0
1,23,5,2298.0,2726.0,6,2754.0,3182.0
1,24,7,2377.0,2805.0,8,2833.0,3261.0
1,25,1,2568.0,2996.0,2,3024.0,3452.0
1,26,3,2647.0,3075.0,4,3103.0,3531.0
1,27,5,2726.0,3154.0,6,3182.0,3610.0
1,28,7,2805.0,3233.0,8,3261.0,3689.0
1,29,1,2996.0,3424.0,2,3452.0,3880.0
1,30,3,3075.0,3503.0,4,3531.0,3959.0
1,33,1,3424.0,3852.0,2,3880.0,4308.0
1,34,3,3503.0,3931.0,4,3959.0,4387.0
1,35,5,3582.0,4010.0,2,4308.0,4736.0
1,36,7,3661.0,4089.0,4,4387.0,4815.0
1,37,1,3852.0,4280.0,6,4438.0,4866.0
1,38,3,3931.0,4359.0,8,4562.02506,4973.0
1,39,5,4010.0,4469.0,2,4736.0,5164.0
1,40,7,4089.0,4517.0,4,4815.0,5243.0
1,41,1,4280.0,4708.0,6,4866.0,5294.0
1,42,3,4359.0,4787.0,8,4973.0,5401.0
1,43,5,4469.0,4897.0,2,5164.0,5592.0
1,44,7,4517.0,4945.0,4,5243.0,5671.0
1,45,1,4708.0,5136.0,6,5294.0,5722.0
1,46,3,4787.0,5215.0,8,5401.0,5829.0
1,47,5,4897.0,5325.0,2,5592.0,6020.0
1,48,7,4945.0,5373.0,4,5671.0,6099.0
1,49,1,5136.0,5564.0,6,5722.0,6150.0
1,50,3,5215.0,5643.0,8,5829.0,6257.0
1,51,5,5325.0,5753.0,2,6020.0,6448.0
1,52,7,5373.0,5801.0,4,6099.0,6527.0
1,53,1,5564.0,5992.0,6,6150.0,6578.0
1,54,3,5643.0,6071.0,8,6257.0,6685.0
1,55,5,5753.0,6181.0,2,6448.0,6876.0
1,56,7,5801.0,6229.0,4,6527.0,6955.0
1,57,1,5992.0,6420.0,6,6578.0,7006.0
1,58,3,6071.0,6499.0,8,6685.0,7113.0
1,59,5,6181.0,6609.0,2,6876.0,7304.0
1,60,7,6229.0,6657.0,4,6955.0,7383.0
1,61,1,6420.0,6848.0,6,7006.0,7434.0
1,62,3,6499.0,6927.0,8,7113.0,7541.0
1,63,5,6609.0,7037.0,2,7304.0,7732.0
1,64,7,6657.0,7085.0,4,7383.0,7811.0
1,65,1,6848.0,7276.0,6,7434.0,7862.0
1,66,3,6927.0,7355.0,8,7541.0,7969.0
1,67,5,7037.0,7465.0,2,7732.0,8160.0
1,68,7,7085.0,7513.0,4,7811.0,8239.0
1,69,1,7276.0,7704.0,6,7862.0,8290.0
1,70,3,7355.0,7783.0,8,7969.0,8397.0
1,71,5,7465.0,7893.0,2,8160.0,8588.0
1,72,7,7513.0,7941.0,4,8239.0,8667.0
1,73,1,7704.0,8132.0,6,8290.0,8718.0
1,74,3,7783.0,8211.0,8,8397.0,8825.0
1,75,5,7893.0,8321.0,2,8588.0,9016.0
1,76,7,7941.0,8369.0,4,8667.0,9095.0
1,77,1,8132.0,8560.0,6,8718.0,9146.0
1,78,3,8211.0,8639.0,8,8825.0,9253.0
1,79,5,8321.0,8749.0,2,9016.0,9444.0
1,80,7,8369.0,8797.0,4,9095.0,9523.0
1,81,1,8560.0,8988.0,6,9146.0,9574.0
1,82,3,8639.0,9067.0,8,9253.0,9681.0
1,83,5,8749.0,9177.0,2,9444.0,9872.0
1,84,7,8797.0,9225.0,4,9523.0,9951.0
1,85,1,8988.0,9416.0,6,9574.0,10002.0
1,86,3,9067.0,9495.0,8,9681.0,10109.0
