sample,true_label,cluster,pc1,pc2,pred_prob_1
1,0,1,-1.942257,0.283929,0.019063
2,0,1,-2.155953,0.298908,0.012012
3,0,1,-2.972189,0.158066,0.001876
4,0,1,-1.984538,0.82359,0.017088
5,0,1,-2.120645,-0.041694,0.012458
6,0,1,-2.331157,0.506384,0.007869
7,0,1,-2.653092,-0.540162,0.003744
8,0,1,-2.656748,0.631586,0.00429
9,0,1,-1.864752,-0.053603,0.020528
10,0,1,-3.084458,-0.035685,0.001512
11,0,1,-2.282342,-0.04982,0.008446
12,0,1,-3.090648,0.286428,0.001638
13,0,1,-1.371842,-0.21553,0.052531
14,0,1,-1.884254,0.135905,0.01993
15,0,1,-1.623955,-0.084039,0.031628
16,0,1,-2.725187,-0.086955,0.003475
17,0,1,-2.004261,0.506527,0.015732
18,0,1,-2.091656,0.073449,0.013187
19,0,1,-2.469527,-0.104974,0.00605
20,0,1,-2.327344,0.021862,0.007498
21,0,1,-2.19681,0.043871,0.010165
22,0,1,-1.715821,0.153959,0.02701
23,0,1,-2.544164,-0.916632,0.004628
24,0,1,-2.368672,1.074798,0.007777
25,0,1,-2.629974,-0.213092,0.004038
26,0,1,-3.146621,-0.350376,0.00138
27,0,1,-1.767457,0.481953,0.02456
28,0,1,-1.926376,-0.907962,0.018553
29,0,1,-2.928806,0.098807,0.002282
30,0,1,-2.088246,-0.356546,0.013244
31,0,1,-2.166942,-0.656308,0.010085
32,0,1,-2.468757,0.421934,0.005817
33,0,1,-1.537507,-0.604763,0.040916
34,0,1,-2.2014,-1.068312,0.010083
35,0,1,-2.476751,0.260705,0.006165
36,0,1,-1.706968,-0.428381,0.027187
37,0,1,-2.362095,-0.768514,0.006763
38,0,1,-2.085352,-0.745834,0.013182
39,0,1,-2.541501,0.210367,0.005021
40,0,1,-2.473104,-0.359234,0.005678
41,0,1,-2.041904,0.935689,0.014554
42,0,1,-1.617754,0.744837,0.03385
43,1,0,1.706196,0.21016,0.973422
44,1,0,2.188298,0.124574,0.989404
45,1,0,2.946507,-0.865038,0.997667
46,1,0,1.080313,-0.002963,0.911846
47,1,0,2.254549,-0.537468,0.99123
48,1,0,2.292765,0.435069,0.992091
49,1,0,2.753529,0.153141,0.996821
50,1,0,2.192128,-0.033928,0.990055
51,1,0,2.318731,0.082252,0.992221
52,1,0,1.694977,-0.925492,0.971135
53,1,0,3.118341,-0.231569,0.99851
54,1,0,1.921347,0.071337,0.981364
55,1,0,1.873363,-0.272733,0.981034
56,1,0,1.632328,1.649433,0.971478
57,1,0,2.43022,0.566806,0.993739
58,1,0,2.080217,0.285403,0.988145
59,1,0,1.754636,0.873803,0.977999
60,1,0,2.56911,0.101174,0.995232
61,1,0,2.72788,-0.813882,0.996651
62,1,0,1.995079,0.896548,0.985957
63,1,0,1.832348,0.502963,0.980566
64,1,0,2.248196,-0.500624,0.990352
65,1,0,2.871168,0.421161,0.99744
66,1,0,1.940692,0.037833,0.98391
67,1,0,2.386016,-1.170001,0.992314
68,1,0,2.356403,-0.498338,0.992871
69,1,0,1.86807,0.282823,0.980371
70,1,0,2.462049,0.231338,0.993997
71,1,0,2.15053,0.908421,0.989344
72,1,0,2.097927,-0.020218,0.987041
73,1,0,2.909804,-0.805829,0.997813
74,1,0,3.111133,0.413289,0.998564
75,1,0,1.685485,-0.813023,0.972973
76,1,0,2.378004,-0.161576,0.993732
77,1,0,2.271125,-0.067735,0.990602
78,1,0,2.005513,0.384528,0.985673
79,1,0,2.940336,1.435711,0.997953
80,1,0,2.285608,0.944358,0.991772
81,1,0,2.311858,-1.35444,0.99177
82,1,0,2.720586,-1.301164,0.99643
83,1,0,1.706131,-0.077132,0.971193
84,1,0,2.560292,-0.124111,0.995253
